milliseconds,S1,DNA_000,DNA_100,DNA_010,DNA_001,DNA_110,DNA_101,DNA_011,DNA_111,DNA_1B10,DNA_01B1,DNA_1B11,DNA_11B1,DNA_1B1B1
0,1e-10,1e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,9.749540068663076e-11,9.769915375565441e-11,9.524841693318251e-15,2.0780750013656694e-12,9.524841693318251e-15,1.7778905892848212e-16,9.031375127727066e-19,1.7778905892848207e-16,4.446681245321887e-21,1.0166482144632173e-13,1.0166482144632173e-13,6.074131029916379e-20,6.074131029916379e-20,3.3846212852399366e-17
200,9.760327913443315e-11,9.781866500669293e-11,9.551178917801846e-15,1.9468854474376427e-12,9.551178917801844e-15,1.80856993576696e-16,1.061735896771749e-18,1.8085699357669598e-16,4.539963451225532e-21,1.0743299269331149e-13,1.0743299269331149e-13,1.520501842849136e-19,1.520501842849136e-19,8.866642009440514e-17
300,9.765443744225451e-11,9.786689409089626e-11,9.553614505361342e-15,1.9015995621698677e-12,9.55361450536134e-15,1.7974284503460007e-16,8.407211478564344e-19,1.7974284503460007e-16,4.7379588777986284e-21,1.0592202852879225e-13,1.0592202852879223e-13,2.434723550041611e-19,2.434723550041611e-19,1.4349294120108008e-16
400,9.768871954193668e-11,9.789172157553424e-11,9.553559981554077e-15,1.8862524675974127e-12,9.553559981554077e-15,1.7492218934299403e-16,6.514655256530813e-19,1.7492218934299403e-16,4.830656209080215e-21,1.011511127270197e-13,1.0115111272701966e-13,3.337485556493992e-19,3.3374855564939924e-19,1.9769362837200152e-16
500,9.770687141879835e-11,9.790450072267975e-11,9.553779612523712e-15,1.878877750272624e-12,9.553779612523712e-15,1.7208286523695437e-16,5.587923014654686e-19,1.7208286523695437e-16,4.918016037539621e-21,9.841884309946304e-14,9.841884309946296e-14,4.217300410178423e-19,4.217300410178423e-19,2.505181960655406e-16
600,9.766355714347756e-11,9.787241402304164e-11,9.558598420402703e-15,1.8997785587400584e-12,9.558598420402703e-15,1.7653578043582798e-16,8.963572683915062e-19,1.7653578043582793e-16,4.894306225095791e-21,1.0397746528767618e-13,1.0397746528767611e-13,5.048166561525173e-19,5.048166561525173e-19,3.0046647824564875e-16
700,9.764726191662088e-11,9.786088218285004e-11,9.559228674279499e-15,1.9065946984036466e-12,9.559228674279499e-15,1.7877262621995085e-16,9.908861870873793e-19,1.7877262621995077e-16,4.994160732315032e-21,1.0630644536315957e-13,1.063064453631595e-13,5.889109036693724e-19,5.889109036693724e-19,3.509469395133064e-16
800,9.763969489845966e-11,9.785638204064445e-11,9.557486892361198e-15,1.9080824756995374e-12,9.557486892361197e-15,1.8075887195585443e-16,9.815520621031343e-19,1.8075887195585436e-16,5.1690782036526604e-21,1.0778720121947868e-13,1.0778720121947862e-13,6.727926729872768e-19,6.727926729872768e-19,4.0125501368775005e-16
900,9.762851951954945e-11,9.784977232926624e-11,9.554650911180794e-15,1.910188187044764e-12,9.55465091118079e-15,1.8379597717105707e-16,9.635654214757161e-19,1.8379597717105697e-16,5.3844847189644704e-21,1.1001579475881748e-13,1.1001579475881743e-13,7.556456239447809e-19,7.556456239447808e-19,4.509205618808344e-16
1000,9.762579802818952e-11,9.784823681470341e-11,9.55401258346184e-15,1.910586928414306e-12,9.554012583461835e-15,1.8452556893129648e-16,9.596543417411178e-19,1.8452556893129638e-16,5.513650872462044e-21,1.1055831801919455e-13,1.1055831801919451e-13,8.388358124071116e-19,8.388358124071115e-19,5.00840348289232e-16
1100,9.76236575007844e-11,9.784708671594699e-11,9.55342334582402e-15,1.9107961442597827e-12,9.553423345824016e-15,1.8513962777457387e-16,9.549844068269494e-19,1.851396277745738e-16,5.639291835008828e-21,1.1100336136516435e-13,1.1100336136516431e-13,9.21471625700807e-19,9.21471625700807e-19,5.504290627926081e-16
1200,9.762209793733409e-11,9.784632203299695e-11,9.552883198267333e-15,1.9108158345811944e-12,9.552883198267331e-15,1.8563815370088925e-16,9.495556167332108e-19,1.8563815370088918e-16,5.76140760660482e-21,1.1135092479672687e-13,1.1135092479672684e-13,1.0035530638258673e-18,1.0035530638258673e-18,5.996867053909625e-16
1300,9.762111933783859e-11,9.78459427658533e-11,9.552392140791782e-15,1.9106459993785412e-12,9.55239214079178e-15,1.8602114671024263e-16,9.433679714599022e-19,1.8602114671024258e-16,5.879998187250021e-21,1.1160100831388211e-13,1.116010083138821e-13,1.0850801267822921e-18,1.0850801267822921e-18,6.486132760842953e-16
1400,9.762075054484328e-11,9.784588982609767e-11,9.552087396974637e-15,1.9104286637614052e-12,9.552087396974637e-15,1.862126735067466e-16,9.388235995907902e-19,1.8621267350674656e-16,5.982181956213651e-21,1.1171400660122834e-13,1.1171400660122832e-13,1.1591504783644318e-18,1.1591504783644318e-18,6.930681999209841e-16
1500,9.762062908572714e-11,9.784584959178567e-11,9.552064392698616e-15,1.910423698943842e-12,9.552064392698616e-15,1.8621916729096931e-16,9.386776967097853e-19,1.862191672909693e-16,6.058274957405424e-21,1.117182254902818e-13,1.1171822549028177e-13,1.219680590876776e-18,1.219680590876776e-18,7.294010923130133e-16
1600,9.7620507626611e-11,9.784580935747366e-11,9.552041388422593e-15,1.910418734126279e-12,9.552041388422593e-15,1.8622566107519206e-16,9.385317938287806e-19,1.8622566107519204e-16,6.134367958597197e-21,1.1172244437933526e-13,1.1172244437933524e-13,1.28021070338912e-18,1.28021070338912e-18,7.657339847050425e-16
1700,9.762038616749484e-11,9.784576912316166e-11,9.552018384146572e-15,1.9104137693087158e-12,9.552018384146572e-15,1.8623215485941478e-16,9.383858909477757e-19,1.8623215485941476e-16,6.21046095978897e-21,1.1172666326838871e-13,1.117266632683887e-13,1.3407408159014645e-18,1.3407408159014645e-18,8.020668770970719e-16
1800,9.76202647083787e-11,9.784572888884965e-11,9.551995379870551e-15,1.9104088044911527e-12,9.55199537987055e-15,1.862386486436375e-16,9.382399880667708e-19,1.8623864864363748e-16,6.2865539609807436e-21,1.1173088215744218e-13,1.1173088215744216e-13,1.4012709284138087e-18,1.4012709284138087e-18,8.383997694891012e-16
1900,9.762014324926256e-11,9.784568865453765e-11,9.551972375594528e-15,1.9104038396735897e-12,9.551972375594528e-15,1.8624514242786025e-16,9.380940851857658e-19,1.8624514242786023e-16,6.362646962172516e-21,1.1173510104649564e-13,1.1173510104649563e-13,1.4618010409261532e-18,1.4618010409261532e-18,8.747326618811306e-16
