milliseconds,CD95,FADD,p55free,Bid,PrNES_mCherry,PrER_mGFP,DISC,DISCp55,p30,p43,p18,p18inactive,tBid,PrNES,mCherry,PrER,mGFP,CD95L
0,116.0,93.0397238623983,154.97010518431387,235.99999587463515,972.9998681809067,5178.000013864044,0.2846910056477102,-0.03357259390354225,0.0004647757865412828,2.6719176366827653e-05,2.315550371438267e-06,1.404015802294539e-09,1.1124998763937081e-05,-7.2836938933635e-05,-0.00021306107879354811,-1.3877331998156717e-05,-4.7233744196781405e-06,16.6
100,116.0,93.06753645349461,154.94679557691964,235.9999882886705,973.0001849136936,5177.999998596521,0.07435878625621378,0.02833158969617999,0.00015716933566077687,3.571206157462906e-05,-4.891620965859186e-07,9.719815214135939e-08,-8.62695957089496e-06,4.084640734308949e-05,-1.467672392594987e-05,1.3280474834750639e-05,9.514026327782992e-06,16.6
200,116.0,92.19255639526885,154.99588829238346,236.00001381023569,972.9998451069457,5178.000007674879,1.2330891783209768,0.060368944650447495,-0.0004918726911120442,-2.3065811925406692e-05,-1.1002201152974994e-06,1.0495506834019303e-07,-7.009638635287334e-06,-0.00018911732922072567,0.00023742816868500794,-6.796739821348744e-06,1.488822112535218e-05,16.6
300,116.0,91.29925595631147,154.96176918570495,235.99998063792546,972.9999629597684,5177.999999023293,1.564929439777128,0.028222498295936874,-0.0006462639307473722,-0.00011071362409274346,9.459868653617588e-07,9.09931280992865e-08,1.815562223167377e-06,-0.00013891247301604342,3.754478011120895e-05,1.570994191150637e-05,6.037329787616153e-06,16.6
400,116.0,91.66987740278505,155.00555119336647,236.00000005125108,973.0002089153438,5177.999985934981,2.0878077076164936,0.04480094487957531,-0.0004277408057081633,0.00013398143200006094,1.1362510485502414e-06,-8.680179048750483e-08,2.132549078656635e-05,-0.00019106728236733335,0.0001554373053198298,-1.618739353953289e-05,-1.2356217327941284e-05,16.6
500,116.0,91.17438325000994,154.92798629197563,235.99998438056488,972.9998961002103,5177.999983254942,2.472784985785053,0.059240744566863145,-0.0006249598225566297,-0.00015287062752397302,-4.2394980668993726e-07,-9.401091464699518e-08,1.9288239413901006e-05,0.00013505582702016622,8.63476190911435e-05,-2.171201998250832e-06,-1.4984780257658142e-05,16.6
600,116.0,90.29253746156081,154.9125136419395,236.00001627802948,973.0002054706817,5178.000013747325,2.258976529023588,0.09097355182823147,-0.0006023695402647196,9.018891388981579e-05,-7.267941076543135e-07,8.289152063182366e-08,-1.519830562818599e-05,-0.0001092013004175436,0.00019315967719237613,-1.1739236321138486e-05,-1.584617501755763e-06,16.6
700,116.0,89.72500928596509,154.94920350528557,235.99999504283477,972.9998957937123,5178.0000071973955,2.572344744782036,0.03101927672421302,0.0007916926845169778,3.493402713122632e-05,-1.4218339264008153e-06,1.3110686061431867e-07,-1.7945748307617736e-05,-0.0002358097627281715,-1.4720064290591137e-05,-1.6229497704316565e-06,3.3345506636532387e-06,16.6
800,116.0,89.34202245565024,154.9293950431878,236.00002023590315,973.0002194869428,5177.999998691428,3.1649831855612476,0.03709352712544387,0.0004402752118625225,0.00011945843037414563,5.933035724771459e-07,4.33166443904067e-08,-1.8130359107235997e-05,0.00022955583500160117,-0.00010523237493725186,1.1569111783146579e-05,1.0197536905311748e-05,16.6
900,116.0,89.20409758666354,154.87499591543485,236.00000506877916,972.999909104971,5178.000014859863,3.4403918476780153,0.02978575190404663,0.0009649810415358803,-4.288527676755838e-05,5.218196196533261e-07,-6.955654936877739e-09,-1.8406900778333962e-05,1.2249583018664219e-05,-5.480647243079483e-05,6.125702643267111e-06,-7.10465437395188e-06,16.6
1000,116.0,89.03991307737206,154.9124019138356,236.0000175865757,973.0000360986403,5178.000011620917,3.6663092030797153,0.14136662158022195,0.00015965519015181007,7.148450081540024e-06,9.67271098783908e-07,4.428487449084013e-08,1.8745735447474896e-06,0.00010168927062102274,-8.259505337130024e-05,2.3387373965544016e-06,-1.4177518993153047e-06,16.6
1100,116.0,88.299948002302,154.89589000033953,235.99998577747473,972.9998927780091,5177.9999881178765,4.670951042822187,0.10606975660774404,0.0006286844838914207,1.6725624135521518e-06,-2.0252929532819606e-07,-3.6823773532766455e-08,-1.2958123098658747e-05,-5.3711878244861575e-05,-7.022805607577167e-06,-6.35469673045295e-06,5.48672552129311e-06,16.6
1200,116.0,87.76532179256395,154.88858985857655,236.00000270523074,973.0002004705915,5178.000011668151,4.864404258034218,0.22079918621454558,0.000840047453566177,-5.7335397207501244e-05,1.3300644990701884e-06,-1.124485742916747e-07,-1.6655248628487338e-05,-0.00023496559198929706,-0.00017330812901876347,-8.227001045385849e-06,1.296467410699077e-05,16.6
1300,116.0,87.75979696070193,154.8108215198847,235.9999854972822,972.9997731721896,5177.999988199658,4.988142314367744,0.11674119926522035,0.000505573781613759,-3.5438137644410737e-05,-1.0240351088686125e-06,-7.537573759808246e-08,1.0083900937580861e-05,-3.250229429271079e-05,-1.4924091460838975e-05,8.452748023507408e-06,-4.891284591523676e-06,16.6
1400,116.0,86.97458518017409,154.7113433133791,236.0000009708942,973.000141690778,5177.999991652426,5.549687366021311,0.2831223656280359,0.0009195453066677234,-4.825506634665234e-05,2.741030654624261e-06,-1.1643635909290988e-07,-1.2358993107827488e-05,2.8520371443130626e-06,-3.872563421025824e-06,6.348882882562097e-06,5.836923009788819e-06,16.6
1500,116.0,86.9591828512712,154.73410151732793,235.9999900018694,973.0000747131401,5177.999996892115,5.3861368045011915,0.23234304260739896,0.0015648064944836634,0.00024001050466018276,8.260299726317211e-07,-7.524656131632613e-08,1.6098192493155863e-05,-7.803934442490968e-05,0.00023223311776456783,4.166205098039865e-06,1.5041152413673247e-05,16.6
