miliseconds,FeDuo,FeRBC,FeSpleen,FeLiver,Tf,Hepcidin,Fe2Tf,Fe1Tf,NTBI,FeRest,FeBM
0,0.011728372618321022,0.03797872665188854,0.00392604321628981,0.001999926322014575,1.5828948315888257e-05,2.309534366304257e-08,1.354070715626091e-05,9.35335090924277e-06,3.3286282047185044e-08,0.00028684051983143133,0.003040925321467557
100,0.011751611762411532,0.03798374618346242,0.0039725406615836924,0.0020009927542328694,1.6065872026792297e-05,2.3471122851563112e-08,1.3268452889167268e-05,9.366843494221706e-06,3.228499455253371e-08,0.0002868507447896982,0.003033802240277649
200,0.011867878826460761,0.03797605862974958,0.0039716246873963915,0.0019999308858674064,1.6333702166958178e-05,2.4057101215476914e-08,1.2939985963689236e-05,9.417727449265054e-06,3.1341657233579086e-08,0.00028681438193323795,0.0030263883732405844
300,0.011881250911871205,0.03798157765422505,0.004030401879256042,0.001999936141060367,1.6579546434463865e-05,2.4567249480850722e-08,1.2681080583167408e-05,9.456646476177684e-06,3.05937640426049e-08,0.0002868405934820048,0.00301929136927308
400,0.011926602193531014,0.037981003172397436,0.004094924594440962,0.002001066249980144,1.6765668407329332e-05,2.498372900498587e-08,1.2477401908504806e-05,9.484045257439089e-06,3.008131094268806e-08,0.0002868100243831842,0.003003192680522586
500,0.012076359356417833,0.03797534039292407,0.0041280786487309686,0.0020010269756799283,1.6899353311699574e-05,2.5339890324704706e-08,1.2288635222947256e-05,9.507045816507568e-06,2.9637320897716072e-08,0.00028677555611374074,0.0029903085936050706
600,0.012107288581817121,0.037979421980233,0.004175225426812702,0.0020004890663521124,1.7009353156018893e-05,2.58493792697408e-08,1.2172867887303961e-05,9.521236632367307e-06,2.9331311056913576e-08,0.00028678396841545263,0.002967211855695778
700,0.012194944041403796,0.037976832307657825,0.004260804895467192,0.0020022038214990517,1.7096111467020307e-05,2.60140303796944e-08,1.2072186274414556e-05,9.536654143219062e-06,2.9108284410289594e-08,0.0002867591474908331,0.002954671525959342
800,0.01225004034881561,0.037966965085534855,0.004343513930672658,0.0020027976930055663,1.7178911596618708e-05,2.6361372550454445e-08,1.1981184598733539e-05,9.546779169110015e-06,2.8896870837708443e-08,0.00028674436307673596,0.0029350353178307156
900,0.012359607912743176,0.037966119753354316,0.00439088506222359,0.002003213695288014,1.7224213458624535e-05,2.675453975986292e-08,1.190837571965834e-05,9.550866510842003e-06,2.8668068511916416e-08,0.00028672327504265224,0.0029252857626514655
