milliseconds,FeDuo,FeRBC,FeSpleen,FeLiver,Tf,Hepcidin,Fe2Tf,Fe1Tf,NTBI,FeRest,FeBM
0,0.011806814116262457,0.037982312472128306,0.003938882002462568,0.00199927213147437,1.5831497892801598e-05,2.2945064047247834e-08,1.354094788301947e-05,9.354645670074942e-06,3.334847561094095e-08,0.0002868550226362748,0.003041129927657124
100,0.0117488933719928,0.0379780865030103,0.003957854872185699,0.0020000932425911747,1.6058767585576874e-05,2.345210587046295e-08,1.327244876986656e-05,9.367298129668327e-06,3.2279072164150794e-08,0.0002868641627363508,0.00303537918462258
200,0.01190351907756372,0.037981841381962235,0.003980689026269103,0.0020011243948363676,1.6339568212406262e-05,2.403194714122736e-08,1.2942892351175903e-05,9.415684031764537e-06,3.140407108816807e-08,0.00028685920097076215,0.003030917963084674
300,0.011920876937873274,0.0379754658269456,0.0040330786197436954,0.0020010337424254078,1.6569592769387883e-05,2.4596428632655302e-08,1.2654125064504921e-05,9.457010731744362e-06,3.0687829164421944e-08,0.00028680020524965763,0.003018016928418411
400,0.011921034752605362,0.03797602571341127,0.004087700096622765,0.002000857367621309,1.6760306655266673e-05,2.4907546176782176e-08,1.246657188852753e-05,9.484411472874729e-06,3.0128028100305905e-08,0.00028678589689668194,0.0030006130064121894
500,0.011969297854235101,0.03797366453509468,0.004122475274238104,0.0020014437052967814,1.689832659081532e-05,2.540347745749182e-08,1.2280732950939987e-05,9.506880932908785e-06,2.9651770835141342e-08,0.0002867763822110122,0.002984308133264874
600,0.012041899549887707,0.037979155267640126,0.0042036946489619215,0.002001233752574963,1.7006001644149406e-05,2.5743147232163408e-08,1.2169165418439115e-05,9.525181747580848e-06,2.932472479202875e-08,0.0002867452157994936,0.002972119500866778
700,0.012124339338774787,0.03797788029592851,0.004258254657988517,0.0020023662560844716,1.710934704855691e-05,2.6091638543219878e-08,1.205934483220941e-05,9.537493239353832e-06,2.9053127956853085e-08,0.0002867411564566554,0.002951347821612101
800,0.012244401354445565,0.03796836900111553,0.004337383892741105,0.0020020502235448185,1.7179673561982312e-05,2.6515108552707594e-08,1.1980224304988546e-05,9.547334099696773e-06,2.8887971706695666e-08,0.0002867152409321306,0.0029389215501322754
900,0.012264391907786708,0.03796811900084445,0.004361997822805981,0.002003055540524177,1.721099546624098e-05,2.668833448830862e-08,1.1931901803327568e-05,9.550495521906726e-06,2.8756220659807333e-08,0.00028669369896569546,0.002920637080218003
1000,0.012398259782279902,0.037962364110535135,0.004466299445637645,0.002002879891761159,1.7278966695340272e-05,2.6919230447389153e-08,1.1861673157236632e-05,9.556668072715409e-06,2.8587997944975248e-08,0.0002866989943144157,0.0029076082360271743
1100,0.012451056392565545,0.03796042065916271,0.004515485199332321,0.0020049454297562893,1.7287692720008338e-05,2.723918571355681e-08,1.1847179217279984e-05,9.56100653938439e-06,2.8536034622358033e-08,0.0002866979036466924,0.0028964916541497987
1200,0.012565876938793852,0.03796013441036416,0.0045829519373574495,0.0020049749559163856,1.7332427452199646e-05,2.747879642932757e-08,1.1816022772810366e-05,9.565023147370235e-06,2.8446034336786308e-08,0.0002866939486089015,0.0028834956704802757
1300,0.012652110418985885,0.037949940115229154,0.004620117866800517,0.002005541634923902,1.734905796641258e-05,2.769935832055539e-08,1.1798867489220384e-05,9.568672222579205e-06,2.8326281778726475e-08,0.00028669494145089873,0.00286790986175605
1400,0.012751318930658794,0.037948355675692484,0.004657092054603524,0.00200618052935771,1.73448949443482e-05,2.7875155319290177e-08,1.1780880121287821e-05,9.56898386890584e-06,2.828256735578994e-08,0.00028668820202267144,0.0028563832156342584
1500,0.012811450493130634,0.03793648729484604,0.0047039099836357215,0.0020084498294041394,1.737371859473063e-05,2.8153862091368366e-08,1.1769139634528094e-05,9.575010544299877e-06,2.831626116224178e-08,0.00028670405626920136,0.0028466753058785923
1600,0.012835374354081263,0.03793506167270443,0.004779608670219664,0.002008322901285552,1.737469600686101e-05,2.8345788305074315e-08,1.1737888484981745e-05,9.571889462977444e-06,2.829715211579841e-08,0.0002866949550347516,0.0028380556580732096
1700,0.01295454787072364,0.03793296494467488,0.004799588830064892,0.002010634567945368,1.736620575607813e-05,2.8502180302263635e-08,1.1741843498099094e-05,9.574948162254093e-06,2.824902667527893e-08,0.00028670467599949665,0.00283155637798022
1800,0.013046419390751634,0.03792334292575749,0.0048871801951031225,0.0020108262545735114,1.7381229522512848e-05,2.8569280377573637e-08,1.1762998564001237e-05,9.576400265372141e-06,2.8285802910578175e-08,0.00028673163759092025,0.0028204240144293555
1900,0.013175402817022147,0.03791560145533004,0.004907652851289838,0.002012672110160105,1.7371748476413742e-05,2.881336479740125e-08,1.172676278881643e-05,9.573835995522631e-06,2.821612621309086e-08,0.00028673046328320413,0.002814245835740661
2000,0.013214533136458907,0.03790896408194672,0.004955401646681591,0.0020128278962574997,1.7368157064700093e-05,2.8945816194262845e-08,1.174574239426398e-05,9.571825999131088e-06,2.8255682128541534e-08,0.0002867549659213799,0.0028055703004081067
2100,0.01326019653110808,0.03790518303969768,0.004965175569417539,0.0020141556837476545,1.736469802922477e-05,2.895066705570049e-08,1.173796092758914e-05,9.576612061025441e-06,2.822030162512851e-08,0.00028681836832587966,0.0028061958342000233
2200,0.013404128088085034,0.037894404792037345,0.00504206314319758,0.0020163765929116888,1.7360952989679967e-05,2.919458602423623e-08,1.1748820270419429e-05,9.570598206604496e-06,2.8335660813555334e-08,0.000286820455834281,0.0027976001516972705
2300,0.013449923714853757,0.037893535924985046,0.005031322115897465,0.002016923746624768,1.7361850970059554e-05,2.916306747228009e-08,1.1763765613692431e-05,9.574469587911733e-06,2.8330498287662232e-08,0.00028683423849880314,0.0027987782584748197
2400,0.01354163827932464,0.03788695947430872,0.005105614444825876,0.0020192638677671926,1.7348778579349423e-05,2.939094642837171e-08,1.176661114231026e-05,9.57731429842655e-06,2.834952960740317e-08,0.00028690849055729026,0.0027875317917249536
2500,0.01365219662187779,0.03787479430414325,0.005134318633148809,0.002019563597698435,1.735040243469137e-05,2.9422041260983312e-08,1.1780063057697357e-05,9.570767639077985e-06,2.8311024429974943e-08,0.00028691574312474756,0.00278612918672922
2600,0.013748633000447246,0.037865473584703255,0.005148173843105912,0.0020203574309148997,1.7354482950814238e-05,2.9387621880007533e-08,1.178541467884087e-05,9.568938405771912e-06,2.836545339531115e-08,0.00028698019262315527,0.0027866046832045565
2700,0.01382367075074136,0.03785897260500995,0.005166691197977415,0.002023383059881066,1.73515978994011e-05,2.9490079671171954e-08,1.179326970298443e-05,9.569557692802506e-06,2.8463767660225275e-08,0.00028701175367163556,0.002780873410357338
2800,0.013900917817275685,0.03785453697338874,0.0051994311739453425,0.0020232770881890563,1.7342235152269812e-05,2.9733557356601216e-08,1.1788032078729905e-05,9.568246585932141e-06,2.8437839347444287e-08,0.0002870583152549256,0.00277934963384763
2900,0.013916959314043114,0.037847313211149564,0.0052035223720016165,0.002025880311284637,1.732462026300131e-05,2.974387110867775e-08,1.181790603257885e-05,9.567932688429182e-06,2.8411967661229014e-08,0.00028706493991246124,0.0027801336101946645
3000,0.01404234848538366,0.03784263025114768,0.005236321992725779,0.0020266449252657917,1.731900464308343e-05,2.9681486655986137e-08,1.1807162403447248e-05,9.57087667008337e-06,2.84270361430281e-08,0.0002871254466183043,0.002781122366186235
3100,0.014074886983074587,0.037833805819382796,0.0052667764970078445,0.002028948713998932,1.7310925319462276e-05,2.97329645849602e-08,1.1841445367561904e-05,9.567666055158649e-06,2.8473235088891904e-08,0.0002871552478318294,0.0027825301593328313
3200,0.014227538026842358,0.03782761839899218,0.005274891843248053,0.0020306368590280585,1.7303258300156485e-05,2.986407135756717e-08,1.185185336015353e-05,9.568560111563688e-06,2.854438340947024e-08,0.0002872019035733925,0.002775292688013312
3300,0.014330174088770246,0.03781671713551607,0.005307657349056483,0.0020323388828279855,1.7273465413053903e-05,2.997698864064468e-08,1.1852789588274234e-05,9.564923367108792e-06,2.855969934893332e-08,0.0002872786105928151,0.0027779494797154918
3400,0.014334453247531137,0.037813211527014556,0.005316927685024001,0.0020338628654851293,1.7270796450383264e-05,3.00565526809417e-08,1.1869246239835125e-05,9.56320268411533e-06,2.8598636489427704e-08,0.0002873282731463345,0.0027756594030057275
