miliseconds,FeDuo,FeRBC,FeSpleen,FeLiver,Tf,Hepcidin,Fe2Tf,Fe1Tf,NTBI,FeRest,FeBM
0,0.011808852556075682,0.03798009601094832,0.00394405377890512,0.0020007644563692657,1.5817994769329753e-05,2.2921450041145434e-08,1.3534522208295487e-05,9.352897153036915e-06,3.334397865135948e-08,0.00028682655134714877,0.0030400586929024394
100,0.011855589354019303,0.03798323175352861,0.00395251465092027,0.002000894669044431,1.6064407660163314e-05,2.3615034395406756e-08,1.3261115513048586e-05,9.364649326892057e-06,3.227128203764723e-08,0.0002868563620566679,0.00303524085008768
200,0.011856172749753511,0.03797868181790408,0.00397216559628236,0.0020006283713257136,1.635597461397932e-05,2.400150449186705e-08,1.2956342402146772e-05,9.417272736468004e-06,3.134568807085775e-08,0.00028683789035210174,0.003030958909263674
300,0.011935294791422626,0.03798100536678784,0.004044353994543776,0.0019998005619539356,1.6582870860567712e-05,2.4572795975021474e-08,1.267511655696421e-05,9.453774557693184e-06,3.06020723663916e-08,0.000286821939720554,0.003015112248675927
400,0.011954222315625169,0.03797564240662627,0.004094389218372322,0.002000553133599839,1.6762014164506793e-05,2.4951820989563905e-08,1.2449237943673307e-05,9.485591662106425e-06,3.010796831939961e-08,0.00028682506821396274,0.0030039719388606067
500,0.011997937299374825,0.037979463005382144,0.004152513340378257,0.0020013339689207567,1.6893684882647156e-05,2.5281120787746847e-08,1.2306005057128456e-05,9.50458703936347e-06,2.966477264104362e-08,0.00028680422410281415,0.0029847949551506667
600,0.012138554099761075,0.03797930697046703,0.004219682988210039,0.002000473939580018,1.7010421825878492e-05,2.5658063144430517e-08,1.2168782972244105e-05,9.525076470901076e-06,2.9285296333293617e-08,0.0002867824187929811,0.0029737017979480198
700,0.012200878022593672,0.03797107770694335,0.004251311199935956,0.0020015929002543354,1.710518931511128e-05,2.6048207308084917e-08,1.2077954458345672e-05,9.534443935953384e-06,2.9032998148942663e-08,0.00028673437292644246,0.0029522303364098194
800,0.012286670659872675,0.037968317500003235,0.0043036345786134945,0.0020014456162424426,1.7157174818655983e-05,2.6410113320216232e-08,1.1989213810700164e-05,9.547147102702054e-06,2.8895398451796193e-08,0.0002867224280957997,0.0029389587419778817
900,0.01228411199380679,0.03796347480388054,0.0044047028071238946,0.002002617149609217,1.7233796987867587e-05,2.6766436416758894e-08,1.1920316765151359e-05,9.550970929867277e-06,2.872650351028956e-08,0.00028673555311976607,0.002919635621586541
1000,0.012337417383326258,0.03796185638648333,0.004450102148862894,0.0020036519497069385,1.7253606856226894e-05,2.6996198365118213e-08,1.1876223773867159e-05,9.55657580593114e-06,2.8585765278709934e-08,0.00028671427667728994,0.0029040639972076907
1100,0.012431122028909135,0.037962898256957624,0.004484031712663538,0.002003674665250214,1.7287565975987945e-05,2.7201746514229797e-08,1.1852200822547755e-05,9.561452156487477e-06,2.8485170563868574e-08,0.00028668414475471206,0.002890215564787027
1200,0.012576046158266699,0.03795799165348978,0.0045732788690894,0.0020057096181302163,1.733199735407545e-05,2.7540429665689465e-08,1.1791841376932804e-05,9.568540830371038e-06,2.8415925413769507e-08,0.000286708855503255,0.0028771254560592922
1300,0.012624653903366697,0.03794827798638177,0.004631540706636303,0.0020067354674867996,1.7355323559969113e-05,2.770836200725435e-08,1.1772890950305188e-05,9.568496837713481e-06,2.8374933195356932e-08,0.00028668444121939007,0.0028694809101566447
1400,0.012702776015869917,0.037942585138079195,0.004661008388935319,0.0020069070237975902,1.7343906793878446e-05,2.8013940004577005e-08,1.175285175390082e-05,9.569502853490885e-06,2.8303268246611093e-08,0.0002866944627404003,0.0028536411635379936
1500,0.012825301497303165,0.037944724202902506,0.0047281075546396125,0.002008409817573481,1.7371894786992778e-05,2.8210385922219274e-08,1.1763967353184695e-05,9.570907943913361e-06,2.8320666568253687e-08,0.0002866909557692528,0.002844400788915308
1600,0.012884694669846401,0.03793525405040328,0.0047493211051840446,0.0020096578345363547,1.737962515788972e-05,2.8312213311155195e-08,1.1739031120381973e-05,9.571563713701403e-06,2.8221140142971585e-08,0.00028672450708430085,0.002838139464898426
1700,0.012906404038048543,0.03793076104949896,0.004822693412608823,0.0020090829385648657,1.736964413352799e-05,2.8368222278602908e-08,1.1728086299776812e-05,9.573023905272406e-06,2.8233316147436712e-08,0.0002867383699550583,0.0028276637674267673
1800,0.013082630050404697,0.03792162254573291,0.004878467215867284,0.0020104776184536135,1.737858529579822e-05,2.8619405556851212e-08,1.1761462889248868e-05,9.57279500781915e-06,2.8277607801289843e-08,0.00028670640263752604,0.0028177435660021216
