milliseconds,s1,s2,s16,s22,s23,s24,s25,s26,s27,s28,s39,s40,s41,s42,s65,s29,s30,s31,s32,s62,s36,s45
0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
100,0.03599453428751579,0.029000923503666384,0.009139688138538526,0.014997871697839787,0.0014188624907002043,0.008033938425348237,0.008794320159123313,0.002852918947150251,0.0033285738473582903,0.014071966809685263,0.010023165449978744,0.013524030861511974,0.015409634812440983,0.014264054099792846,0.0076636962729023745,0.00010928765524803716,0.03397625845403155,7.34428139726206e-05,7.158621135137413e-05,0.01406286613024939,0.010838090616088076,0.0050249696722626065
200,0.044367890891653654,0.048693850579456216,0.008177419092384307,0.01752903390276849,0.0009391700731235884,0.004663348508610305,0.0055794506113879695,0.003610250555958255,0.00370375629163576,0.009941608969384435,0.010039006656130636,0.01721513435810766,0.020486456093299646,0.01848147535166268,0.00604192367404798,9.754566542457658e-05,0.03265915987220395,4.707286912264285e-05,5.043702366108919e-05,0.015532247956274127,0.01172113538484797,0.002573842121644386
300,0.05121750973372178,0.06891609001226642,0.007540155741139795,0.018841865354532274,0.0006283241127020217,0.0024562656010133216,0.003010489803708086,0.0045640372962450606,0.00501860395297109,0.007042031711224461,0.010048928126388752,0.021050265097328037,0.025263091360629982,0.02265319301979416,0.0049780977753571196,8.73873145006708e-05,0.03004063272456073,3.36286206651467e-05,4.567592344249491e-05,0.01609744598849491,0.01226047063095789,0.0013599479992326582
400,0.05660460429847419,0.08953721874218923,0.007169379210762722,0.01955040116517618,0.0004165104055579991,0.0011775320355104527,0.0013500187034107775,0.005529842819404136,0.006788197956617898,0.005010719954733056,0.010055196245445153,0.024970918578906716,0.029825245647871687,0.026786914922114515,0.004353940849274171,7.537813901394273e-05,0.026415352609528778,2.1831324767963785e-05,4.098672182998976e-05,0.016319677323268545,0.0125270320216096,0.0007568414505426842
500,0.06055546340218281,0.11046248168929981,0.0069597920094130565,0.019958378955483778,0.000299141554462041,0.0005984599079471403,0.0005786198718330228,0.0063989357217640345,0.00851161262267019,0.00358926018202192,0.010059372178350201,0.02893120347470738,0.03424126073419067,0.030889826653447482,0.004072806735523468,6.251014124040992e-05,0.022198170348816895,1.3899378530771903e-05,3.6866423353725166e-05,0.016400115156697703,0.012630416649624249,0.000456488473849272
600,0.06318400822998907,0.13162314700185163,0.006838535345482732,0.020216517754849075,0.0002485673175713425,0.0003932520827613394,0.0003157016388603765,0.007123820013224472,0.009569248816377272,0.0025954460398782075,0.010062353600674855,0.0329028799242619,0.03855382065172162,0.03496680681439483,0.004053349722926524,5.033706321733795e-05,0.018139043304554715,1.0243126443235287e-05,3.4372921104042936e-05,0.016418122954781792,0.012645120044948908,0.00030653457946221266
700,0.06469360768013593,0.1529665529765135,0.006763689904822745,0.020399735383782713,0.0002340848044857454,0.0003325751437041559,0.0002400797948088539,0.007717418843596495,0.009788188771491723,0.0019015169282988451,0.010064622772887343,0.0368702674407982,0.04278707191384195,0.03902075175854176,0.004227219184378087,3.9955537824980494e-05,0.014693329777074398,8.847498451686308e-06,3.307388445444099e-05,0.01640760324539482,0.01261373626962025,0.0002313873437965683
800,0.0653218745600174,0.17444916219928064,0.006712742576608093,0.020545308845502035,0.00023890304137415844,0.00032337338659392306,0.0002223234074216616,0.008202719762140697,0.009372927217050516,0.0014182577608682087,0.010066431095145843,0.040825109048355374,0.046954121290118396,0.04305328250664757,0.004538280806223657,3.167333518606064e-05,0.011923186903817082,8.23312495155641e-06,3.2307810901819916e-05,0.016383887389978438,0.012559071534280068,0.00019347619575698684
900,0.065291689984265,0.19603288975460398,0.006673974497142658,0.02067179799170581,0.0002560920946608811,0.0003368704926583679,0.00022538035967839692,0.008590912690212836,0.008592015332618634,0.0010832859624637721,0.010067907845732638,0.044763202610842656,0.051062019366188156,0.04706529226310848,0.004941786626407602,2.5332999394813244e-05,0.00973560726218382,7.86074963158038e-06,3.1741913196427365e-05,0.016354174378666604,0.012492974831256,0.00017411036933916377
