miliseconds,Th,T,Cs,Cp,C
0,-8.357422342630517e-06,81522.76637667391,-0.0001637233360767045,-0.00044625167253219665,-9.1895540461936e-06
100,1.0953194097538082e-05,107676.17253954042,0.027232784807446828,0.0331255646182446,0.027514196676879734
200,3.613460876845437e-05,108354.54831978041,0.028299429610565863,0.030939529030200783,0.028229271764037774
300,6.821721798163365e-05,135315.0926570713,0.02836683429698975,0.031912796542046,0.028187849988488254
400,6.852459741059133e-05,119909.30631528392,0.02838816028633441,0.032249740576469295,0.028221466625811337
500,9.649254323022043e-05,146662.64128281563,0.02830694767466892,0.03240799734067256,0.028194648563301724
600,0.00012393778860532684,152293.79353180487,0.028229943118486395,0.03405563727763957,0.028172240645618647
700,0.0001423237536903063,153265.84831646265,0.028207618557097112,0.032298579544446315,0.028215474574191567
800,0.00016007206685452098,161671.45163973462,0.028145772049522746,0.03461070879304542,0.0282700000161267
900,0.00017490429806352759,151406.54971673718,0.028064400016865703,0.03585930442956355,0.028104815412761577
1000,0.00020866456772897988,175035.8781351724,0.028140821894889447,0.03413241079810168,0.02819268331757185
1100,0.00022973748311404897,185831.6418868659,0.02828109754790486,0.03682621691460826,0.028040877233995544
1200,0.00024814605499689726,201931.60470037968,0.028206576138308032,0.03644000019993791,0.02837205175096497
1300,0.0002804560522597437,206084.01441400597,0.028229147671725036,0.04024647649274353,0.028036443711092946
1400,0.000301055240982512,210692.827487328,0.02801664039890825,0.04150858210050584,0.028129499696278464
1500,0.0003033039913733396,223998.67175413307,0.02800229991106056,0.043404239690125475,0.02825196973375565
1600,0.00034385649397720747,219044.4259216258,0.02810813862591971,0.04372927271180156,0.027942411314761773
1700,0.00035585514214713225,259066.7539444597,0.027927915609116737,0.04318889770544548,0.027943993905219608
1800,0.0003797501474561412,271789.01844841515,0.028255594677790097,0.046383822520850125,0.028080100486443348
1900,0.0003804951473568241,267515.58371997945,0.027997103188485705,0.046168831873890405,0.027972504443944043
2000,0.00041367995730879796,281496.10389456537,0.028087357846695124,0.050048033026294216,0.02817006191045897
2100,0.00042358305990257525,290774.8007824641,0.027901108130357448,0.05059654839628508,0.028114805536515644
2200,0.00045745875894322684,302741.525778416,0.027776369238177816,0.05590425581832243,0.027735753251003793
2300,0.0004766598648742791,341364.403168867,0.027699330215833155,0.05510727994469743,0.027975964992909677
2400,0.0004925376590001904,342704.23244059185,0.027749021372234735,0.0624434528383416,0.027850118295192912
2500,0.0005012240408055805,365524.80593100155,0.027823015368756955,0.06069998687335956,0.02753271287300898
2600,0.0005280738891069919,394614.0935267095,0.02752296137814262,0.06842065916878588,0.027609964033863257
2700,0.0005376236747555496,416140.5445323838,0.02764965868245269,0.06778669868048667,0.027500546775886196
2800,0.000556401973788698,418158.61833820835,0.02727385818364218,0.07281494726888495,0.02757406164838354
2900,0.0005686287364749764,435873.4194618442,0.027286992320023667,0.07909456447439576,0.02722784010821179
3000,0.0005886935006253613,493834.13283075916,0.027343800765729582,0.08142482506081547,0.02715677102129964
3100,0.0005977201336774496,521288.4227262591,0.026978961185446775,0.0861092629739268,0.027118668813432625
3200,0.0006246137860451886,548394.2113574311,0.026989404275382607,0.09363616355235456,0.027145205800897944
3300,0.000627070890021569,580628.6120100666,0.026972182315857986,0.10073612243781159,0.026728302850957803
3400,0.0006634814144395849,593461.5468716702,0.02682358139490742,0.10221810788700804,0.026523721086318557
3500,0.0006639387344319751,644214.482774098,0.02659316634606684,0.11146334320668208,0.026629630129676733
3600,0.0006763183287539391,682539.4129056789,0.02638556080880534,0.1190320901001565,0.026248629363803042
3700,0.0006972873856601154,693886.7995482725,0.02642267063290791,0.126053358508987,0.0263345025134885
3800,0.0007124043818586633,760935.609321565,0.026043202384015345,0.13348418556341227,0.026235557838307597
3900,0.0007041212171795637,783558.146440249,0.02606299459558663,0.14208125254271284,0.02587952365767501
4000,0.0007372612470407214,820552.4378497937,0.025717777359542893,0.147361211094929,0.025845302874467402
4100,0.0007293634668435723,888397.9389867843,0.025443790877427416,0.15696331890387732,0.025364562063491934
4200,0.0007391292528130842,940941.9061181174,0.025232188482763263,0.164398740908252,0.02539211616108558
4300,0.0007579752979255709,984428.263061286,0.02535514956411124,0.1753181997103641,0.025384071191105407
4400,0.000760207507192793,1042835.3365346441,0.0249580300626042,0.18079399846530925,0.025154341648668414
4500,0.0007704681279725038,1130307.7942697725,0.02504662092018862,0.19081916324602222,0.02493208597818627
4600,0.0007663411873289313,1186760.8688869749,0.024783111588359698,0.1968134230410999,0.024730579490256113
4700,0.0007904422928434999,1272402.2797907535,0.024532692007238902,0.2075578251958395,0.024340670467065603
4800,0.0007741221410345812,1356674.690587724,0.024419569038877553,0.21440494805033272,0.02450067146815151
4900,0.0007961513665045317,1417045.4017612156,0.024007812860873275,0.22480441981053595,0.0240257515513899
5000,0.0007815111364421949,1506482.5148066133,0.024178210605875213,0.23231070790930466,0.02391714996001142
