miliseconds,a,b
0,50.00336584136666,0.005301550016252811
100,50.00536404407637,0.0196038467224724
200,50.00232917135306,0.02179582133014378
300,50.00306294139012,0.04350117168895476
400,49.988946352232915,0.0468425586056035
500,49.99596155826897,0.05682254595599742
600,49.9853537927088,0.06464397338914463
700,49.996585922462344,0.07620984493499276
800,49.99048032460755,0.09121563488212842
900,49.97948339562734,0.10171883185508132
1000,49.98338659969282,0.11434270127598423
1100,49.98217922511194,0.1355678408114939
1200,49.97219267954748,0.14422647055739604
1300,49.96381573068671,0.14739138659560505
1400,49.95160436665696,0.16475286644250478
1500,49.95844752623059,0.17961730957550487
1600,49.94251849936338,0.19276120100205665
1700,49.9448653077274,0.19515469426027163
1800,49.93319459854623,0.2134216568481692
1900,49.92188587315471,0.22975557843374397
2000,49.90885231310946,0.24254230459898715
2100,49.91015263661657,0.25583148373229647
2200,49.89122302056874,0.2659085405753247
2300,49.890176734294265,0.2717749550335171
2400,49.873961580678994,0.2839445330138839
2500,49.86937248678538,0.3051122482268376
2600,49.86236346885632,0.30694507314146635
2700,49.846619434787776,0.31850458239931195
2800,49.83771025325341,0.33592060030133797
2900,49.8238367739992,0.3363158352912462
3000,49.81688482227048,0.3514505008277443
3100,49.79778926321107,0.3697325061766157
3200,49.79184136912178,0.38297856562362087
3300,49.77356420365701,0.3820211077584138
3400,49.75903486698998,0.39851718472579706
3500,49.74395255533974,0.4197335787673332
3600,49.73508188673491,0.43139706697171387
3700,49.72290655007245,0.43609502399721006
3800,49.70266188433178,0.44890342930666566
3900,49.678001733282784,0.46556314735470256
4000,49.66307829515176,0.472176899514016
4100,49.655429780519846,0.47967458739538066
4200,49.63620151115341,0.49269787457514075
4300,49.61222887508003,0.5085039990505809
4400,49.60552727186383,0.5149016910384062
4500,49.57738309824447,0.5285012969319299
4600,49.55965380361431,0.5477734901970481
4700,49.53729697994864,0.5602313005537821
4800,49.53101667374006,0.5589628452598471
4900,49.512375063196934,0.5699690651023588
5000,49.48142486436939,0.5914824610442729
