milliseconds,S_d,E_d,I_d,R_d,S_h,E_h,I_h,R_h
0,35000000.0,200000.0,100000.0,200000.0,1290000000.0,250.0,89.0,200000.0
100,34740435.05019127,156115.66989465454,129378.55998795699,478469.2810051937,1291171891.056512,155.41594629567416,121.79412068565513,180923.28482571663
200,34488972.66940533,141748.87218759116,149622.84784106474,726013.3808234775,1292341584.519704,111.40939317403632,135.69484448465505,163663.74160048543
300,34253254.79484034,140876.11562196992,166283.0408333247,946079.535757333,1293509268.846435,92.46643834345255,141.1658239327585,148049.81306967893
400,34035071.4907585,146393.91290584585,181865.03060733798,1141705.6164524485,1294675108.3910878,86.1158859834585,143.29881443712586,133925.37595726925
500,33833774.22860372,155164.47656550969,197521.65641196712,1315580.5151754587,1295839248.8558393,86.2364665743668,144.55836448847617,121148.7508436518
600,33647772.08237524,165815.63583143658,213804.8911587798,1470089.454661656,1297001820.5888116,89.81664647321247,146.12224827247744,109591.55541456614
700,33475180.335993316,177762.1027195935,231001.03955490634,1607350.4968371955,1298162940.7833683,95.37566443789372,148.5396312039772,99137.54922956665
800,33314093.807300452,190770.48971991686,249279.96497463953,1729245.3177837455,1299322715.089271,102.19105931482193,152.0549416440585,89681.53117415174
900,33162695.618595947,204765.26018180986,268761.7552201457,1837445.8357269848,1300481238.8880608,109.91790557499306,156.76798307190813,81128.31364474949
1000,33019293.785393443,219742.5674821998,289546.3354714219,1933437.5464216198,1301638598.356938,118.4012060465438,162.71268318427363,73391.7809677611
1100,32882327.506035753,235731.36985489356,311726.7944879433,2018540.1326712717,1302794871.3881507,127.58203672152965,169.89611029473318,66394.03077104311
1200,32750360.83430617,252776.03371978327,335395.266159225,2093925.7229820495,1303950128.3988936,137.45082404057757,178.31744356890928,60064.594011769
1300,32622071.888740823,270928.28586370236,360645.5327771745,2160635.1458019554,1305104433.0551262,148.02358546585148,187.97716893493217,54339.726112734555
1400,32496240.90431383,290243.6248687836,387574.018985021,2219592.3101333873,1306257842.9183352,159.3304846126761,198.88105534859747,49161.76716510315
1500,32371738.828617487,310779.4425428584,416280.1122577102,2271616.948944405,1307410410.0263588,171.40990879189945,211.04182436834282,44478.564501597095
1600,32247516.88545251,332593.7609095455,446866.1851003099,2317436.0729175154,1308562181.4223716,184.30494144788517,224.47984509428147,40242.94559007116
1700,32122597.089037515,355744.4336646718,479437.36360183725,2357694.268634163,1309713199.6370502,198.06164609196122,239.223097271131,36412.236601979115
1800,31996064.159810226,380288.52835856186,514101.10178475763,2392962.640335667,1310863503.1155632,212.72849558050018,255.30669363569334,32947.83546020019
1900,31867058.779524975,406281.65009967913,550966.643569418,2423746.6357281827,1312013126.598496,228.35602383483302,272.7723389289386,29814.830870829235
2000,31734771.831910353,433777.0481912478,590144.4267860358,2450493.222688334,1313162101.474955,244.99609645466268,291.66795528711145,26981.649478580457
2100,31598439.577613175,462824.6852929509,631745.3513035531,2473597.3706523785,1314310456.1056476,262.70131802814984,312.04724152249247,24419.733034930156
2200,31457339.84983891,493470.32060809503,675879.876388511,2493407.7461104374,1315458216.1120872,281.52477551636025,333.9690729314901,22103.249311621552
2300,31310789.288465045,525754.4925188194,722656.9745386532,2510231.7098145895,1316605404.6352525,301.51979525920603,357.496865781462,20008.833661763867
2400,31158141.50791655,559711.3348578325,772182.958094356,2524339.785099863,1317752042.5702753,322.739464523544,382.69799507950756,18115.3548242707
2500,30998786.084742665,595367.2821812336,824560.1562885009,2535969.6899417946,1318898148.780715,345.23601502178974,409.64320770669707,16403.70137101639
2600,30832148.3250064,632739.7231071929,879885.4204568572,2545329.9489384145,1320043740.2930107,369.0602213296277,438.405952939585,14856.58812196047
2700,30657689.81024528,671835.5948976392,938248.4604204941,2552603.1064903033,1321188832.4719713,394.26078892614373,469.0616304243249,13458.381706458822
2800,30474909.688977905,712649.9016942113,999730.0243281439,2557948.5958397314,1322333439.1794918,420.883633947176,501.68678686743084,12194.943162806621
2900,30283346.639867973,755164.1823792001,1064399.9267352154,2561505.3213090138,1323477572.9187899,448.971042486037,536.3582566542678,11053.485310212545
3000,30082581.429547504,799344.9774469675,1132314.9291612715,2563393.9898392176,1324621244.965633,478.5607620445682,573.1522161195796,10022.443403798155
3100,29872240.001925126,845142.3313777263,1203516.4891246308,2563719.214619175,1325764465.4875386,509.68504766998666,612.1431372616943,9091.358094235711
3200,29651997.029960353,892488.3582630252,1278028.4048633568,2562571.4154013,1326907243.6520147,542.3696443802904,653.4026474667417,8250.769651198128
3300,29421579.83596382,941295.9120946153,1355854.3877813416,2560028.5433775145,1328049587.7250342,576.6326982604671,696.9983004526953,7492.122271898129
3400,29180772.565724693,991457.4188088117,1436975.5993060677,2556157.655009202,1329191505.160805,612.4836186284336,742.9922546244129,6807.677406934472
3500,28929420.493010987,1042843.929014329,1521348.1977894607,2551016.353023067,1330333002.6836681,649.9219193467356,791.4398573243753,6190.43525678921
3600,28667434.32349529,1095304.4463139705,1608900.9512377337,2544654.1093415604,1331474086.362832,688.9360564176902,842.3881435203308,5634.063715219768
3700,28394794.353977107,1148665.5868370715,1699532.9792632572,2537113.4837633716,1332614761.6806235,729.5022779755263,895.8742635452494,5132.834060446819
3800,28111554.329421155,1202731.6280637986,1793111.6932027058,2528431.250907438,1333755033.594889,771.5835136177599,951.9238556382043,4681.562726909454
3900,27817844.833807927,1257285.0017592558,1889471.0085571024,2518639.4454367645,1334894906.5960891,815.1283378999299,1010.5493815911083,4275.558566074974
