milliseconds,IX,IX_TF_VIIa,TF_VIIa,IXa,X,X_TF_VIIa,Xa,VIIIa_IXa,X_VIIIa_IXa,V,Va,VIII,VIIIa,IIa,II,II_Va_Xa,Va_Xa,mIIa,I
0,9e-08,0.0,5e-09,0.0,1.7e-07,0.0,0.0,0.0,0.0,2e-08,0.0,7e-10,0.0,0.0,1.4e-06,0.0,0.0,0.0,0.0
100,8.896274140116915e-08,1.013933784038759e-09,2.8946641420591915e-09,2.3330044409407294e-11,1.68796533903906e-07,1.0913711252684537e-09,1.1207854043959711e-10,1.389640573202888e-19,3.7666822328730536e-20,1.9997990916816546e-08,2.008579666277246e-12,6.999648401454701e-10,3.515967789918713e-14,3.331085921823728e-27,1.3999999996189041e-06,2.4448531172380693e-16,2.5903186689129387e-16,1.366105353840187e-16,-1.0063578730498102e-22
200,8.889565364290152e-08,1.049675324428653e-09,2.8753818862764733e-09,5.466508003934131e-11,1.6868872434078045e-07,1.0749780781845626e-09,2.3629013472079914e-10,2.6106780137520013e-18,1.3454630704342495e-18,1.9991019720685416e-08,8.97027427627944e-12,6.998428260761619e-10,1.5716996769762558e-13,5.880394815186075e-24,1.3999999883327833e-06,5.317050625127002e-15,4.6879876768384785e-15,6.350165818954924e-15,-4.065789000062057e-21
300,8.886203263774013e-08,1.0514965526155233e-09,2.875091265648558e-09,8.645475818434103e-11,1.6856665762199594e-07,1.0735073627220837e-09,3.597713009184978e-10,1.3118156250848594e-17,9.326268791539199e-18,1.9979105875325512e-08,2.084019247716216e-11,6.996342390621749e-10,3.6573849340382785e-13,3.994504220104381e-22,1.3999999162490646e-06,2.950435088760963e-14,2.4427846431638386e-14,5.424658339284581e-14,-3.165722548695725e-20
400,8.883022717217587e-08,1.0513735843742823e-09,2.876004429274762e-09,1.183701017706601e-10,1.684439398809706e-07,1.07279454034084e-09,4.830806286828044e-10,4.023162856694799e-17,3.480570724795321e-17,1.996226791421975e-08,3.755698311029084e-11,6.993392667523149e-10,6.60658210380677e-13,8.267963313053677e-21,1.3999996611407204e-06,9.716776160051155e-14,7.793490835736307e-14,2.4169150899978006e-13,-1.3154946467977986e-19
500,8.879820579231989e-08,1.051363149661276e-09,2.8765652132930446e-09,1.5039050263344605e-10,1.6832105187279933e-07,1.0723112653925406e-09,6.061902162843414e-10,9.528672545044785e-17,9.416741790493333e-17,1.9940516292626518e-08,5.905062845351124e-11,6.989578236701092e-10,1.0419868758516046e-12,7.797944924527605e-20,1.3999989973478322e-06,2.423718628479107e-13,1.9070705712379512e-13,7.602802262128332e-13,-3.9255569955524096e-19
600,8.876630249736617e-08,1.0511233934092067e-09,2.8772162041874266e-09,1.825188762008505e-10,1.6819805014359064e-07,1.07198600590254e-09,7.290232291624817e-10,1.9242879852741222e-16,2.0940699430315697e-16,1.9913857353612505e-08,8.52392308097708e-11,6.984895481233164e-10,1.5100500412832628e-12,4.777204360160655e-19,1.3999975671569515e-06,5.084545808139467e-13,3.949609969083367e-13,1.9243879889475084e-12,-9.54464492895505e-19
700,8.873432421928868e-08,1.0508598923256693e-09,2.8779273819233547e-09,2.1475260002480532e-10,1.680751866244483e-07,1.071584128323482e-09,8.514923391138174e-10,3.491236883322624e-16,4.0914360942287254e-16,1.9882286022613057e-08,1.1603492415388855e-10,6.979334943070799e-10,2.065747429104964e-12,2.5592733901423966e-18,1.3999948177497e-06,9.488299692251937e-13,7.302232638282591e-13,4.233417770595947e-12,-2.0333763305245627e-18
800,8.870210343193946e-08,1.0507470820892675e-09,2.878609468724854e-09,2.470891936062734e-10,1.6795258998600184e-07,1.0709937557943636e-09,9.73495158137805e-10,5.853815685188078e-16,7.269385992686327e-16,1.984578372054777e-08,1.513514088367176e-10,6.972881010211856e-10,2.7105866732396738e-12,9.802270985044854e-18,1.3999900331068866e-06,1.6238383666853787e-12,1.2410322488284821e-12,8.343044943637842e-12,-3.91075168685503e-18
900,8.866975752899956e-08,1.0506617571031833e-09,2.8792388382737145e-09,2.7952925211184673e-10,1.678300766937376e-07,1.0703923591624338e-09,1.0949094300890694e-09,9.24129963208493e-16,1.201827394156298e-15,1.9804311747358447e-08,1.9111050104364957e-10,6.965509403808305e-10,3.446933700745797e-12,3.061586860129874e-17,1.3999823030012051e-06,2.600786143581871e-12,1.9769654543227994e-12,1.5096182034742097e-11,-6.948206417623717e-18
