milliseconds,taRNA,mT7cr,mGFPcr,pT7,pGFP,ara,pT3,mT3cr
0,0.017957841765854056,0.35694050990009385,0.17699219061177254,0.05233654973169855,6.33322597375842,-0.00011560075731477016,6.484180479142661e-05,0.005673079910219097
100,0.030641002675354974,0.3569405098999927,0.17698855593163337,0.05193284441585381,6.334582050789544,0.009954874320080503,6.538828752480207e-05,0.0056689007568095275
200,0.04278852224587856,0.3569405099002252,0.17699590885647273,0.05306262587358307,6.334019627872896,0.0099788674130607,6.398215863787355e-05,0.005661288626077624
300,0.03382490613045423,0.35694050990042603,0.1769953483874591,0.052686347665574985,6.335946053506922,0.009859602188395352,6.258626196528246e-05,0.0056715452035568225
400,0.04831245943999379,0.3569405099003981,0.17699388320103593,0.052221049939234924,6.337930497044367,0.009760074890828368,6.620417952074341e-05,0.005659896693059162
500,0.07314208239825944,0.3569405099004613,0.17699604089584814,0.053313750178128734,6.3482302144213865,0.009906362659149903,6.415284229935816e-05,0.005663666701553596
600,0.08115537068410596,0.35694050990069,0.17699299367468022,0.053660194244290776,6.342544976079544,0.009768319827215636,6.626115396995771e-05,0.005662999991149116
700,0.07924620300164713,0.35694050990064385,0.1769943002956383,0.052846138723590314,6.349918492307475,0.009738116042104365,6.834953470025462e-05,0.005655083630524649
800,0.09713966226115427,0.3569405099007437,0.1769909516559711,0.05263515762814633,6.346558149236567,0.009641808759102484,6.858345827683444e-05,0.005671450649100176
900,0.113698836647738,0.3569405099010247,0.17699714122843438,0.05453517897055744,6.347886641736768,0.009836526446577839,6.920665988627697e-05,0.005667969668594624
1000,0.13525361320041154,0.3569405099010975,0.17699334134139957,0.05394303333143551,6.3469072412754635,0.00974310267749909,6.921354474970094e-05,0.005676613011009055
1100,0.14698528388767718,0.35694050990109466,0.17699548817547361,0.05404015661523685,6.34523684921685,0.009659525354855118,7.122524927455855e-05,0.005672754415092408
