miliseconds,T,N
0,1.042560430844621,0.8975405146372458
100,0.9804551216682026,1.0270887239469784
200,1.0340451210355555,1.1000190191298926
300,1.0487437336624976,1.2066225510800792
400,1.125046358874187,1.1724309045402377
500,1.2017336632431046,1.2245912245358817
600,1.20718267643569,1.2376435193033615
700,1.2160444951675105,1.3345961578660852
800,1.2611112354773972,1.5067037107081043
900,1.2675917238879397,1.56110049699205
1000,1.3813393263289955,1.5813730563191435
1100,1.3799714763333648,1.515784672829446
1200,1.4695149979616946,1.7511460216442107
1300,1.5174291815693621,1.764530786848335
1400,1.5441150200573697,1.9122074550364225
1500,1.5491494388679983,1.8183505755367702
1600,1.5872476758598426,1.9731849909275767
1700,1.6628260169795286,2.1241171503031997
1800,1.6841185088107293,2.1774036341001106
1900,1.7642916376279532,2.203627332290872
2000,1.7711017441732542,2.430695311282815
2100,1.905920950243109,2.4527650867611914
2200,1.934278126995821,2.4569392472994984
2300,2.032998847691788,2.6258122356243754
2400,2.0844192001628454,2.7359615967365807
2500,2.11500536234053,2.837668414230029
2600,2.218185656796052,2.953185252459622
2700,2.2337563154278923,3.0372624163083595
2800,2.296200978383733,3.208153977838238
2900,2.4154756530038264,3.476111016370261
3000,2.427471712514553,3.4700793004179493
3100,2.520296337686492,3.7789515036470704
3200,2.6132425681766085,3.8771300756106486
3300,2.6925712026091153,3.9361918144812518
3400,2.789231174590396,4.167117797273268
3500,2.8618679722387066,4.4434193277819105
3600,2.895448381463026,4.651780666909991
3700,2.9818580378325685,4.834914960968317
3800,3.14293744739484,4.944562635770978
3900,3.214234489765794,5.166189054281908
4000,3.2984583802344947,5.503515805610286
4100,3.38201321030826,5.603602253471761
4200,3.539064207958095,5.797254619576843
4300,3.6578754332419523,6.203286531317442
4400,3.698362648457912,6.471729375519757
4500,3.8579332105682655,6.74086163060198
4600,3.9722784535752558,6.854057322049243
4700,4.052442149273279,7.273929646631573
4800,4.196494836863855,7.6037502512482815
4900,4.280126080721982,7.949951705652797
5000,4.447495652820305,8.173055635803859
