milliseconds,T,N
0,1.0268566436144129,1.088238046374582
100,1.0292135008749366,1.0547501253928453
200,1.0629878651087832,1.0422331138504162
300,1.1143562786885408,1.1910067484127855
400,1.1758965784450783,1.0902664608690082
500,1.144630209252193,1.15346292331335
600,1.214007946948483,1.2032513903611755
700,1.2681436579318486,1.3071834223972516
800,1.2978358067113505,1.4777822475699367
900,1.3045907775972367,1.397405936343721
1000,1.329463368868849,1.5079999798260564
1100,1.3712161470102964,1.6712254547245655
1200,1.449267986979406,1.6843840769981362
1300,1.4497868235680664,1.7060263141840761
1400,1.5628901257163748,1.7542180113040564
1500,1.5431752701621113,1.8123068035098233
1600,1.5701058930603884,1.9765316016705947
1700,1.6486597635714337,2.0970021396126164
1800,1.7120852997741287,2.2466245981750927
1900,1.7611480189435373,2.171788576952628
2000,1.8252146947347314,2.3238152002069477
2100,1.838260686005956,2.3613055246063976
2200,1.9386700774192729,2.5212706837346266
2300,1.9614072634474453,2.5698849352663107
2400,2.013109808777732,2.8680919585735998
2500,2.0982103342591634,2.9186125825231306
2600,2.218156735765884,2.9100070746308297
2700,2.264071174128798,3.1488439128162633
2800,2.295928294181022,3.209875171029323
2900,2.3599124130347104,3.494537257180037
3000,2.494060196022401,3.5318606482902273
3100,2.503595083301296,3.789362497718063
3200,2.6011217257246466,3.8007855505487957
3300,2.7154267730844555,4.024838896244037
3400,2.7792981083165835,4.108868338049789
3500,2.851628781967106,4.46544929141246
3600,2.950844520012751,4.491559114625575
3700,3.0040745651376404,4.766829629482882
3800,3.1480293296597037,5.060949936824599
3900,3.221853986587064,5.12226247771273
4000,3.341089455333648,5.50310704766911
4100,3.385403506825719,5.664119721866663
4200,3.546062307836483,5.787559749479124
4300,3.6584472682072025,6.175926962277467
4400,3.7494751122969663,6.365332993871631
4500,3.834358766088034,6.71170219389709
4600,3.974616701684495,6.850405498798745
4700,4.0543742171856,7.239149128120447
4800,4.150987544671793,7.471906269529237
4900,4.279851107865403,7.8564162526785575
5000,4.436668068463135,8.17880353350894
