miliseconds,T,N
0,1.0393105234449471,1.0963453935487015
100,1.0695648235990471,1.1377693585112718
200,1.061565709175041,1.0493188444818997
300,1.1437122112176432,1.1808874847886826
400,1.1172814405426712,1.2044779706157254
500,1.1578836688350356,1.30676920511538
600,1.2375034130694158,1.2708154406106063
700,1.2293697973735804,1.4457090713834346
800,1.2311533220679176,1.3451821588754327
900,1.3193402053119583,1.463965129049767
1000,1.3037167989376208,1.4278704080649123
1100,1.355492750894698,1.6769592560934694
1200,1.4329146298927025,1.5799752697243838
1300,1.4816514804075882,1.6939679439875086
1400,1.4701111038689956,1.8632191089885155
1500,1.5188204314201483,1.9331100879410206
1600,1.6403467553567135,1.9549973871463031
1700,1.6539571566292626,2.06685081197777
1800,1.7063849441829828,2.0849944988423763
1900,1.7825718728417086,2.274325128422935
2000,1.835482503772753,2.3779037155845817
2100,1.9114325039997428,2.505238808369723
2200,1.9062745392444973,2.4706425645922008
2300,1.9847260459129992,2.6288116488249207
2400,2.051549433359212,2.82061168326195
2500,2.147499274943232,2.8077010419116055
2600,2.168209758862582,2.9100596817402558
2700,2.284135398541287,3.177865712867013
2800,2.355467309831724,3.2518394250188742
2900,2.3503614502652064,3.484532464040925
3000,2.4128348036535665,3.6541695383205477
3100,2.5343610298492836,3.6378004087628226
3200,2.596885256241821,3.940222325036739
3300,2.684845228413449,3.9694159710879466
3400,2.734118322582829,4.26883804414
3500,2.7986237164183874,4.387454869609769
3600,2.940671110631352,4.486442894050481
3700,3.032591407426415,4.847522177134138
3800,3.1464660473104606,4.994859555639493
3900,3.155468616447887,5.124854699249246
4000,3.264453124159285,5.434906406853706
4100,3.4480169244387397,5.572486005104432
4200,3.511641618655641,5.814697255843429
4300,3.5809642806666457,6.140665174033569
4400,3.768107278890455,6.3014800588985125
4500,3.8174269200381064,6.722891534126413
4600,3.9980418462110934,7.040622509941185
4700,4.092488269399276,7.283229384658481
4800,4.206058187360678,7.480927513926518
4900,4.370302747100375,7.889141108064739
5000,4.431146370748142,8.259281618106755
