miliseconds,T,N
0,1.0019193181385497,1.0957356165991385
100,1.0340216275596679,0.9509968942042065
200,1.1097569307385324,1.145435007503247
300,1.0569489755907495,1.110354457192164
400,1.0967096799275633,1.2541215524851774
500,1.1411469907353573,1.2577628827529614
600,1.2133633032011297,1.33052260308419
700,1.2255218541682311,1.3050190372467523
800,1.2678664051586443,1.304394698147819
900,1.3455081408451928,1.4129742694572505
1000,1.3308652873752431,1.617474203156127
1100,1.3540049078607146,1.5885911654449603
1200,1.44519192437512,1.7338188093346683
1300,1.4523802857468522,1.7810878550517688
1400,1.5550246784403143,1.7159630225729858
1500,1.6058462387756036,1.912927910878795
1600,1.6311406833423305,2.077354410091925
1700,1.7118190151037271,2.1497368781727215
1800,1.692374642300178,2.1245281229609954
1900,1.7403664550515159,2.318057932862382
2000,1.827723205825024,2.3168170301376803
2100,1.8818382765930437,2.3444790127779123
2200,1.9590673292476273,2.6197909533544887
2300,1.9511945646362472,2.5759264113744518
2400,2.063874998605046,2.7157455451544927
2500,2.1408469625294706,2.941726530155118
2600,2.183974661620387,3.0670855933453347
2700,2.215200557785718,3.1249371228867378
2800,2.262876064311826,3.215962149852273
2900,2.357179969446019,3.480498773321507
3000,2.499893540206645,3.6288696223650425
3100,2.495234355066556,3.6488697713596006
3200,2.620650401895611,3.8317563049331227
3300,2.662787255991679,3.9609857291272403
3400,2.7821432424819537,4.226449082976015
3500,2.856591794880501,4.434330728255523
3600,2.945894186007865,4.51079681342002
3700,2.971538114260417,4.714866777968894
3800,3.1274395680810145,5.036654125972081
3900,3.164161062148518,5.179543046669941
4000,3.3486998032824964,5.4390809421082
4100,3.3544316456609584,5.6075914685988675
4200,3.5273753084927533,5.954244653723194
4300,3.609676291464153,6.115177788937105
4400,3.7193186437984016,6.494770969549295
4500,3.803531956289271,6.687834022766981
4600,3.965216185001597,6.965777839886713
4700,4.11544274280992,7.2293930968664135
4800,4.17983950005896,7.536324510384664
4900,4.3665191238347605,7.971697829473962
5000,4.46751204451511,8.191407429380538
