miliseconds,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s26,s27
0,0.49837931979221417,0.5014354755449341,0.8011000352382129,0.7976901381409212,0.7986060523086415,0.8023989525053488,1.0001212471311,1.0003272453741625,1.0014549707359144,1.0002262748980284,0.9999527667350651,1.000507099691695,0.9993731444911816,1.0009466062032735,1.0002955673186895,1.0010205361753204,1.0014131312377523,1.0020570032960054,0.9998030645873597,1.0012649942237417,1.0018066393289928,1.0013992916024748,0.9989605575633698,1.000600227851302,1.0018576539102226,1.1990087757705863,1.199533487112549,1.4966576655761246,1.5043699838427016,1.2004254092137094,1.1998232677646474,1.200096794503607,1.1996832787046379,1.5026034279543594,1.4978613081371928,1.2007548909171735,1.2004702815224166,1.1992074773078312,1.2010133355013846,1.2006527425204736,1.2002124554598417,1.1996745469888803,1.2001290149516473,1.2001638204201357,1.1998005545357717,1.5002090890599027,1.8011868130211601,2.001674531227762,2.188997577018191,2.4999018046463175,0.9987611448306277,1.0029705552412724
100,0.5755131564669523,0.5725065224319817,0.7910193097754784,0.7717894256447543,0.8003985965847947,0.8089072401397918,0.9363939697243451,0.9952711354782986,0.9861256520659896,0.9992744160121466,0.9815856396268499,0.9994060167113502,0.9812485161835369,0.9990464790866461,1.0005925131393019,1.0020545053531795,1.0104424461936288,1.0094816821154489,0.9996160208140829,1.0136135896551646,1.2336934999585722,1.0257776817499085,1.0758803907714871,1.0671571819322008,1.0928222827671727,1.1742054957324448,1.272304303935862,1.471051658647908,1.5484263748091618,1.1659783980057914,1.270278116436009,1.1891080893757773,1.2713989738574325,1.4636182844319678,1.5403736103297185,1.1889114756646988,1.272214409778674,1.190577687883107,1.2732950250929784,1.1774761134947247,1.2720536416848123,1.178182417932053,1.2720987648193811,1.178350942699153,1.2710622831380398,1.5144857425450053,1.7658401135040165,1.9245499848405998,2.096015042245758,1.719161226453839,1.01553458159123,1.0149391389087312
200,0.6291218787774969,0.6304067296328003,0.7883532764311786,0.7533236233132058,0.8075654937477514,0.816374436921051,0.8952121129827217,0.9850422253570393,0.9802835203698725,0.9991645667383605,0.9693886137160884,0.9985756193498001,0.9669874710020456,0.9983414468734587,1.0072445348803798,1.010053135681215,1.0267838232408324,1.0217050469625533,0.9974934344566856,1.03460252377648,1.3062943996305179,1.0563987528633785,1.1163685812877855,1.1136671092705135,1.1410680340296022,1.1657962421873127,1.2913894166982962,1.4580963064493555,1.5450813389827174,1.1604999370776694,1.2903409059445439,1.188272601731984,1.295169571370049,1.438062170350287,1.5396250694569422,1.18842632859738,1.2942991323178783,1.1892704485903325,1.2944480352112782,1.175508896809567,1.2933700833001114,1.175314391396619,1.291935481729811,1.1760841171866385,1.2922678271840027,1.4959785116291782,1.7063524534584602,1.8394025898024093,1.9698951832773943,1.5321636691672786,1.0361673687102375,1.0408434362295664
300,0.664921306624657,0.6778376325774425,0.7791886947086158,0.745260276166602,0.8141709944062213,0.8197637076825931,0.8680392578047004,0.9769592791926521,0.978870748061484,0.997204544655437,0.9579952379675986,0.9970854078508077,0.9543276967379473,0.999490309293832,1.0145450813971342,1.0218438096532565,1.040659250937783,1.0368611349084647,0.9957938034685322,1.057865303735871,1.321100536650619,1.0844846785531967,1.1405538769650447,1.1422384937569101,1.1676233788852186,1.1645117329969683,1.2973361357012154,1.4562024532809708,1.5326680264470487,1.1649979300553266,1.2979993579228164,1.194127318654267,1.3029834116864507,1.4236414671672135,1.525449711364959,1.194510680809069,1.3024894314240665,1.1943728631125816,1.3025818546316574,1.1795423813189254,1.2993293355454267,1.1801558173504998,1.2997889393150235,1.1802684482489725,1.2994683212265332,1.4798013171415187,1.6542415685508973,1.7571137722030288,1.8653036069786704,1.4604911304457378,1.062891906992276,1.06492105771464
400,0.6933781790399336,0.7081365476545581,0.7823941781427813,0.7481192641733427,0.8195208357754903,0.8273120222067281,0.8533390507795663,0.9691637643066896,0.9785427279610189,0.9952586330805047,0.949979840619139,0.9946907122938526,0.943579547292328,0.9975655646460463,1.022350292404688,1.037326573212698,1.0577199573372496,1.0496465019595644,0.993481026906259,1.0792508987022515,1.321516196925139,1.10213794116888,1.1543713289719673,1.1596996988959907,1.183484394182076,1.168361718526224,1.3010229079955506,1.4494610499188771,1.51980357398001,1.1759390831358667,1.2993111150727594,1.1998480946730163,1.3064123623096013,1.4093371438554971,1.5048447285850741,1.199986204499369,1.3078921697301484,1.1995993655230435,1.3064033159466373,1.1881569633309192,1.3040797730336966,1.1881567887550146,1.3043244071833724,1.1867800428877306,1.3044736912215147,1.4659472297141172,1.598054105239225,1.6827231660116666,1.7730652487364096,1.4518836709029643,1.0904328732673532,1.089186221861665
500,0.7241380298551187,0.733408740332768,0.7784136692947605,0.7488320825812117,0.8226620382853886,0.833487508376551,0.8428304716402532,0.9620467288438704,0.9858494925922588,0.9923454065949296,0.9447161427411003,0.9922400150199474,0.9336679095616204,0.9967279053147455,1.0286798523751173,1.0463974672356695,1.0728783873295447,1.06376441367913,0.9911225410053395,1.0974123045686157,1.3195105613592757,1.11954835926884,1.167291180125161,1.1700899383278502,1.190558573168921,1.1757619518672404,1.3000760669626619,1.4399528233978773,1.503656330453166,1.1856070796821356,1.301213923658559,1.2071701765912584,1.308907161977513,1.394526481033985,1.493103510027315,1.2056161681973316,1.3097122889937025,1.2067649022257814,1.308856493819374,1.1961434492851182,1.305671916840347,1.1956556348531175,1.3042521384825254,1.1960486252782099,1.3062361358675871,1.4509045160158338,1.559043356390275,1.6244652305860081,1.703950932539214,1.4309477397983172,1.1112586328131775,1.1127195100432568
600,0.7353148804282974,0.7468236817754716,0.7780863399699549,0.757621361474344,0.8294206589308689,0.8384281772709694,0.8371109141784054,0.9594885432534928,0.9890569475842996,0.9889368452427343,0.9404697602583816,0.9893102976576719,0.92698080989811,0.9970198349286311,1.0380555903702382,1.0594100030748053,1.0830482224424245,1.072870999092109,0.991338716558113,1.1083191482153667,1.3139076474599098,1.1302698468226038,1.177588090304217,1.1813638765338441,1.198546503862761,1.1820903360364836,1.3003058022797,1.4344372320925372,1.4873227534283018,1.1932834316548313,1.3020456047341935,1.2136268465134412,1.310055738970499,1.385371621608726,1.4731326681854162,1.2135568975499849,1.3098554940930265,1.2118859612997925,1.3101518610241134,1.202637562534973,1.3051655016881574,1.2034474409484992,1.3056415876972374,1.2021288237308436,1.3056726050972352,1.435553807627092,1.5293591863928704,1.5825197599477419,1.6512964027529577,1.400841911934051,1.1340848467521991,1.1287975605018443
700,0.7509565751188679,0.7619024014659385,0.7829450763410369,0.7617830090613396,0.8357518013337241,0.844003784410648,0.8384784184011911,0.9561119074568475,0.9951259515153659,0.9863237254630539,0.9374959280499807,0.9855294006099042,0.9219112509228721,0.9982328087782995,1.0449895563350269,1.071165894553808,1.0971713885059398,1.0831948056662766,0.9920360311556045,1.1230115815030075,1.305997194115122,1.139635037018398,1.1836476282989379,1.1873261837396205,1.2041269190706885,1.1894267152435705,1.29927312801017,1.4298497096940588,1.478965840519415,1.202124552058615,1.300382860499513,1.2187222044562114,1.309778615347512,1.3767342282144042,1.4614058156094274,1.2201391463439109,1.3090116819965347,1.2183067721358922,1.3091806792517966,1.2103122313617316,1.304937636876972,1.2090692861440504,1.3063690354238544,1.209039138517563,1.3054008937075614,1.423623967770863,1.4932611448718858,1.5400575271764827,1.584537123532708,1.3958938910805148,1.1502693284140983,1.1507897650990198
800,0.7616080047664834,0.7767538963909674,0.7859961640122604,0.7668019238398466,0.8371119904278737,0.8539906171327384,0.8348768909662839,0.9527118896855835,1.0015478394992663,0.9836303332777405,0.9350858422034422,0.9835525451023786,0.9156752627415023,0.998411076711572,1.0562478046187933,1.0772267842696202,1.1037353628926658,1.0939804902129677,0.9924694090110108,1.1342275007782987,1.3014761192473152,1.1519265053743173,1.1904707952933367,1.1960525964671174,1.208533856344227,1.1949792405959692,1.2968888685229358,1.4206431228119223,1.460568918335839,1.2070947412008664,1.301820900131435,1.2256010198378553,1.3082348867223679,1.3715059748369682,1.4463157863780847,1.2249311839268662,1.3083459955713665,1.224379893118952,1.3087484514596022,1.2152573114743974,1.3047284973717748,1.2161718947499587,1.3056423384465308,1.2150189354766456,1.3057742759638304,1.4085568973570168,1.4642413130285943,1.5071637102808264,1.5509126702681149,1.3891738453986524,1.1617575239705764,1.1622470038409902
900,0.7695994772176391,0.7919295672157249,0.7867733098864039,0.7737481202747353,0.8404963224437098,0.8563813848346693,0.84023068682447,0.9515515728865422,1.0098817727318796,0.9802567797113632,0.931871853713268,0.9802013371318554,0.9118157278319153,0.9996210892676353,1.063075861239026,1.0859036356570517,1.1126639143249346,1.1021026132261678,0.9927463547846143,1.1386203318918653,1.295953064511847,1.1579900538508576,1.1951112828268537,1.1994165895366429,1.2158226455927874,1.1993668428503663,1.2965272092061546,1.4099346996327669,1.447356125799926,1.2137951849351571,1.2990271466479124,1.230624907043027,1.3080243967627931,1.36144581560826,1.4304529711661957,1.2302968871312234,1.3092607813146748,1.2283840967910868,1.308517099689495,1.2212515828759591,1.3038095651429955,1.2207545889655653,1.3031574760907476,1.2221221464312177,1.3039210560409131,1.3939731608187431,1.4510672022942581,1.4862234179691667,1.5083831583557201,1.3673842377909222,1.1737722045266104,1.1762608178716605
