milliseconds,Tp,Tm,G,A,S,P,Nn,Na
0,101173.62576251288,-7057.131449268736,0.5208560294731167,6.619559859654936,2.275874603240089,0.024423226312825258,0.5140280651654883,80.88037942071261
100,79345.70545488234,-5548.773728012977,8.180967297754465,38.89491914347899,1.7095238479381978,0.1415646423520798,-0.010769703137024012,26.575653383401757
200,91213.83959253402,-14900.03911528366,7.5810652868567985,66.24665985229645,3.7620003358409466,0.2384030791810665,-0.00023547620481868554,25.266321326725127
300,111409.51095203316,8296.753865993503,8.539371149162834,89.75833635600415,-1.3108543389514362,0.27207230627615975,0.015628172425814327,27.28722168286407
400,136726.91177288088,26206.053917321922,8.239229090419238,124.67607503147421,9.675556432034998,0.29726001419362813,0.0569859213320131,26.910942008080973
500,115087.88239791045,27192.70867496178,8.655550699033645,127.01506039366532,21.50509276289253,0.29819902333718235,0.1585065965631258,25.013892700967354
600,83416.5103094838,16352.38273010791,7.221116836520876,137.41464296303988,40.076172260004654,0.3029553460718208,0.3168141442585385,25.544531977123743
700,135196.04347120773,18346.875619409097,7.9067707542414185,157.52135218199817,61.23365110442238,0.31051375644546264,0.44295042671106954,26.236263400613662
800,122747.60321001546,43297.23760890863,6.856129817770418,162.27368247947206,65.85643056503248,0.3151732969888148,0.49037101700887986,25.614749641062552
900,112048.46267662356,16229.814098903576,7.267590422931518,171.00424818285782,74.80287806573095,0.33003345987283067,0.5200021772700143,25.469773977496757
1000,97157.01219453837,44819.76000438776,7.575358846948568,172.78782970547394,70.02084798644859,0.31941231751176596,0.4897521777303489,23.117130304593722
1100,142825.06991611043,48073.556970730795,7.60813366270274,180.93595558870527,72.09673820225923,0.32721866696596874,0.4991950156290715,22.850024215595568
1200,116075.35739518724,19795.37052187114,9.124546189935023,168.7057761699348,78.26367888152681,0.33277025711800456,0.4900560894507303,23.670501293333675
1300,114180.0792862056,30315.132200292424,9.602664677169079,166.74272808891476,80.83064309445307,0.33380680762669795,0.46367140934057566,22.48480275694114
1400,119061.34548604157,34628.7542487909,8.695296948549103,198.149533401475,78.47838238470301,0.33275283701334774,0.44922175554694954,20.294788300025623
1500,142177.32216212127,29615.14394061778,9.805245660865404,200.99515385782533,88.42679860511765,0.3449031995251581,0.450008513880943,19.514153113227376
1600,161887.22595500937,38042.16828470007,10.310886337414559,192.10076858671215,88.32045014154546,0.3401493460231293,0.43812551958222207,17.61338994542875
1700,200633.09350709736,50555.38216975417,10.19695447968693,207.4871194943013,87.72702091021499,0.34666156654271923,0.42176155451204317,18.86433568228241
1800,221774.02909019464,79300.10468886039,11.445866502241671,217.76770319045227,92.53728192406614,0.3571748596614038,0.37829271440343454,15.77500997138304
1900,248284.01351825634,79801.03346955102,12.724603514231944,230.3228858573155,96.70262278890253,0.3557091824372274,0.3657768109806748,16.414972198984938
2000,207746.119110218,74441.17320536214,12.814492574202568,236.82881999380695,105.84053957216388,0.36084531778173484,0.3502848000383718,13.091796923066568
2100,278695.6542149337,79371.51835325107,13.833785089552693,265.9619433084721,108.8024726797385,0.3760103273488201,0.2969855713458893,11.858698486682597
2200,295402.58112433547,87440.92099086492,16.165447238145674,268.5603717941429,114.02537696598394,0.37234866910536646,0.269103890023351,11.553944444968412
2300,430809.66218035255,74438.42336794542,16.90808421422532,309.43798752484247,117.34291325526368,0.3802883333300758,0.2264191066006273,7.890600322703378
2400,518962.1555893425,92376.66558451795,20.209263280113124,330.4622921466532,127.58571095507074,0.3997881084183834,0.20945668914201376,7.78050894585888
2500,680148.3375210677,127516.60415430555,22.426922019767897,368.558644709533,137.46793944242023,0.39785152926799755,0.17182140049803585,5.685309983468567
2600,840853.2675500507,122258.50139550382,24.38371221359914,391.5848828306178,144.012373759036,0.4056957916481842,0.12920439443624573,4.013543511005051
2700,880162.0846890197,155143.13679723095,25.037370579902348,421.62715086081874,154.40005790031614,0.41269739531166144,0.13085611966569882,4.583120708810021
2800,972461.2627783199,182315.95131713065,24.98521939246408,425.71998908998853,156.83431115370814,0.41181234782808634,0.11380537834001503,3.5970640276861103
2900,989349.4911199221,193265.33804341263,24.826701564503587,438.784453979163,153.45134452590264,0.4158011950120274,0.12595531178457212,4.170560354372719
3000,953640.0629524143,239582.54831868754,25.725876665513127,426.5684847198539,152.45697585422678,0.4199089730548958,0.11832676151612705,4.434643544928642
3100,995774.5152105596,227843.6664875936,25.529224070188754,427.33579654157325,156.0402293796485,0.4161290776422315,0.12538264006663905,2.775065611288391
3200,960678.3457799847,264125.21653767925,25.564991346965567,434.4122255476781,157.55566685792846,0.4201558296815855,0.141737903581314,4.480118698370421
3300,992854.03668863,283657.78183638566,24.97301618692057,423.72462589858594,150.55947761734024,0.42054547253638797,0.11911169199672404,4.524299288255154
3400,986097.4108338042,304929.63696941297,25.224015377164626,426.68840439040207,156.0520833874003,0.4192737256583732,0.13839253352936357,2.6529213432779395
3500,951695.386634475,315826.9690453298,26.122293879796917,422.1464000422465,153.49370632015632,0.41555702603895145,0.12444135318226075,3.0090217650127085
3600,977654.5776575147,356938.2259363688,25.619404678556116,431.2204144912191,152.57669717934897,0.4147824506620501,0.12101849239420766,3.3715135827143197
3700,938681.3006995531,360019.1696974381,25.39290159979307,447.7757078263506,160.1871204744589,0.41087261238484246,0.11868396281825572,2.6936949210112524
3800,963016.2610881062,399347.4667167264,25.87627365890273,422.29047985667245,160.746380015515,0.42193433152137394,0.1375008168541583,3.4680551969517475
3900,963143.467152877,430391.34652177995,26.42331100767445,427.0207529106929,151.76683245421017,0.42155648813940527,0.11770440116042791,4.33571072404049
4000,992274.6892173052,461769.43299363926,26.046519583789312,438.42865151682213,152.7237922523866,0.41227752136713425,0.13347328242093762,3.3908054970373116
4100,1007748.3702472291,477028.9574444103,25.709580839248787,445.69018971104106,153.78894607719218,0.4236031369616204,0.13734989076481618,3.9877037865130207
4200,953446.6318898578,482322.0594184847,25.78735647656745,421.77417229099893,151.45138877743565,0.40930204657498576,0.11495263460011547,4.47843714572143
4300,941479.7840778859,488385.71363932436,25.516598347487008,436.64544494489496,158.77302422289608,0.4235290779982431,0.13677491579652998,4.301559995210416
4400,1007528.10898017,529160.0245514042,25.526826445936322,430.3568723713189,154.02432131773716,0.41629268218433635,0.12360229601354222,3.1756657702173317
4500,970486.298747445,568884.269730134,25.755794558993244,434.2131746130085,158.1279383736165,0.41354838889208534,0.11650611033236659,4.266751217192628
4600,958553.2627969967,563305.7622491298,26.349743690892986,434.21504618581906,154.03101702826572,0.4158851333860114,0.13806447690952234,3.745480231573394
4700,1008890.1100855918,614944.8023490855,25.82601752227574,437.85653622906005,151.55186397015854,0.41160686499409715,0.13560914791047318,4.801827092741219
4800,995977.8917161855,626681.2483788424,24.870872090667532,435.5588534833245,159.26381529282838,0.4185012178775951,0.1364292740278813,5.180837408624638
4900,950423.8289639425,639728.0799924665,26.27936816603655,427.58863173481535,160.27919759660705,0.41063549824272966,0.1353755329468155,2.612205557393634
5000,1013843.7341757882,668855.5257755357,26.154497872784884,442.6870409314833,160.27919886603095,0.41033086381125694,0.1353357258140651,3.335101818241175
