miliseconds,U,I,V,C
0,99.95254952439682,9.959647339955989,10.001275282722016,30.044247965210626
100,99.09538568538876,9.261945701892062,10.102307986089675,32.058492992829194
200,98.57555864539705,8.679143635613158,10.229438805938509,33.36401535923443
300,97.53061841485474,8.020954870926884,10.362844221166153,34.29589290893744
400,97.08951916800008,7.502924245653627,10.397681147792502,34.878886822100036
500,96.39805399688663,7.064357854808015,10.509805595803341,35.1829974811314
600,96.11654420627887,6.519869286817455,10.552891411965906,35.42933231770696
700,95.27396566370459,6.248166008767048,10.632280329633755,35.63591767533908
800,94.12329604669358,5.623678007114027,10.665490268725952,35.796019507886164
900,92.77704763435885,5.389876167595266,10.646467354203653,35.7993014536008
1000,92.36802574713244,4.951068586272219,10.658496941320081,35.91827270400748
1100,91.79236704442835,4.633418852879428,10.689160374611234,35.938950908190556
1200,91.26537395571205,4.334775406693954,10.680440827632637,35.87876996468761
1300,90.3946478743263,3.932108515136624,10.6829865113752,35.97136943729303
1400,89.40669195622668,3.7863386361573186,10.631523386208741,35.98508181141384
1500,88.48334986876408,3.6000239722910203,10.636891458209242,35.95642998317033
1600,88.26615742372923,3.335970010566102,10.614383724085817,35.912639644001636
1700,87.63102601201624,3.048260662789033,10.550318892609797,36.00192931730271
1800,86.70201712080674,2.7794685130651104,10.47098407775123,35.91917844059509
1900,85.68528474029338,2.782455812382036,10.480509074746715,35.93118120780232
2000,84.96406625467779,2.3939184213083866,10.43449519122861,35.933713449452746
2100,84.34995564791062,2.3142346947886123,10.323132431153988,35.99900204914782
2200,83.77858393920856,2.3245368593512117,10.339328920448569,35.99940303533013
2300,83.30390351321131,2.105581932417761,10.260993745950817,35.936354620911615
2400,82.12573284298877,1.8504993755663717,10.205095751332504,36.00836734073067
2500,81.33774650960044,1.9157849450473088,10.10937556011243,36.007809230812555
2600,81.27322294607303,1.5628675494202757,10.011254761876238,35.92449907003434
2700,80.1119071959612,1.560248993963947,9.962906300131747,36.01202937504238
2800,79.87335589175326,1.6143142181777899,9.93555742284411,35.98040761461652
2900,78.99480024236621,1.4863170866267463,9.812628493485803,35.93499265429023
3000,78.41370322697382,1.2505492356579697,9.783616891391317,35.989040748852666
3100,76.95561327242186,1.3069254893206375,9.655833785708223,35.92946104037347
3200,76.63425063790088,1.0684179157995448,9.580633558417553,35.93558521932381
3300,75.69686527452161,1.1663752074600393,9.517768040068107,35.975851581711645
3400,75.70344318923021,1.0589767000613017,9.460439869475133,35.98822027753807
3500,74.70382289575772,0.9501937260939171,9.399726910748067,35.960896330832036
3600,74.56845817238381,0.955002718617615,9.3255476640537,35.973453362963234
3700,73.8271909791292,0.721180862334394,9.231700654039372,35.99822351946889
3800,72.90716919642347,0.7946157149464002,9.10020676231245,35.96364207425707
3900,72.72684232432542,0.7162164835839049,9.03954365078255,35.94374625109437
4000,71.53560225922435,0.6946031885510147,8.952591992667381,35.96549708959158
4100,71.73163369422217,0.5497294744912014,8.895531129495023,35.93360126229745
4200,71.02065735622294,0.620570572004927,8.817033501618251,35.93753944228874
4300,70.45748212921386,0.6441637358303663,8.756946607248318,35.95524161734792
4400,69.86669667480788,0.6367073779438088,8.639984808679657,35.969096363510765
4500,68.61290424949948,0.547859651956627,8.58883627987867,35.956601273682296
4600,68.80540238777719,0.5018441126019825,8.467707611316614,36.012271767099534
4700,68.2435949610646,0.5125505102818679,8.425892114944284,35.980131940947174
4800,67.67691642535172,0.538141036737183,8.312269850951326,35.92631864536203
4900,66.52626917541961,0.4221811207005654,8.284546724618389,36.02432462365268
5000,66.4440450171421,0.4028286396550322,8.132116220729065,35.927989067829266
