milliseconds,T,E
0,51.00922623804559,4.976599112027599
100,37.071455223001536,4.358994570199732
200,26.63038071084415,3.855828020486202
300,22.534981992808973,3.3314529431365734
400,22.587322932627952,2.836865785361027
500,19.97490834378292,2.4216856719071043
600,11.75784711180091,2.1364361947669503
700,16.634184591254805,1.9316436939363413
800,13.032823902743008,1.5888152124840058
900,20.29028739042694,1.3734374575403303
1000,13.793228300133933,1.3147547223889011
1100,10.545664586258766,1.1350175128510736
1200,11.210462974265244,1.091496091954776
1300,12.035063420849388,0.9326644847869564
1400,15.457131213844578,0.8155974471414903
1500,22.532222290459575,0.7798231261226497
1600,23.873710228768378,0.7186355957506241
1700,24.340177953767746,0.6643440155488217
1800,27.168607185749025,0.5630248845709569
1900,28.298597433355603,0.5765676864998927
2000,27.626903609016384,0.4394886451064177
2100,33.432166917444476,0.4844200203240139
2200,39.16210345080868,0.4890822706964065
2300,43.15277701876205,0.4554429117561277
2400,44.400618449717186,0.2657685270612097
2500,53.80866733266404,0.2675403906341618
2600,58.15582130613793,0.36429242751636753
2700,63.026043423739566,0.28066112426129103
2800,69.8004930014069,0.33657291966775243
2900,78.66344481462477,0.23504840771901564
3000,80.66422647616591,0.2476710971384645
3100,88.5155779785587,0.19948764911584327
3200,88.50260406294505,0.1712600695951022
3300,104.22400908993733,0.29166700402349316
3400,113.1972833345717,0.37267863008011437
3500,109.6150632900068,0.18559684949636052
3600,123.33574914340525,0.3386937212267287
3700,129.20043370499008,0.3419828711687237
3800,138.5613041851646,0.2648277627515083
3900,138.5243759270843,0.3544769161874103
4000,149.95309145865264,0.3005039431218206
4100,159.22422938524238,0.14915540406532785
4200,154.7264699175838,0.25279939011363595
4300,168.48876557640435,0.26111525916685685
4400,166.7759686264762,0.11931103551761595
4500,181.09703878540844,0.12590028196001585
4600,176.15555886648684,0.27047009513924225
4700,186.745582424661,0.19823820657952543
4800,185.31305341795178,0.2129411799028994
4900,193.74817302320886,0.19949241510325483
5000,189.73508004374798,0.15582631175936434
