milliseconds,E,T
0,1708188.2936241555,8287027.769234093
100,1708268.1226716011,8285807.997075557
200,1707939.3190912807,8266168.197539288
300,1707943.8196873267,8260537.460133993
400,1707771.873038674,8261802.2477103295
500,1707958.1092253951,8233770.260317662
600,1707839.3927018796,8220195.642597484
700,1707717.6885199428,8212241.093225671
800,1707747.698551869,8215873.947737684
900,1707544.5089476274,8201039.874347802
1000,1707713.8461042498,8203161.7204863615
1100,1707647.090812981,8190687.811502525
1200,1707241.1491152523,8171032.440961671
1300,1707362.9682082583,8167200.794339496
1400,1707154.3867659424,8169796.828579095
1500,1706983.3648287677,8146213.812487125
1600,1706828.503962743,8138842.200415691
1700,1706808.0825566773,8137488.120777659
1800,1706680.757567488,8135206.476853312
1900,1706800.4923490582,8106584.385035928
2000,1706402.2754089881,8099542.905466503
2100,1706330.3655953712,8110974.165892919
2200,1706445.1135381935,8079894.650028538
2300,1706023.7087042104,8072319.721194731
2400,1706192.1766138934,8075928.46437203
2500,1706138.3963557205,8074189.230938053
2600,1705842.9003779455,8043279.69737953
2700,1705804.1810709361,8039207.384888093
2800,1705686.8506670354,8034996.908480792
2900,1705169.735801596,8026129.149091297
3000,1705317.520933215,8010738.26255223
3100,1705163.3901184192,8005656.72260828
3200,1705044.6720331812,8005164.50203162
3300,1704672.165733781,7983542.127712658
3400,1704354.7914992562,7996551.278885009
3500,1704240.6863072072,7973646.134940121
3600,1704169.405318781,7976699.324913859
3700,1704111.9656142336,7970300.164742172
3800,1703780.791316563,7961597.480820765
3900,1703741.5970452398,7954053.673527734
4000,1703474.452590988,7927802.343568538
4100,1703075.905365087,7917682.256649866
4200,1703245.7324256564,7922050.365462429
4300,1702871.9796820204,7904473.177877947
4400,1702608.2199233167,7901395.480218498
4500,1702496.6559748882,7886000.127195694
4600,1702192.7507881378,7891844.515003022
4700,1702082.8296245656,7869763.316178639
4800,1701936.679708586,7859500.55919345
4900,1701350.897287203,7860780.778945019
5000,1701129.0403388536,7860688.82002618
