milliseconds,E,T
0,1707995.9833376422,8286030.833472323
100,1708104.765398901,8278492.628051534
200,1708125.0303635343,8260757.720853823
300,1707879.1902689107,8247672.234284547
400,1708075.4992409532,8239136.234492104
500,1707994.0161410898,8250048.052256338
600,1707894.704856698,8223357.184799872
700,1707861.7839343948,8220906.890277838
800,1707714.8005739797,8225236.791951192
900,1707434.8655901754,8200004.366578262
1000,1707752.5773693465,8194382.987333024
1100,1707331.0988352534,8180179.853908471
1200,1707271.8865574822,8167476.812948128
1300,1707141.4359910758,8161604.351503818
1400,1707082.3170681072,8160983.569464204
1500,1707057.8551384453,8145899.386283337
1600,1707154.3402142243,8141743.362254949
1700,1707033.0023770828,8137942.817849732
1800,1707006.812729429,8117979.481367386
1900,1706880.5208420404,8125755.152618787
2000,1706560.050749482,8119140.64583169
2100,1706674.8903970218,8094028.110235015
2200,1706442.09548696,8086892.120872951
2300,1706064.7929477198,8070411.147066925
2400,1706052.5781949756,8077619.126248243
2500,1705954.2777138054,8065399.227156223
2600,1705998.8321824311,8063679.259386984
2700,1705866.1579158064,8035908.590425949
2800,1705462.1572717235,8028652.334289431
2900,1705305.8470818442,8030534.251384994
3000,1705174.2040585,8032862.144634087
3100,1704919.1368806325,8003682.456529135
3200,1704951.9441720217,7996088.533627234
3300,1704787.36202371,7985511.825996321
3400,1704671.0705745458,7998997.814278776
3500,1704570.2634300105,7968741.593504574
3600,1704310.3703248187,7968957.2821646
3700,1703945.6462721857,7952703.344954685
3800,1703840.4865461444,7942131.760159669
3900,1703775.395949387,7933061.4959490895
4000,1703496.9658353166,7933337.9758073045
4100,1703363.7895312523,7930280.371051084
4200,1703113.9905136211,7931871.496651539
4300,1702635.440087073,7921029.365058124
4400,1702744.7805202196,7900143.86639942
4500,1702511.4264551194,7901675.265060032
4600,1702056.3905376196,7896671.162084129
4700,1702035.1554304985,7874820.751995133
4800,1701823.300453366,7876420.626682954
4900,1701461.674121108,7856940.766559924
5000,1701436.548888881,7846761.965520302
