milliseconds,E,T
0,1707962.6978385206,8293347.572373856
100,1707903.172584505,8265767.67988416
200,1708217.0994870514,8266381.070212356
300,1708043.3777363957,8270313.140903801
400,1708031.3959475704,8262216.259249727
500,1707874.9101146362,8232949.477748731
600,1707699.5767732048,8244198.624672713
700,1707665.3612533447,8226123.704646926
800,1707666.3857648901,8212500.455526814
900,1707798.2525170387,8202316.726764295
1000,1707572.535846826,8193741.753260527
1100,1707647.532084713,8192431.228993131
1200,1707590.2172949577,8185977.812278373
1300,1707117.4754175511,8164975.894402871
1400,1707413.3019441953,8159726.354279833
1500,1706977.7599058915,8149813.671566655
1600,1706865.9271771684,8130590.159559976
1700,1706779.91024543,8122760.905073032
1800,1706925.3857355586,8126843.902413984
1900,1706672.8842759724,8122506.220022994
2000,1706668.7159306912,8096204.245259882
2100,1706293.9214340502,8088314.618306189
2200,1706527.1311645599,8098320.667755009
2300,1706318.2708959007,8090118.316966532
2400,1706144.2526749528,8082420.564972777
2500,1705984.51416503,8063428.902236385
2600,1705964.8633476584,8057369.190587281
2700,1705836.2682225187,8037278.551504168
2800,1705525.9079086957,8032557.935279596
2900,1705534.3977679918,8035775.232603526
3000,1705186.0977113254,8024222.73412704
3100,1704993.5862093845,8024443.140986533
3200,1704924.1518812403,8012346.531657504
3300,1704867.7140772103,7992440.824885326
3400,1704368.7168938173,7976830.241169641
3500,1704565.6897716823,7983467.295106193
3600,1704097.7050568364,7961455.7049433915
3700,1704097.3126068963,7972367.679068536
3800,1703929.6710567183,7955680.62048485
3900,1703739.6826139197,7952822.173349433
4000,1703282.6398114087,7942157.218439353
4100,1703397.4703425064,7924080.880874958
4200,1702992.4444054447,7909220.757691328
4300,1702733.787957535,7910313.555414638
4400,1702712.564267931,7899260.325776743
4500,1702373.529657037,7904754.350456134
4600,1702326.8295912747,7888781.747336667
4700,1702133.7288354435,7883526.159493648
4800,1701834.9094626328,7866097.055001164
4900,1701441.073180834,7851952.117652783
5000,1701239.625656606,7864077.152193395
