milliseconds,E,T
0,1707904.7949577018,8279411.594788348
100,1708219.7460762043,8267542.494823921
200,1707914.7853765818,8276659.349682088
300,1707991.9994971615,8269505.465420652
400,1707841.1405083956,8258907.122777222
500,1707917.1949330487,8250802.686977615
600,1707712.5099871368,8231789.66876901
700,1707719.2510339627,8230164.224649225
800,1707652.262113086,8215173.757589136
900,1707781.1774812434,8198820.363464975
1000,1707719.3572465966,8198166.1354859555
1100,1707455.679646793,8191120.096083148
1200,1707293.6521064846,8190171.146842947
1300,1707343.0232920272,8165849.934833007
1400,1707134.1987359151,8170446.6095031835
1500,1707117.353324717,8145251.356189876
1600,1706884.6865247893,8144078.288914204
1700,1707039.807700091,8140939.904740289
1800,1706969.5412253416,8126122.891704363
1900,1706712.875491296,8114434.16024697
2000,1706582.9717625906,8118353.110938292
2100,1706550.8216631406,8100860.061106787
2200,1706275.106012578,8101174.534573128
2300,1706183.595796981,8092495.324319106
2400,1705927.1495428672,8061090.014049684
2500,1705780.604544409,8075974.403014147
2600,1705828.8606506805,8042158.001205147
2700,1705836.3744011673,8042758.481476711
2800,1705566.356286154,8037428.420504885
2900,1705189.1414562082,8031255.312729124
3000,1705321.2616392907,8016430.44023969
3100,1705254.352850234,8020576.82825803
3200,1704727.5124721418,7994559.101087703
3300,1704821.2738102484,7993285.480953019
3400,1704513.29586314,7996889.876273684
3500,1704182.5390368653,7984007.662231313
3600,1704081.509100775,7958283.684106204
3700,1704145.030339928,7966157.17261838
3800,1703716.986980471,7941161.023609685
3900,1703681.5451928936,7936991.2272385955
4000,1703602.812916377,7924648.183589362
4100,1703258.130686949,7915560.627420661
4200,1703005.6492525572,7922588.13888519
4300,1703020.475456018,7901190.741984123
4400,1702570.1665431047,7903643.754032294
4500,1702615.9208364342,7888857.444095813
4600,1702305.7890332541,7891214.714590026
4700,1702122.3393977734,7882163.376427495
4800,1701734.2565145176,7868134.051990709
4900,1701502.4178012493,7855442.930657394
5000,1701104.0043797079,7855372.7831851095
