milliseconds,E,T
0,1708284.4860138807,8293709.882863723
100,1708006.2739829083,8272421.860515478
200,1707989.7958376736,8264339.064021931
300,1707936.173359038,8253890.907362902
400,1708087.788707285,8251740.2437117025
500,1708041.5358839354,8232349.708932033
600,1707723.6394744255,8228096.531770828
700,1707715.9343660364,8210230.937680672
800,1707738.3253860958,8210146.436697023
900,1707744.5225359623,8217079.187292102
1000,1707548.2484950724,8190438.872618226
1100,1707580.286571113,8194571.639254213
1200,1707360.9972451013,8172480.054251913
1300,1707425.4588636816,8174379.771732246
1400,1707174.754738633,8167241.368247022
1500,1707176.6289651692,8159995.625335657
1600,1706996.77221624,8140720.017519438
1700,1706949.7375141506,8138554.762510468
1800,1706668.8343998268,8112651.110147195
1900,1706671.5618555495,8112428.73364861
2000,1706631.1353673774,8098534.491317294
2100,1706618.9183912522,8104589.48163167
2200,1706510.1841928356,8101139.049566589
2300,1706237.4689227957,8081992.256912106
2400,1706079.6837642093,8068985.133068821
2500,1705830.1394583497,8074038.19984937
2600,1705858.493669243,8063675.268459441
2700,1705587.9557663675,8042992.536069034
2800,1705725.505330536,8038653.210612036
2900,1705237.9528483641,8036798.249730601
3000,1705123.6216426098,8016876.384144677
3100,1705106.815503018,8016010.832345775
3200,1704767.3747287134,8010472.108098533
3300,1704772.17453993,7990092.628864612
3400,1704389.045730449,7976452.77428196
3500,1704361.9445483168,7989981.241327523
3600,1704004.1661690385,7957324.1678645015
3700,1703835.1763172734,7967194.717770938
3800,1703820.92344442,7946209.165646209
3900,1703446.3513823214,7939081.607852704
4000,1703368.9030020358,7944154.89532949
4100,1703080.0125471808,7926925.828472194
4200,1703186.8086255726,7914013.243652806
4300,1702901.4696829398,7902835.643846958
4400,1702740.9623599884,7901041.0272149155
4500,1702468.072116713,7904039.561390975
4600,1702111.998093331,7891682.676916622
4700,1702011.9654478917,7885825.236642984
4800,1701841.571050955,7864697.916059931
4900,1701725.676077551,7860441.379033194
5000,1701431.6107713818,7864356.133288621
