miliseconds,CtrA,GcrA,DnaA,Fts,Zring,DivK,DivK_P,I,CcrM,hcori,hctrA,hccrM,hfts,Ini,Elong,DNA
0,0.10995801918457072,0.780060817599801,0.5997434616994216,0.2902740469789029,0.9999991254341736,0.6605163158966735,0.33965743829003536,0.11012244895412782,0.4984417547859742,0.9991802315751623,0.0,0.0,0.0,1.0702193277265792e-06,0.04994284888271619,1.0500309404810704
100,0.10961203242399134,0.7802054927429403,0.5993733742160383,0.2896497594258159,0.9998694270345474,0.6613874567896473,0.33919225017731547,0.10942131119425219,0.496695709854421,0.9976448908547925,0.0,0.0,0.0,1.6992074150190526e-06,0.05109822924152407,1.050612898082102
200,0.10925273731389863,0.7808098620073077,0.5992294919177763,0.2877969125137094,0.9998701907175662,0.662379102475931,0.33749970968737253,0.10907577758560412,0.4956675046413374,0.9937353289932653,0.0,0.0,0.0,4.399124023183957e-06,0.05174704340682476,1.0511760025888894
300,0.10853545276951351,0.7811171905794099,0.5987992961796877,0.2873310185768701,0.9998726728854809,0.6624773732474032,0.33585769968442625,0.10842380947102158,0.4930909531594115,0.9925651040675881,0.0,0.0,0.0,6.527325662014829e-06,0.05132492489484473,1.0512163029435253
400,0.10840110705421299,0.7816010380512539,0.5983346328908493,0.2853347493665608,0.9998733061931896,0.6633976031793613,0.33583544104429264,0.10809954286648157,0.49021642052478587,0.9889253515689498,0.0,0.0,0.0,8.020304648133871e-06,0.05265263347223042,1.0521242254291117
500,0.1078377946212959,0.781817710646112,0.5981875502370615,0.2854678307503261,0.9998754839298724,0.6639954665468746,0.3339569262740151,0.10801933545815391,0.4849572496951838,0.9867903576518612,0.0,0.0,0.0,9.080156873354987e-06,0.052782685193002464,1.0531854222566512
600,0.10712903745420323,0.782193226080513,0.5977347304798547,0.2843246415141208,0.9998784764271955,0.6655729995056175,0.3328731300595233,0.10758001456911141,0.482402682353136,0.9829484955276534,0.0,0.0,0.0,1.216574954946965e-05,0.05449766874238762,1.0542041500686998
700,0.10679398709688499,0.7827399715636588,0.5976898624099924,0.2826771761669961,0.9998795040577486,0.6666423583778196,0.33148467835677037,0.10716340701574047,0.48178557362655255,0.9825752500016665,0.0,0.0,0.0,1.3680687755856544e-05,0.05389690443118669,1.055199840675794
800,0.10652898257575301,0.7831924460815922,0.5970909391960759,0.28225971577166376,0.9998798441644958,0.6667726039410062,0.3317211438843695,0.10671090785376557,0.47869185986249485,0.9789558381237066,0.0,0.0,0.0,1.3521289465511785e-05,0.054861263788687095,1.0549919807534274
900,0.10586785754795748,0.7834258907641309,0.5967595670375248,0.2812159846660315,0.9998821417787744,0.6685127220519801,0.3301695657935652,0.10585126961214716,0.47584395968240417,0.977605364503462,0.0,0.0,0.0,1.6985184065523793e-05,0.05531340284424179,1.055332463798139
1000,0.10531204716539203,0.783939750449649,0.5963640473284615,0.2796154668328737,0.9998841852507936,0.6685272452252615,0.32827551352987777,0.10580417309494244,0.47322331357599273,0.9745860241631954,0.0,0.0,0.0,1.9227170945848647e-05,0.05723069790129759,1.0563571265180816
1100,0.10494456908758852,0.7838376670324746,0.5962735660673152,0.2783734669038214,0.9998861545864051,0.6698698142995066,0.3276625186660781,0.10555870529672688,0.4712455713271677,0.9716949223449488,0.0,0.0,0.0,1.8925293128723483e-05,0.05746397615448151,1.0573975954625454
1200,0.10475697718915444,0.7842501020333948,0.5954346616556488,0.27759623616316864,0.9998877213904055,0.6713441032544931,0.32685369712060286,0.10496053732615283,0.4701238924103417,0.9693505774491936,0.0,0.0,0.0,2.15879637562867e-05,0.05888261243416181,1.0588312520406327
1300,0.10401840674514931,0.7845672693834254,0.5954518763851023,0.2764097297841414,0.9998895328041258,0.6718215644430308,0.3249845322373956,0.10467816816337602,0.4671488898369831,0.9687365430214835,0.0,0.0,0.0,2.451250369678353e-05,0.059406749563805726,1.0596898885834063
1400,0.10372023021935833,0.7852820050230829,0.5950948658741099,0.27673364685612123,0.9998906454399211,0.6730420655390923,0.3237839856000986,0.10421118230468145,0.46476995092474,0.9655979340603487,0.0,0.0,0.0,2.5708172943055647e-05,0.05933537237161819,1.059286320494431
1500,0.10325739744048204,0.785618220154948,0.5946625434868283,0.27557313580810805,0.9998930531186432,0.6729117743183112,0.32327152775036644,0.10362222403828038,0.4605756043951336,0.963440355230575,0.0,0.0,0.0,2.852551687063684e-05,0.060192233480706056,1.0602813597409013
1600,0.10315228708874505,0.7862058931573505,0.5941800951384266,0.2744982683077473,0.9998926733484504,0.6740323222766945,0.3222100141676726,0.10307531350556778,0.4572397107486332,0.9618764206290712,0.0,0.0,0.0,2.8817497825441906e-05,0.0611831221098875,1.0614189108051981
1700,0.1027182438788312,0.7863357294328887,0.5940404760305048,0.27313839478527285,0.9998937928780105,0.6756395991490923,0.32090278667498584,0.10291211047029616,0.4563286433814313,0.9596163202079855,0.0,0.0,0.0,3.0221523286311846e-05,0.06262165183491218,1.061925593827696
