milliseconds,c1,h1,c2,h2
0,0.34186236837331074,0.8072441807809903,0.08146350503390018,0.11620285954756229
100,0.44631141057615137,0.7793329101762795,0.09569959735963773,0.1849938107104852
200,0.5300544831495222,0.7541295834356241,0.09603727699584287,0.2581784378759548
300,0.7323459193066182,0.7334609039113421,0.061758696381079545,0.31881356063568905
400,0.976402504705669,0.6989113564289319,0.0879473446503893,0.3788317477690817
500,1.2258214987602978,0.6601497865495797,0.0858816080711462,0.42309614022365316
600,1.3668650855898572,0.6339815082267356,0.07829680228996912,0.46901508756446175
700,1.505957995834652,0.5968970784655719,0.06505921033378084,0.4999800412599222
800,1.5496646447071658,0.563275219700099,0.06038930858851466,0.5322299085797896
900,1.5699888773483168,0.5379287935954596,0.08389842016865312,0.5594788360554263
1000,1.6496522896177832,0.5019106530384011,0.06131624581407988,0.5879323584252403
1100,1.618817270068835,0.4846419260976138,0.08907523226959212,0.6207444186282882
1200,1.5683912484153866,0.46789057609313256,0.13262160729916417,0.6642690093852756
1300,1.579110993371117,0.4549317039745256,0.10732868203628265,0.6609709302923564
1400,1.5294706781872243,0.4267675621860752,0.08020190692908383,0.7011727169770939
1500,1.43105785877422,0.4295059289086551,0.07987035856171232,0.693497926479419
1600,1.3783296505648641,0.41163965655217266,0.1026355543298184,0.7018196866382543
1700,1.3162398972739935,0.4130630131204688,0.11085981177380799,0.7204288106380146
1800,1.2643341278532922,0.4058334396463912,0.14840420506277985,0.7390102646203524
1900,1.238684092295156,0.40854907099870585,0.10600905071338391,0.7499990049385602
2000,1.1348846789181857,0.40149488084468965,0.10603349974061481,0.7393062189372942
2100,1.1035887992581646,0.4048365906278337,0.1323662571035667,0.7589023410842166
2200,1.009192133323233,0.41032184368893815,0.12028589930870848,0.7639101099469594
2300,1.0227138978512667,0.40469512231907223,0.16673897933931653,0.7745092833474211
2400,0.8872203738782374,0.4129938157070038,0.14809669185607457,0.7760260908840403
2500,0.9197958575967129,0.42991909165587205,0.1564729885027068,0.7588125289198441
2600,0.8666107543591106,0.43073694017161185,0.14495226459723273,0.7744104901357725
2700,0.7523275105513071,0.4507346324537246,0.13820629260188352,0.776685203422046
2800,0.6705362145327205,0.4431741691354774,0.1982454727887536,0.7601225491629016
2900,0.6707986871727459,0.4702595720380181,0.18858823288592147,0.7818554582369692
3000,0.5616470194712254,0.48320056827332575,0.15883740700751792,0.7731125894809342
3100,0.5218086565255031,0.481585123023692,0.20109691214020783,0.7735753419458298
3200,0.5191060927255905,0.49816152350836884,0.26432365065415003,0.764414772606899
3300,0.5092632404422693,0.5044262859909773,0.30081030752449117,0.7546679099279072
3400,0.41522011325500513,0.5203089446270366,0.27391312351484887,0.7552580072047245
3500,0.45299623559489743,0.5452893925762653,0.3958190077141111,0.7331318650839184
3600,0.413504324517889,0.5540602953368018,0.4931025629782021,0.7345906359286175
3700,0.3422972458494972,0.5538402534458282,0.5605654895475981,0.724324845858769
3800,0.34803075678923023,0.5829363492018597,0.6887784223827449,0.7006470286782961
3900,0.33677340334716177,0.5907100453382207,0.8827425277626562,0.6739040366798993
4000,0.2855808949149575,0.5925189756080864,0.9430989087715798,0.6415061671415153
4100,0.24189583332263875,0.6073048604788404,1.0982965184747093,0.6175056463640606
4200,0.2368200369432052,0.6344871378073439,1.1759384240757882,0.6057976530372545
4300,0.15575066517799568,0.6309439127180629,1.1832413896241338,0.5729332682768258
4400,0.2406882294755016,0.6589061332302166,1.258955733682808,0.5436525989136888
4500,0.20964995086096294,0.6509812057557404,1.2632092995227358,0.5301961852445889
4600,0.16644274344333593,0.6778592565629279,1.2953092865180902,0.4960778877239595
4700,0.18043886911370222,0.6774101639444031,1.3278434301339719,0.48767854233623753
4800,0.1268113770172749,0.6923823655331756,1.2247479458589412,0.4709363965330444
4900,0.15552707354117232,0.7076057129589981,1.2268860425696386,0.46154806093038697
5000,0.10285277577125913,0.7072667970795016,1.2312633985557686,0.46502831588766996
