milliseconds,srci,srco,srca,srcc,Cbp_P_CSK,CSK_cytoplasm,PTP,PTP_pY789,Cbp,Cbp_P
0,0.9993012093664742,0.003395597178774907,6.786149970470435e-07,-2.6421264482858395e-11,1.2460691805462827e-06,1.0000005053848102,1.0014484996905992,-0.0014137709514812499,1.0000076049907023,-4.466587832729023e-06
100,0.997035525411806,0.0017418954101570906,-5.752620823599071e-07,-3.953441666730215e-11,-8.465344493304734e-07,0.9999994899781928,0.9955124250209318,0.004527456662000991,0.999987885195506,9.604696745850981e-06
200,1.0011760673968955,0.002973215284523377,6.304314357021946e-07,2.1126096339303617e-11,1.2175530768157722e-06,0.9999992211585811,0.9943591099234104,0.008046062010074672,0.9999832863116471,2.2529836639604503e-05
300,0.9954915615801814,-9.971483932139308e-05,-1.1267458889067761e-07,3.607441938401989e-11,8.715679793982751e-07,1.0000007372437916,0.9908786142924244,0.010621216277453766,0.9999781968270391,2.9273216183620277e-05
400,0.9959464692638872,0.005185424050461555,4.6643592122744504e-07,-3.552107826827998e-12,9.419254001623748e-07,1.0000001079530962,0.9859585252829811,0.014200918507419136,0.9999576176467136,3.846497923667423e-05
500,0.9936083510642443,0.004083837329417518,5.628308775310383e-07,3.440023830770745e-11,1.1842827332814834e-06,1.0000001525349669,0.9828297479998636,0.01825601463108812,0.9999555955900202,4.551635352359305e-05
600,0.9934482700683375,0.003989485314485836,5.334952248139651e-07,2.1980885122691802e-11,4.230768632820091e-07,0.9999998695175164,0.9792722428733657,0.01877672794679153,0.9999480583532645,5.7309806224988866e-05
700,0.9964348286076395,0.007222386212858504,-3.443728852708832e-07,3.3974127096513764e-11,2.5462480012541847e-06,0.9999970527392094,0.9776160311815997,0.024422975701578416,0.9999369455195268,6.768749400461265e-05
800,0.9921775061274984,0.008725038140289455,8.437392265418295e-07,-6.6555923708454786e-12,3.830279224202674e-06,0.9999976645399218,0.9727709613186916,0.025694827802939538,0.9999188766718331,7.290484364083111e-05
900,0.9873795891744446,0.01070560190558981,-1.6991811284535006e-07,-2.724270480095837e-11,3.4776807651772808e-06,0.9999952385967847,0.9698238118279501,0.02951373275315348,0.9999033806500763,9.065837675464198e-05
1000,0.9867624750821568,0.01557109295410513,1.0655711228048334e-06,3.643867472204523e-11,5.234650567251863e-06,0.9999952992662204,0.9664748301796221,0.032930093067404395,0.9998974735412253,8.876932198110575e-05
1100,0.9836584796098881,0.012344433956620982,5.508107689213588e-07,-2.8144482378372427e-12,4.660447520871185e-06,0.9999933771435926,0.9643923870993563,0.03424545801687256,0.9998976993444478,0.00010823863598163478
1200,0.9802377310717446,0.020963299951367913,1.0466029121881902e-06,2.6767562559107467e-11,7.38029520351651e-06,0.9999917954074093,0.9626316181267067,0.037600813408714615,0.9998774004745723,0.00011186461698726857
1300,0.9811154336269459,0.021449806554027465,5.339168396000597e-07,5.6899427749634694e-12,9.016982691008732e-06,0.9999928938418614,0.9580145391883241,0.040289605634140774,0.999870096545746,0.0001267098573415293
1400,0.9778448245725534,0.02701134333942522,1.5426798088840768e-06,2.9047029540250693e-11,1.030827795887885e-05,0.9999921726428699,0.9559655493694456,0.04272945256933764,0.9998561919230411,0.00012853068844992708
1500,0.974681834245694,0.031229302281888433,1.933465844787313e-06,-2.7882068913749406e-11,1.2178251015066283e-05,0.9999898153652353,0.9531940209555414,0.04576687064809259,0.9998449326796744,0.0001343181413550455
1600,0.9651338046764256,0.02858988150362611,1.5846084826563922e-06,-1.2800215093441676e-11,1.3202239446601324e-05,0.9999875254384061,0.9516449923924174,0.04851417754380059,0.9998402652611351,0.0001476442909392452
1700,0.9664073897071904,0.03586007143263048,2.774812542149192e-06,-3.256063459728724e-12,1.246428712349731e-05,0.9999864564341591,0.9503384827318022,0.05112626866145303,0.9998304516571574,0.0001633909158539338
