miliseconds,srci,srco,srca,srcc,Cbp_P_CSK,CSK_cytoplasm,PTP,PTP_pY789,Cbp,Cbp_P
0,1.0031793841275036,-0.001335511567381102,3.2661227739492587e-07,-2.6875975298723315e-12,-1.5317537013974875e-06,1.0000000719453328,0.9991319860915223,-0.0016791342983877803,0.9999942360918724,-5.205507288301612e-06
100,1.0007185764410451,-0.0032471325501830595,-3.078751649425063e-07,3.450866749622667e-11,-6.423703618030119e-07,0.9999996488345978,0.9949133687640807,0.004620264016495656,0.9999960467674919,7.940483565221126e-06
200,1.0022823469308095,0.0037015716351681827,-7.144921193309105e-08,-3.894830405468764e-11,7.2715010970931e-07,1.0000004659869504,0.9918065680519728,0.006437081441984969,0.9999790280411068,2.557189350633907e-05
300,0.9955349677543968,-0.0013500059806339836,1.3872336632173633e-07,-1.1423742699589253e-11,-5.352369700864572e-07,0.9999980986147972,0.989697359237173,0.011127732575878437,0.9999736783051846,2.8278732309370502e-05
400,1.0001027353654166,0.005684380947702152,-8.720970742296785e-08,-2.7940762704263428e-11,-5.989358958457362e-07,0.9999978974420743,0.9861582910905815,0.011941663493111022,0.9999592172184014,3.336645658350782e-05
500,0.9943500637447119,0.003778148040108164,4.935455879363999e-07,-2.6620425711524824e-11,2.624044387000762e-06,0.9999995354949651,0.9820905826903348,0.01788250391284853,0.9999575328056692,5.181664713967274e-05
600,0.9959870453082755,0.005715942328897956,-5.758012008087978e-07,1.7316482530857776e-11,1.955751063394752e-06,0.999999619558009,0.9798926542014553,0.02065283396705873,0.9999320339523261,6.0650584277269684e-05
700,0.9906318203711314,0.003401398132235163,2.2592972592846147e-07,1.49964824796164e-11,3.3603936368682387e-06,0.9999989155044628,0.9756621385292333,0.023761953656172386,0.9999352529737671,6.46325372394341e-05
800,0.9906070773192698,0.007433072142195219,-1.025633416405254e-07,-2.400470735003885e-11,1.6861406266949889e-06,0.9999957280523939,0.975167984839312,0.0260716036565692,0.9999170152217303,7.600774916742748e-05
900,0.990252037962711,0.01284121911120508,7.15371682570376e-07,-2.0345428757776036e-11,3.0844860913869563e-06,0.9999966125850225,0.9722010790591638,0.02917974903697629,0.9999089446562521,8.70684299613701e-05
1000,0.9846306341404615,0.016712835574837263,-6.8351652868179665e-09,-3.658354543250136e-11,5.849086447004705e-06,0.9999965086660157,0.9671369363632889,0.03149690695550191,0.9998935033129138,0.00010087658154607665
1100,0.9833326141270099,0.01270486817599672,1.228826916269463e-06,2.471049574981558e-11,7.165953695519977e-06,0.9999940053718225,0.9645870837365328,0.03618662506895071,0.99989437301492,0.00010577921666473398
1200,0.9794707481106745,0.019555368723771536,2.6191204828340077e-07,-1.6317795540133212e-11,7.464162273222075e-06,0.9999918681836636,0.9611987437716277,0.03944265067500568,0.9998802442677451,0.00010820152369373228
1300,0.9759501801830428,0.022260878838437987,5.103825860363023e-07,1.7684393155360488e-11,9.160909729782425e-06,0.9999928716787575,0.9608200980866003,0.039552392947018164,0.999875572448379,0.00012753745322761022
1400,0.9775706823565476,0.02519201908736005,1.2418314587691778e-06,-3.0983380843904904e-11,9.507228738523938e-06,0.9999923144316573,0.9558278366146826,0.04363420540782502,0.9998598649777648,0.0001287157771524725
1500,0.9684162173635213,0.029861031293950045,2.0322651891580282e-06,1.466895212463699e-11,1.0063270118042734e-05,0.9999889883159406,0.9549220072723853,0.045239316214709925,0.9998430512546168,0.00013521012176954624
