miliseconds,IKK_neutral,IKK_active,IKK_inact,IKKactive_IkB,IkB,IKKactive_IkB_NFKB,IkB_NFKB,NFKB,NFKB_nuc,IkB_nuc,IkB_NFKB_nuc,IkB_mRNA,A20_mRNA,A20,cgen_mRNA
0,5.766706361509966e-07,0.0,0.0,0.0,-1.4199595188840872e-15,0.0,0.06000008250094851,-3.747181484684798e-08,-1.8683357619735474e-09,5.72846548345195e-18,-3.783084001970016e-25,8.352254973011326e-16,-8.564175002503629e-16,7.08562586366453e-16,-8.242368969121637e-16
100,2.5930043781303067e-06,0.0,0.0,0.0,-1.3157184888704073e-15,0.0,0.05999984484533326,1.853964099649529e-07,-2.6388762184314513e-09,-3.750566766023879e-18,-1.090419025460521e-25,1.7887327130742537e-15,-1.5758756981674285e-15,-1.1750918836005631e-15,-1.5684489947791506e-15
200,5.019888521370019e-06,0.0,0.0,0.0,1.1217028208402319e-15,0.0,0.05999974832819947,2.344972963874394e-07,2.1020773655196726e-10,-8.231979575283137e-19,-3.639359648692846e-25,-1.6683071059255534e-15,2.0687290961707415e-15,8.727425500968409e-16,-1.2839904737859404e-15
300,7.162729287701661e-06,0.0,0.0,0.0,1.2448922914727412e-15,0.0,0.05999965242373109,3.697989128916071e-07,-4.525726171270966e-10,6.7467649947085124e-18,-4.494494289781421e-25,-1.2474412141942448e-15,1.0155914237687194e-15,-1.1764253993974963e-15,2.082848417296846e-15
400,1.0682555722307173e-05,0.0,0.0,0.0,-1.00661599048883e-15,0.0,0.059999460123843947,4.771400676652159e-07,-9.553551645187053e-10,1.122283874196107e-18,-4.8203079364447516e-26,1.1517851319685602e-15,2.3712229880079966e-15,-1.433895818855078e-15,-6.356400643301236e-17
500,1.2396709361095601e-05,0.0,0.0,0.0,1.324544486687764e-16,0.0,0.05999932584047005,6.540571607137637e-07,2.8574154580868457e-09,-8.145789901326468e-19,2.1124849502740995e-25,-2.062089060954188e-15,-6.290939464972011e-16,-9.355669907253157e-16,2.5237641112700162e-15
600,1.6848325416014866e-05,0.0,0.0,0.0,-9.261731493077334e-16,0.0,0.059999203002359246,7.764557669530196e-07,4.098672763784819e-09,-3.884219403892553e-19,-8.927123521208997e-26,-6.485098113816425e-16,-2.6187022177182706e-16,-1.2715374164260554e-15,2.0767785096779965e-15
700,1.6235280830444148e-05,0.0,0.0,0.0,-1.335016650856832e-15,0.0,0.059999127679854554,8.530233290216763e-07,6.273157439921827e-09,-4.2375329488105874e-19,2.3278083530235355e-25,-1.3084073187006778e-15,1.47680500099638e-15,1.1118023760763226e-15,7.70286184102923e-16
800,2.0680988713004205e-05,0.0,0.0,0.0,-1.1259989848938841e-15,0.0,0.05999902541429728,1.025265530602562e-06,5.53121533961639e-09,-1.6849538236271963e-19,-4.476786631985954e-25,6.704242466289071e-16,-1.1213512820026596e-15,-7.484987422694211e-16,-6.13195371596575e-16
900,2.3838830374415337e-05,0.0,0.0,0.0,-7.396696499386263e-16,0.0,0.05999895677184851,1.0172736257654807e-06,3.914048598709927e-09,2.822133732600739e-18,4.364848421495127e-25,1.441356654166004e-15,2.5476407963666475e-15,-8.562517262768048e-16,2.6180254673541795e-15
1000,2.3273239437973845e-05,0.0,0.0,0.0,-8.420049352354496e-16,0.0,0.059998719469521296,1.1473883438198171e-06,8.756640693905204e-09,3.881318701081892e-18,-1.7760026342773526e-25,3.1291833276367284e-15,3.2408983648122323e-15,3.9994991156930263e-16,3.72693216112162e-15
1100,2.701859674987481e-05,0.0,0.0,0.0,1.3634340496078703e-15,0.0,0.0599986400007772,1.3068825685180646e-06,1.0203708859728088e-08,5.779846623450074e-18,1.5970659695333284e-25,5.1353817352597434e-17,1.0982494765724177e-15,1.6782102658811589e-15,3.5474970533902468e-15
1200,2.8721905586611757e-05,0.0,0.0,0.0,3.156299190734087e-16,0.0,0.059998639508809425,1.4158125570017118e-06,1.080835812285162e-08,-4.210042359339252e-18,4.223288830319124e-25,4.007956556282919e-15,1.8714818211258365e-15,1.6109362971332258e-15,4.3024483557940996e-15
1300,3.2778826966360255e-05,0.0,0.0,0.0,1.6836037350544155e-16,0.0,0.05999847803348867,1.5321313722628337e-06,1.0616683152430545e-08,4.992139883240631e-18,1.1601479273396669e-26,4.285542931481586e-15,3.025009164168309e-15,1.7032468129378896e-15,2.7991406728528155e-15
1400,3.451627301929498e-05,0.0,0.0,0.0,2.243768462860319e-15,0.0,0.05999833113267881,1.7447812917628826e-06,1.1876248496291587e-08,5.163734344935889e-18,-3.390284452188312e-25,5.597938520767219e-15,4.287751223837898e-15,8.779659227851646e-16,2.7499039098363568e-15
1500,3.9016444346084565e-05,0.0,0.0,0.0,2.399254934027259e-15,0.0,0.05999822639511249,1.8177246881803631e-06,1.8550156634054438e-08,6.971273598997451e-18,-4.483454213422202e-25,4.686806655284612e-15,6.79161019472048e-15,-9.429535643276608e-17,6.2218514935417185e-15
1600,3.8440970490510916e-05,0.0,0.0,0.0,2.296097229943111e-15,0.0,0.059998005397906055,1.8604543984644893e-06,2.0902014406823597e-08,7.070955127402795e-18,3.061153159550275e-25,6.798383349589582e-15,6.9577764573900796e-15,4.185010267466613e-16,5.4096042551798826e-15
1700,4.1321491472087446e-05,0.0,0.0,0.0,1.731308908499841e-15,0.0,0.05999790263918804,1.9831428368209347e-06,2.00699103293194e-08,2.3840870005287745e-18,1.0116786154374484e-25,6.9208102255335395e-15,8.691924211165903e-15,3.2758146538690312e-15,7.918993600670108e-15
1800,4.587210439409218e-05,0.0,0.0,0.0,1.07419594386361e-15,0.0,0.05999782555691752,2.131078330338517e-06,2.394482083894622e-08,6.719292303422428e-18,1.090550615986763e-25,7.678317130258636e-15,7.63748670347486e-15,2.0159674834694856e-15,9.029708144166256e-15
1900,4.826686151459926e-05,0.0,0.0,0.0,3.844389629208716e-15,0.0,0.059997640187853155,2.21936290006424e-06,2.4875828771788055e-08,5.917762283423944e-18,-2.4116853754600188e-25,8.1270717585664e-15,9.433039995428527e-15,2.197210553578321e-15,7.595766706700467e-15
2000,4.833499548050594e-05,0.0,0.0,0.0,2.924339990969444e-15,0.0,0.05999760813350476,2.3897855430003745e-06,2.7213536633041074e-08,1.4706335870042732e-17,4.223937618515178e-25,8.96825264454995e-15,1.068051118796158e-14,3.880889455785145e-15,9.798763869762876e-15
2100,5.384920394711315e-05,0.0,0.0,0.0,5.400916915629061e-15,0.0,0.059997568818209446,2.437377824982148e-06,3.109817206665592e-08,1.1438985861574862e-17,1.844070602083224e-25,1.1315086831691828e-14,1.3783695647513433e-14,4.901110926217862e-15,1.0363380527130536e-14
2200,5.3516051140134256e-05,0.0,0.0,0.0,6.061233036875995e-15,0.0,0.059997439560621584,2.705314183679131e-06,3.562174503736317e-08,7.77208907300311e-18,-1.4063962555602916e-25,1.2241166543070187e-14,1.332245709155736e-14,4.656650325526718e-15,1.4964486554287284e-14
2300,5.8925592952789146e-05,0.0,0.0,0.0,6.4597636382069215e-15,0.0,0.059997312933992956,2.7934475421559596e-06,3.910107369434796e-08,1.8052782748112674e-17,2.2477778392762753e-25,1.7962301225100493e-14,1.473694416418462e-14,6.581639975428831e-15,1.5339488257450744e-14
2400,6.050195405587277e-05,0.0,0.0,0.0,7.094500577078753e-15,0.0,0.05999711032991886,2.80173519471406e-06,4.191056807299418e-08,2.2035473319342914e-17,4.293990674049361e-25,2.0488302801849594e-14,2.099671383983243e-14,6.694209114789156e-15,1.8734238831277776e-14
2500,6.150188682136929e-05,0.0,0.0,0.0,8.165354978370262e-15,0.0,0.059997076803536845,3.0264011310756107e-06,4.959590302596845e-08,1.917611077328149e-17,-1.3208927662417078e-25,2.1004253673034118e-14,2.1698873332514126e-14,7.323285552974137e-15,2.041003701039841e-14
2600,6.664291618161414e-05,0.0,0.0,0.0,1.0318572948330029e-14,0.0,0.05999685640162852,3.1955706041159614e-06,5.253591942934943e-08,3.513600584863823e-17,2.781058534686488e-25,2.3903287197506154e-14,2.20630976251051e-14,8.553445156997712e-15,2.5674048105412974e-14
2700,6.806873889237932e-05,0.0,0.0,0.0,1.003091848294325e-14,0.0,0.05999684530580218,3.2169444572852043e-06,5.457061151384272e-08,4.09055345957831e-17,4.760476724163761e-25,2.692463896512586e-14,2.5470372009106128e-14,1.1065143885068847e-14,2.845792695926192e-14
2800,7.118245217172538e-05,0.0,0.0,0.0,1.0557579721726029e-14,0.0,0.0599966874621586,3.2916531748085115e-06,5.687870764803629e-08,4.834050552762605e-17,3.554036209629992e-25,2.861505725800805e-14,2.8286640292771296e-14,1.2162891095463624e-14,2.7208153108632426e-14
2900,7.135244267424888e-05,0.0,0.0,0.0,1.3908080803890257e-14,0.0,0.059996545531977565,3.5453778849496474e-06,6.236810833210838e-08,5.478990850273454e-17,4.166032499217112e-25,3.177707991716255e-14,3.140391514724593e-14,1.3526388267988538e-14,3.31024876514645e-14
3000,7.37276511415391e-05,0.0,0.0,0.0,1.5572824418233213e-14,0.0,0.059996425521647224,3.6705925358040454e-06,6.741828737659037e-08,5.257265990913494e-17,6.737653266778802e-25,3.3452218259498234e-14,3.446934717579257e-14,1.6081334584129998e-14,3.476430084287046e-14
3100,7.729808925527082e-05,0.0,0.0,0.0,1.652147990743002e-14,0.0,0.059996194044315485,3.720141457604242e-06,7.436597613569182e-08,6.131238510299742e-17,9.180644203170542e-25,3.8202962702245903e-14,3.84379047376103e-14,1.8167300662487455e-14,4.0451612712989955e-14
