miliseconds,IKK_neutral,IKK_active,IKK_inact,IKKactive_IkB,IkB,IKKactive_IkB_NFKB,IkB_NFKB,NFKB,NFKB_nuc,IkB_nuc,IkB_NFKB_nuc,IkB_mRNA,A20_mRNA,A20,cgen_mRNA
0,-1.8097947297509024e-06,0.0,0.0,0.0,1.5233649463827317e-16,0.0,0.060000040578135676,-5.075800463068654e-08,1.7390866682376647e-09,-2.7033188018147425e-18,-1.3299149310851285e-25,-2.0890495816432734e-15,2.3269778825982232e-15,3.712889347642721e-16,-1.771595272015114e-15
100,2.0406723495054925e-06,0.0,0.0,0.0,1.4528758333878985e-15,0.0,0.059999945021870456,1.8805303323070505e-07,-4.8378972211535046e-11,-6.557871948888437e-18,4.304304247375028e-25,2.2543413991279825e-15,2.0363337832757684e-15,-4.0138350979631023e-16,6.587466560131244e-16
200,3.414372570812559e-06,0.0,0.0,0.0,1.907937175791657e-17,0.0,0.059999805852802054,1.6823854303485333e-07,5.677722053838951e-10,-5.541181319088311e-18,-4.283936587340268e-25,2.3061970191348176e-15,7.237781184294465e-16,1.1845795889570045e-15,1.210747809096687e-15
300,6.755315426816864e-06,0.0,0.0,0.0,7.225305784732526e-16,0.0,0.059999710230521676,4.2248477022737975e-07,-8.607336717258795e-10,-3.0035468699030767e-18,3.090407878855692e-25,-9.95441339787117e-16,1.1143655700611144e-15,-1.6316824061485177e-16,1.553406849044034e-15
400,8.971373036671283e-06,0.0,0.0,0.0,9.540519223508976e-16,0.0,0.05999950604588893,5.393818811334002e-07,2.1032209483574046e-09,7.098146019346031e-18,1.9459528349786904e-25,4.74702660665671e-16,-5.849715302900602e-16,8.261787485676333e-16,-1.1494371961312264e-15
500,1.2287237808008743e-05,0.0,0.0,0.0,-1.3419332104140462e-15,0.0,0.05999933201790643,6.233708609034471e-07,3.695226002338525e-09,6.851824067981755e-18,-3.7571030541214986e-25,-4.628754937450109e-16,-1.9831087649916363e-15,6.300378013998693e-16,2.1183604521764937e-16
600,1.3398624344602154e-05,0.0,0.0,0.0,-1.426339221027594e-15,0.0,0.05999935501576976,7.633395573315646e-07,4.711703651727163e-09,3.0432355057085547e-18,-4.449130475058485e-25,-1.781630765491013e-15,7.941787439593088e-16,8.073956237152394e-16,5.19733966135532e-16
700,1.866131868898268e-05,0.0,0.0,0.0,-1.0301933590493487e-15,0.0,0.059999154541451105,8.414377713589502e-07,2.489924052184036e-09,3.325882096794228e-18,-4.234372188536008e-25,-9.493481891493767e-16,2.0805110522994528e-15,1.5805652052058394e-16,-1.7610387223082186e-16
800,2.1200190812445902e-05,0.0,0.0,0.0,-1.2113934712996877e-15,0.0,0.05999897425432548,1.034254171458408e-06,5.496195363041803e-09,3.789017741544636e-18,-1.742579578262038e-25,1.6891160170848198e-15,4.0074673854611387e-16,-7.409049591132429e-16,7.911889349762364e-16
900,2.3067168196437085e-05,0.0,0.0,0.0,4.696826466314155e-16,0.0,0.05999898896859028,1.1180979190113461e-06,3.261656912008137e-09,1.441909161809801e-18,4.0692729251622714e-25,2.816444608094415e-15,-8.485889013923845e-17,1.4359277205238224e-15,-1.155645435019988e-15
1000,2.4435477060979044e-05,0.0,0.0,0.0,-3.8120215149794536e-16,0.0,0.059998840421254106,1.1287005780402204e-06,4.759985091310355e-09,7.35354478620302e-18,-2.2778091631966317e-25,9.294338252791764e-16,2.2350979289875873e-15,3.062575688557842e-16,3.4460351954564294e-15
1100,2.7687650813532322e-05,0.0,0.0,0.0,7.052121366746286e-16,0.0,0.0599986196436975,1.2482380752221155e-06,1.0946544515863087e-08,3.923315820127594e-18,-2.0862044772255987e-25,3.1514075326458404e-15,4.240833813673961e-15,1.2534090528778815e-15,3.0885611405810714e-16
1200,2.959121661244561e-05,0.0,0.0,0.0,-5.967434370643473e-16,0.0,0.05999850301491956,1.476236506466963e-06,9.925950654823671e-09,2.875365349768236e-18,3.1081421841474074e-25,4.1494192232005984e-15,3.8366342326180197e-16,1.111751762401453e-16,6.392442060440958e-16
1300,3.308704500868985e-05,0.0,0.0,0.0,1.168378611616149e-15,0.0,0.059998416734493236,1.5248669778032305e-06,1.4477432776213775e-08,-1.3396030620807724e-18,-8.224152189446333e-26,2.5802235371608234e-15,4.493801299170017e-15,1.4926637293046923e-15,3.665998321267734e-15
1400,3.549526336264256e-05,0.0,0.0,0.0,8.934736289979298e-16,0.0,0.059998240534871496,1.6880922440712073e-06,1.6030000146464767e-08,-5.68455041849647e-19,1.1180319287349913e-25,5.864519273199904e-15,5.1741664439631986e-15,8.789601229609894e-16,5.778363039711968e-15
1500,3.710797316633408e-05,0.0,0.0,0.0,1.5529948435078043e-15,0.0,0.05999823094223646,1.8695128540819694e-06,1.5751749987625524e-08,-5.612213815334507e-19,2.8607314727451277e-25,6.147442595260372e-15,4.084686462827754e-15,5.390523096654448e-16,6.007502325112966e-15
1600,3.9206405692287975e-05,0.0,0.0,0.0,1.5762251742665184e-16,0.0,0.05999814156717607,1.962253210149122e-06,1.7499096201414314e-08,1.712544414702935e-18,-2.6083690847528853e-25,6.838393767794632e-15,8.09615768079358e-15,7.71326847119121e-16,3.682110829115469e-15
1700,4.176855409338264e-05,0.0,0.0,0.0,1.1249967338069127e-15,0.0,0.05999795677527468,2.0045563088614793e-06,1.9022186144442143e-08,6.0801615230666e-18,-3.176425971037699e-25,8.482683502205505e-15,4.692207691489232e-15,2.783543059386867e-15,8.825216155974258e-15
1800,4.511195296910629e-05,0.0,0.0,0.0,1.3899025895438703e-15,0.0,0.05999789144920248,2.0755357067009054e-06,2.253523959249616e-08,5.860733117327752e-18,7.468624439930617e-26,6.641123525496857e-15,6.750450270939577e-15,3.368688787298818e-15,6.374377256998051e-15
1900,4.591819191547089e-05,0.0,0.0,0.0,2.5925814878359953e-15,0.0,0.05999763087413436,2.270640837739515e-06,2.506723521545419e-08,2.0870611557438887e-18,3.800479430625478e-25,1.1340926553780033e-14,9.951856815718097e-15,1.8565175881783715e-15,1.1687549562655875e-14
2000,4.896585071177766e-05,0.0,0.0,0.0,2.9082154325759403e-15,0.0,0.059997571412468365,2.375892805862718e-06,3.205099062587861e-08,7.731465924061168e-18,1.4333882260159447e-25,8.819201669514652e-15,9.569414306256379e-15,3.856513452750259e-15,1.132379165429764e-14
2100,5.380961521706344e-05,0.0,0.0,0.0,3.601046556983966e-15,0.0,0.059997407638153845,2.5376122348507728e-06,3.570362949380063e-08,1.2570051474352972e-17,-2.95488505907022e-25,1.432969252953827e-14,1.2173199716765312e-14,3.863423764092007e-15,1.1345766882844212e-14
2200,5.4888461512785826e-05,0.0,0.0,0.0,5.9726226840549185e-15,0.0,0.05999732621087325,2.573351884697859e-06,3.87189168453431e-08,2.27317824867493e-17,-3.590284767782629e-26,1.669956133809353e-14,1.3960229488356537e-14,5.310426184481373e-15,1.3068164623576017e-14
2300,5.579144891543777e-05,0.0,0.0,0.0,5.739405570670577e-15,0.0,0.05999722208764223,2.7445994853604406e-06,4.1031564160063544e-08,2.5459489289227405e-17,-1.270268983668531e-25,1.6683729613538174e-14,1.8287535138258396e-14,5.250117445689357e-15,1.529737729567253e-14
2400,5.892408896592964e-05,0.0,0.0,0.0,5.89672349359414e-15,0.0,0.05999718939661431,2.8670682985435724e-06,4.4126531895233855e-08,1.9720739486732452e-17,5.859652429056765e-25,1.918678694344418e-14,1.8841004687870103e-14,7.226030552829596e-15,1.7677612972438296e-14
2500,6.288094654630872e-05,0.0,0.0,0.0,9.164269352405434e-15,0.0,0.059997070697285125,3.0576037487918528e-06,4.746458026663629e-08,1.8632761505891257e-17,6.6249186484238195e-25,1.9959958565528727e-14,1.9084891774189518e-14,7.834578650777235e-15,2.2607763298382437e-14
2600,6.593864890736781e-05,0.0,0.0,0.0,8.007036027188955e-15,0.0,0.05999688559901613,3.1497855138637345e-06,4.864246789085425e-08,2.3087493683578393e-17,-2.0334632413662963e-26,2.381411659331698e-14,2.2569463630702253e-14,1.0294648171466903e-14,2.5573550681378313e-14
