milliseconds,InR,Ins_InR,Ins_InR_P,Ins_2_InR_P,cytoplasm_InR,cytoplasm_Ins_2_InR_P,cytoplasm_Ins_InR_P,PTP1B,IRS1_TyrP_PI3K,PI345P3,PIP2,Akt,Akt_P2,PKC,PKC_P,AS160,AS160_P,cytoplasm_GLUT4,cellsurface_GLUT4,PTEN,PP2A,PTP1B_ox,PTEN_ox,ROS,GSH,GSSG,cytoplasm_SOD2,NOX_inact,NOX,NOX_deact,IRS1,IRS1_TyrP,IRS1_PolySerP,IRS1_TyrP_PolySerP,PI3K,JNK_P,IKK_P,JNK,IKK,DUSP,DUSP_ox,degr_Foxo1,cytoplasm_Foxo1_Pa0_Pd0_Pe0_pUb0,nucleus_Foxo1_Pa0_Pd0_Pe0_pUb0,dnabound_Foxo1_Pa0_Pd0_Pe0_pUb0,cytoplasm_Foxo1_Pa0_Pd0_Pe0_pUb1,nucleus_Foxo1_Pa0_Pd0_Pe0_pUb1,dnabound_Foxo1_Pa0_Pd0_Pe0_pUb1,cytoplasm_Foxo1_Pa0_Pd0_Pe1_pUb0,nucleus_Foxo1_Pa0_Pd0_Pe1_pUb0,dnabound_Foxo1_Pa0_Pd0_Pe1_pUb0,cytoplasm_Foxo1_Pa0_Pd0_Pe1_pUb1,nucleus_Foxo1_Pa0_Pd0_Pe1_pUb1,dnabound_Foxo1_Pa0_Pd0_Pe1_pUb1,cytoplasm_Foxo1_Pa0_Pd1_Pe0_pUb0,nucleus_Foxo1_Pa0_Pd1_Pe0_pUb0,dnabound_Foxo1_Pa0_Pd1_Pe0_pUb0,cytoplasm_Foxo1_Pa0_Pd1_Pe0_pUb1,nucleus_Foxo1_Pa0_Pd1_Pe0_pUb1,dnabound_Foxo1_Pa0_Pd1_Pe0_pUb1,cytoplasm_Foxo1_Pa0_Pd1_Pe1_pUb0,nucleus_Foxo1_Pa0_Pd1_Pe1_pUb0,dnabound_Foxo1_Pa0_Pd1_Pe1_pUb0,cytoplasm_Foxo1_Pa0_Pd1_Pe1_pUb1,nucleus_Foxo1_Pa0_Pd1_Pe1_pUb1,dnabound_Foxo1_Pa0_Pd1_Pe1_pUb1,cytoplasm_Foxo1_Pa1_Pd0_Pe0_pUb0,nucleus_Foxo1_Pa1_Pd0_Pe0_pUb0,dnabound_Foxo1_Pa1_Pd0_Pe0_pUb0,cytoplasm_Foxo1_Pa1_Pd0_Pe0_pUb1,nucleus_Foxo1_Pa1_Pd0_Pe0_pUb1,dnabound_Foxo1_Pa1_Pd0_Pe0_pUb1,cytoplasm_Foxo1_Pa1_Pd0_Pe1_pUb0,nucleus_Foxo1_Pa1_Pd0_Pe1_pUb0,dnabound_Foxo1_Pa1_Pd0_Pe1_pUb0,cytoplasm_Foxo1_Pa1_Pd0_Pe1_pUb1,nucleus_Foxo1_Pa1_Pd0_Pe1_pUb1,dnabound_Foxo1_Pa1_Pd0_Pe1_pUb1,cytoplasm_Foxo1_Pa1_Pd1_Pe0_pUb0,nucleus_Foxo1_Pa1_Pd1_Pe0_pUb0,dnabound_Foxo1_Pa1_Pd1_Pe0_pUb0,cytoplasm_Foxo1_Pa1_Pd1_Pe0_pUb1,nucleus_Foxo1_Pa1_Pd1_Pe0_pUb1,dnabound_Foxo1_Pa1_Pd1_Pe0_pUb1,cytoplasm_Foxo1_Pa1_Pd1_Pe1_pUb0,nucleus_Foxo1_Pa1_Pd1_Pe1_pUb0,dnabound_Foxo1_Pa1_Pd1_Pe1_pUb0,cytoplasm_Foxo1_Pa1_Pd1_Pe1_pUb1,nucleus_Foxo1_Pa1_Pd1_Pe1_pUb1,dnabound_Foxo1_Pa1_Pd1_Pe1_pUb1,nucleus_RNA_InR,cytoplasm_RNA_InR,nucleus_RNA_SOD2,cytoplasm_RNA_SOD2,E2F1,SGK,CDK2,AMPK,CBPP300,SIRT1,E3,USP7,SCF,Proteasome
0,1.40625e+18,0.0,0.0,0.0,606060606060606.0,0.0,0.0,6060606060606060.0,0.0,60606060606060.6,1.212121212121212e+16,6060606060606060.0,0.0,6060606060606060.0,0.0,1212121212121212.0,0.0,5818181818181818.0,6.249999999999999e+16,6060606060606060.0,3.03030303030303e+16,0.0,0.0,0.0,6060606060606.061,0.0,2527272727272727.0,6060606060606.061,0.0,0.0,6060606060606060.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,969696969696969.6,121212121212121.2,6060606060606060.0,0.0,0.0,60606060606060.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
100,1.4062489802170621e+18,0.0,0.0,0.0,605797976767983.2,0.0,0.0,5976335481527953.0,0.0,11211719087494.693,1.217060646273069e+16,6059863780286455.0,742280319602.7643,6059569932224851.0,1036128381208.1793,1211653961928157.2,467250193053.2281,5813529294169744.0,6.369947884686332e+16,6060315354341578.0,3.03030303030303e+16,84270579078110.89,290706264478.3844,108971674999.77739,6011529803054.171,49076257551.88352,2526792626748126.5,6060606060606.061,0.0,0.0,6059492787074675.0,0.0,2082010644860.1213,0.0,606060606060606.0,43388172698.50411,1084723763.9000454,969653581524271.8,121211036488357.27,6059954926782382.0,651133823684.53,29846647.91900212,59500126958282.93,35478732699233.38,2226051366124.478,5920195320.730921,3542045999.5555506,222428420.32961383,198364368.9602016,480824338.2280865,18993875.497755703,19737.83314159408,47956.60458905051,1896.5803315997666,7865443.075733305,3856105.9096914968,268159.6988342206,6230.507942246217,2777.6556648229603,198.73612052846738,26.64305878566065,46.82832369340419,2.129561221789959,0.02120241945515664,0.032970520660809695,0.0015257169536016116,20831118235.059834,6986813796.357015,418201402.6332735,4041403.122313924,1191438.9882608335,70242.99191806739,71954.85742762849,67104.5936178211,2823.323187713544,14.008841898528098,10.855043749056934,0.45201899351416336,2747.367454864069,752.4704295377535,51.306030054808936,5.243141892343521,1.1898684292876653,0.08402894943016713,0.009524295640755276,0.00712916422822826,0.00033353604490035817,1.8238095253923727e-05,1.0738392884129096e-05,5.1650137958316e-07,992641575890.1969,277155252.39287865,2981337688993.0757,831978150.7106309,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
200,1.4062459668223473e+18,0.0,0.0,0.0,605543314153111.5,0.0,0.0,5897080285575721.0,0.0,11212125901648.34,1.2170606055916536e+16,6059906581358470.0,699479247586.6769,6059632708886222.0,973351719836.6088,1211208970418646.8,912241702564.201,5808927234238281.0,6.488594742294309e+16,6060029700869742.0,3.03030303030303e+16,163525775030343.16,576359736313.8983,108992362267.00569,5971611580612.971,88994479993.0828,2526312797890226.5,6060606060606.061,0.0,0.0,6058631896893089.0,0.0,3909728847847.2056,0.0,606060606060606.0,86652920669.89362,2166400712.4771776,969610316776300.2,121209954811408.67,6059304998868545.0,1301061737521.6501,117602240.94533135,58420885521197.86,69241577609553.63,8722089355315.862,11567580951.884972,13802879363.62382,1741659821.795832,728368366.9127722,3571221576.59967,285585596.3266609,144231.63935127534,710542.1791743144,56950.892334236625,30481706.227782443,29289908.82935237,4119976.1065764395,47946.458057664124,41732.00214936779,6054.937338560631,392.00632903183185,1377.8358698619727,126.4734037940864,0.6221276958635313,1.9323639406836832,0.18037819197324167,40286687891.78304,25678834563.341766,3111738314.1168537,15820516.20191484,8790790.83926041,1049604.693531517,538993.83546608,962241.9944790966,81310.80448360281,213.0981664561999,314.26279887170455,26.198053405196973,20941.94548453449,9922.240728343326,1479.452947553784,80.10163968264762,29.856912212665197,4.779542659963793,0.2819113595944186,0.39631187617454944,0.03767226611857285,0.0010851999075606603,0.0011818645497922741,0.00011609839526564592,1984542579618.2124,940251276.8236763,5980369343337.265,2828038270.9679575,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
300,1.406241027244333e+18,0.0,0.0,0.0,605296426264001.4,0.0,0.0,5822651326297793.0,0.0,11212642646729.352,1.2170605539171456e+16,6059946913868258.0,659146737797.7241,6059691681238740.0,914379367317.0142,1210812807058665.8,1308405062545.0754,5804378294510479.0,6.605872094651726e+16,6059749513739455.0,3.03030303030303e+16,237954734308271.0,856546866600.4868,109013040889.50867,5939212665544.963,121393395061.0912,2525833351711921.5,6060606060606.061,0.0,0.0,6058106715322283.0,0.0,5400152868200.623,0.0,606060606060606.0,129708293564.874,3242881719.747984,969567261403405.1,121208878330401.4,6058657543412124.0,1948517193943.0642,260670614.8718198,57368714711604.44,101368855290186.62,19225386441899.777,16954110017.570414,30261159623.74807,5753991775.673205,1506071673.495731,11187578521.906914,1357380964.0981185,445141.2431738789,3330418.544172556,405462.4052781947,66394828.60773143,93804562.42813206,20012123.07538004,155462.11193694436,198182.70685653383,43724.149513159995,1823.7892755347887,9603.550436721462,1333.7956698028208,4.325847931732115,20.10783761434278,2.838476711107394,57260995519.88462,52747834165.57876,9718480025.4274,33825293.76797536,27073973.924011808,4920570.124320359,1668697.116728751,4334088.707348928,552612.4354299308,995.3929292681307,2133.115508055549,267.87842888315663,65967.8428759335,41382.3692483263,10082.32900167163,377.29139147546925,177.63285769677285,48.1577125352645,1.9380471491345694,3.8930264064489646,0.5643768700298627,0.011186721753985648,0.01720693566490846,0.002591637745787371,2995386323983.582,1828495656.9384494,9074559272411.61,5518467729.505324,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
400,1.4062342271077107e+18,0.0,0.0,0.0,605057099288163.0,0.0,0.0,5752723869784435.0,0.0,11213144450503.844,1.2170605037367682e+16,6059984920776555.0,621139829501.416,6059747080642431.0,858979963625.3943,1210461501317277.2,1659710803933.5842,5799884893842394.0,6.721717580625806e+16,6059474642323170.0,3.03030303030303e+16,307882190821630.56,1131418282884.3489,109033707856.46667,5912915030612.158,147691029993.8947,2525354357593036.5,6060606060606.061,0.0,0.0,6057865621994834.0,0.0,6605182837388.042,0.0,606060606060606.0,172555385573.37836,4314193775.893401,969524414311396.5,121207807018345.25,6058012529909542.0,2593530696524.3145,456558737.06238425,56342653420613.03,131936983734841.5,33486558495499.863,22091124879.59356,52429242934.48084,13352595657.095463,2465585982.9138103,24642038795.25841,4030230168.896477,966874.7823009217,9756474.559329942,1602972.670963217,114288598.1388337,211063072.68627003,60691064.07902816,354074.2732424941,587709.3147511324,175222.08615777927,5304.138678953669,37165.37867088896,6939.987893531454,16.70803974322724,103.2391336805876,19.585048799134555,72007798179.33105,85518649187.44678,21299978354.516033,56742236.37728758,58446593.246169016,14379780.280204209,3614091.1045956616,12176884.722899726,2083003.3454379211,2883.6841350405625,8018.150416907725,1349.3570442630066,145315.78263300937,108310.3156749132,38160.305651351926,1103.1858166757686,590.5326085426317,239.7907897964056,7.364013455737369,18.86071987487691,3.70558421404906,0.05657272055644796,0.10984927683337331,0.022537075088479942,4043227674020.435,2859824447.85295,12334935612386.818,8673247278.087738,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
500,1.406225630134635e+18,0.0,0.0,0.0,604825112647879.6,0.0,0.0,5687004532655888.0,0.0,11213625102833.5,1.2170604556715354e+16,6060020736202530.0,585324403525.4696,6059799123603751.0,806937002305.1359,1210151371718016.0,1969840403194.6846,5795449127021017.0,6.836077193989426e+16,6059204953641984.0,3.03030303030303e+16,373601527950176.1,1401106964069.7368,109054360986.7029,5891568059602.522,169038001003.53055,2524875865623354.5,6060606060606.061,0.0,0.0,6057864269356291.0,0.0,7569402710915.128,0.0,606060606060606.0,215195283786.20367,5380363696.35398,969481774413183.6,121206740848424.8,6057369934353482.0,3236126252582.7417,702872502.9517964,55341787816404.875,161018682808473.97,51268868973619.07,26989396611.26106,79851069186.93668,25534257337.154606,3555287569.6617575,44782424299.147766,9252047802.23706,1734209.920723553,22108726.60043141,4593765.903052632,172969189.87288845,391497159.61353207,142219673.99242258,664734.9329544276,1346984.6226219144,508672.96516551054,11935.89894943928,104262.25963808177,24533.454877781118,46.80063185652155,360.16140140864985,86.05706154077069,84754998349.35254,121833130580.83864,38458288551.889305,83443276.79697296,103906741.99701461,32448438.7959473,6444656.614423398,26436472.258484315,5687866.667332386,6440.665607660562,21822.40674813415,4614.687312252627,263415.01370687026,220214.5995809203,104738.88010265573,2487.0278476029166,1432.7141314271253,812.6300024449765,20.249829909114077,62.103587605242375,15.494375651227845,0.19397125548572408,0.4470380188213782,0.11701397602621433,5144588174244.735,3996239295.4404707,15826466659080.691,12195788372.393984,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
600,1.4062152981339187e+18,0.0,0.0,0.0,604600247229224.4,0.0,0.0,5625225872748510.0,0.0,11214104709413.098,1.2170604077108774e+16,6060054486468551.0,551574137505.8354,6059848013422769.0,758047183287.6299,1209879005611995.8,2242206509214.9595,5791072791399313.0,6.9489045967364584e+16,6058940328015880.0,3.03030303030303e+16,435380187857555.06,1665732590174.4194,109074998396.32544,5874238129086.377,186367931519.6761,2524397918951168.0,6060606060606.061,0.0,0.0,6058064591085430.0,0.0,8331077975746.137,0.0,606060606060606.0,257629068452.33722,6441418128.240242,969439340628517.5,121205679793992.9,6056729737538183.0,3876323067881.4385,997312732.9562333,54365248597584.37,188683168093591.06,72347574143229.27,31659161444.54638,112100192152.19418,43205682000.48417,4734820849.147372,72102009719.8,18057454581.737766,2757946.9036460733,42611743.3073176,10745005.682734359,241351704.9782834,642828517.8803576,283152648.9269581,1104626.8278370877,2623618.5483644903,1204486.8951796722,22852.12888525627,238753.74172917494,67943.9476030526,107.0523426242995,984.4422334193819,284.36237081592435,95707456828.07266,159967281420.77792,61433874348.39478,112961840.1229023,163416224.75875396,62183279.13085172,10169826.652987631,48781593.650326155,12670890.040498013,12212.125168975943,48445.417179328506,12357.98321640382,422284.99930691876,382332.49083976477,234720.63332304818,4758.441419163025,2855.643613442872,2160.7211182777482,45.41751386761824,160.28471932411088,48.72467959235407,0.5205188236236551,1.3695804600662675,0.43874041982680356,6314546071815.161,5224107291.778722,19608417001758.383,16062582264.080698,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
700,1.406203291037244e+18,0.0,0.0,0.0,604382289735627.0,0.0,0.0,5567142281708281.0,0.0,11214575748027.42,1.217060360607016e+16,6060086290684838.0,519769921219.8301,6059893941182771.0,712119423284.6809,1209641240405080.2,2479971716130.551,5786757411595792.0,7.060160482296001e+16,6058680655804941.0,3.03030303030303e+16,493463778897783.6,1925404801114.1472,109095618209.60956,5860167662051.195,200438398554.85846,2523920560480032.5,6060606060606.061,0.0,0.0,6058433943784851.0,0.0,8923019254554.838,0.0,606060606060606.0,299857813075.57465,7497383552.725677,969397111883894.2,121204623828568.42,6056091923776235.0,4514136829829.838,1337671348.986687,53412208388402.5,214996334377271.5,96509306593361.17,36110154414.98363,148777941269.76578,67189397512.0603,5972726023.06235,106825625418.54779,31518603412.94919,4039090.334669989,73478701.22698714,21853277.451901097,318448402.50235265,970515047.7395651,503839491.29391885,1687657.6088590387,4568427.945428631,2478363.132036138,39156.46495720461,475441.4803763718,159046.92382908124,213.02940534603545,2274.67017260979,772.0581980291408,105049477117.5738,198560393204.3573,90187383886.76584,144472028.87449938,236197010.4021617,106468102.40833981,14756790.364754016,80487258.29348871,24534374.377228834,20690.39111791107,93475.33689805365,27962.751273162834,622061.4250653693,596035.1704597403,457480.42924015503,8131.350473887131,4979.465789852225,4862.103869791413,88.54325512454744,349.8592042535295,125.91636008843842,1.1800082398437837,3.451545874089808,1.3144468743222457,7566821563965.291,6542952882.821493,23734684757510.82,20288903947.968628,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
800,1.4061896669597832e+18,0.0,0.0,0.0,604171034823985.5,0.0,0.0,5512526850455888.0,0.0,11215038631469.709,1.2170603143186718e+16,6060116261040834.0,489799565224.34,6059937086315887.0,668974290169.0172,1209435146255735.0,2686065865475.779,5782504262371468.0,7.169811985735593e+16,6058425834987233.0,3.03030303030303e+16,548079210150177.25,2180225618822.373,109116218409.5921,5848741963841.252,211864096764.80295,2523443836321522.5,6060606060606.061,0.0,0.0,6058944365949205.0,0.0,9373327902826.611,0.0,606060606060606.0,341882584424.3273,8548286285.269347,969355087112545.6,121203572925835.86,6055456479934929.0,5149580671134.507,1721827721.4845195,52481879285345.87,240020928909270.94,123551495023096.27,40351640402.63408,189511706606.62088,98229281242.95648,7244566665.36085,148976854898.18314,50708777422.30824,5571914.470189835,116833302.53144172,40131903.53273114,403358415.41476375,1378131697.4913108,825838737.1687114,2424884.5082543143,7329686.262555002,4601807.193592144,61885.66259359533,855000.8539070847,329278.6333569858,382.9758444608203,4649.042210743046,1815.9414274379542,112946992581.7447,236554677372.69348,124467464476.76234,177270541.2555696,320965284.44040334,167870463.35023665,20143899.221816253,122393536.42942257,42880925.930201545,32292.605072050283,162808.30618957663,55942.02951170259,861426.8704861132,859592.2005590433,805227.4969384313,12793.036692144022,7885.145522415583,9685.904019694666,155.8390922427989,675.7612127606774,281.9287612475479,2.365056260281756,7.5431659394066095,3.3428882525710746,8913857491764.969,7959153626.124108,28254120785147.043,24909559720.67127,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
900,1.406174482271716e+18,0.0,0.0,0.0,603966286032093.6,0.0,0.0,5461168941544951.0,0.0,11215493029302.82,1.2170602688788884e+16,6060144503286170.0,461557319888.68567,6059977617423780.0,628443182276.1466,1209258009824099.8,2863202297110.901,5778314389833800.0,7.27783213709735e+16,6058175769358951.0,3.03030303030303e+16,599437119061113.8,2430291247104.3667,109136796765.28722,5839462280073.378,221143780532.6772,2522967797469973.5,6060606060606.061,0.0,0.0,6059571935807508.0,0.0,9706042108935.613,0.0,606060606060606.0,383704442499.1162,9594152474.780367,969313265254470.9,121202527059646.36,6054823394713366.0,5782665892698.233,2147745175.717198,51573510538642.02,263816714913105.62,153281817581369.22,44392442816.79177,233953336441.29123,136995741148.70424,8531446673.36472,198430562236.66013,76675753749.08229,7346208.800860478,174658957.83484763,68185759.48293935,495258736.9280629,1867695741.5028887,1271426725.4348874,3324881.0942258723,11048936.030242601,7900789.064889966,91987.40826999089,1422759.7852670155,620805.5793828622,637.316220354897,8653.985990745114,3828.5585204819404,119549509378.71335,273143812277.64578,163866822780.89044,210760917.079663,416115002.541518,248549083.7074961,26250769.794285763,174911606.90646863,69319553.8581641,47349.402159909,262293.95423923864,101888.17268941154,1137967.3452201704,1168981.7002779995,1311351.1784372146,18897.21176343519,11613.79333139686,17585.05488157051,253.7364506226642,1189.2479345075342,565.8761036163515,4.315495692700457,14.790312088147127,7.503254849738398,10366895779710.262,9482352446.326561,33210831063990.227,29967966144.163063,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
