miliseconds,IKK_neutral,IKK_active,IKK_inact,IKKactive_IkB,IkB,IKKactive_IkB_NFKB,IkB_NFKB,NFKB,NFKB_nuc,IkB_nuc,IkB_NFKB_nuc,IkB_mRNA,A20_mRNA,A20,cgen_mRNA,b_TrCP
0,199.9999999879149,2.4661203166987816e-26,2.7891798291419057e-25,1.179463485478141e-28,2.506629175882696,1.4386174394369676e-26,59.20956589146301,0.31550547924599004,2.295766776643951,3.43573095552415,0.0788763698117993,0.0028697084708513175,0.0028697084708513803,4.7828474514247326,0.0028697084708513335,0.0001
100,199.99999998792393,1.930950093366524e-26,2.7874833459082157e-25,1.5928387022332819e-28,2.5066291758827153,1.900399127208745e-26,59.20956589146303,0.31550547924598915,2.2957667766438723,3.4357309555242805,0.07887636981179878,0.0028697084708512706,0.002869708470851203,4.78284745142472,0.002869708470851265,0.0001
200,199.9999999879294,1.583834586296992e-26,2.7868754883899327e-25,1.8945175196380305e-28,2.5066291758827273,2.254377037135908e-26,59.20956589146304,0.31550547924598826,2.2957667766437897,3.4357309555243676,0.07887636981179612,0.0028697084708510967,0.002869708470851082,4.782847451424733,0.0028697084708510564,0.0001
300,199.99999998794624,1.2388137169968663e-26,2.786291160891766e-25,2.147020433097731e-28,2.506629175882738,2.564754036642215e-26,59.209565891463065,0.31550547924598765,2.2957667766436898,3.435730955524444,0.07887636981179633,0.00286970847085108,0.002869708470851058,4.782847451424692,0.002869708470851025,0.0001
400,199.999999987943,9.436244143160328e-27,2.783183881847228e-25,2.383260939396974e-28,2.5066291758827526,2.871234286122845e-26,59.20956589146308,0.3155054792459869,2.2957667766435543,3.435730955524491,0.07887636981179394,0.002869708470850868,0.002869708470850931,4.78284745142469,0.002869708470850956,0.0001
500,199.99999998795408,9.437823019734924e-27,2.7814990570585133e-25,2.4274825660195206e-28,2.5066291758827615,2.8719310090667333e-26,59.20956589146308,0.3155054792459864,2.2957667766435614,3.43573095552455,0.07887636981179312,0.0028697084708508586,0.002869708470850799,4.78284745142468,0.002869708470850801,0.0001
600,199.9999999879623,8.895821334775512e-27,2.781594092721047e-25,2.4368094286024985e-28,2.5066291758827655,2.9202587664169855e-26,59.2095658914631,0.31550547924598554,2.295766776643441,3.435730955524628,0.07887636981179245,0.002869708470850609,0.0028697084708506483,4.78284745142465,0.0028697084708506804,0.0001
700,199.99999998796972,8.557038190513742e-27,2.777479655333776e-25,2.4574111984701176e-28,2.5066291758827774,2.931977929706828e-26,59.20956589146312,0.3155054792459851,2.295766776643335,3.435730955524655,0.07887636981179019,0.0028697084708506405,0.0028697084708505034,4.782847451424628,0.0028697084708506145,0.0001
800,199.99999998798842,8.697130685357873e-27,2.775548521521744e-25,2.4876203699367823e-28,2.506629175882778,2.952389048304854e-26,59.20956589146313,0.3155054792459844,2.2957667766432297,3.435730955524735,0.07887636981178943,0.002869708470850428,0.0028697084708504033,4.782847451424624,0.002869708470850435,0.0001
900,199.99999998798998,8.136363759185683e-27,2.773387889305416e-25,2.4865634920954704e-28,2.50662917588279,2.998581463563488e-26,59.20956589146316,0.3155054792459843,2.2957667766431964,3.4357309555248166,0.07887636981178904,0.0028697084708504076,0.002869708470850328,4.782847451424594,0.002869708470850313,0.0001
