miliseconds,IKK_neutral,IKK_active,IKK_inact,IKKactive_IkB,IkB,IKKactive_IkB_NFKB,IkB_NFKB,NFKB,NFKB_nuc,IkB_nuc,IkB_NFKB_nuc,IkB_mRNA,A20_mRNA,A20,cgen_mRNA,b_TrCP
0,199.99999998790895,2.4350983887647288e-26,2.7882518454568075e-25,1.1657489292819932e-28,2.5066291758826993,1.417539892363022e-26,59.209565891462994,0.31550547924599026,2.295766776643962,3.4357309555241686,0.07887636981179845,0.0028697084708513405,0.0028697084708513487,4.7828474514247405,0.0028697084708513678,0.0001
100,199.99999998792666,1.9439263538526745e-26,2.7886158352135245e-25,1.6004524768049192e-28,2.506629175882713,1.917065636684652e-26,59.209565891463015,0.3155054792459894,2.295766776643899,3.4357309555242264,0.07887636981179846,0.0028697084708512424,0.002869708470851181,4.7828474514247405,0.002869708470851191,0.0001
200,199.999999987929,1.6082734582848122e-26,2.7879802828311015e-25,1.8770434800492214e-28,2.5066291758827237,2.2439030787306712e-26,59.20956589146303,0.31550547924598843,2.295766776643772,3.435730955524359,0.07887636981179733,0.0028697084708511384,0.0028697084708511882,4.782847451424705,0.0028697084708511683,0.0001
300,199.99999998794513,1.2094743908097287e-26,2.784667840121216e-25,2.149856671290225e-28,2.5066291758827415,2.5966044847545603e-26,59.20956589146306,0.3155054792459877,2.2957667766437178,3.435730955524371,0.07887636981179551,0.0028697084708509944,0.0028697084708509497,4.7828474514246855,0.0028697084708510377,0.0001
400,199.9999999879448,9.407170762176558e-27,2.7851846015129245e-25,2.3986494816425094e-28,2.5066291758827557,2.836213725729746e-26,59.20956589146307,0.31550547924598693,2.2957667766436254,3.435730955524507,0.07887636981179444,0.002869708470850837,0.002869708470850901,4.782847451424691,0.002869708470850905,0.0001
500,199.99999998795298,9.043795094534604e-27,2.7834735159958744e-25,2.406948891608242e-28,2.5066291758827597,2.875096780225878e-26,59.20956589146308,0.31550547924598615,2.2957667766435517,3.435730955524578,0.07887636981179326,0.0028697084708507806,0.002869708470850781,4.78284745142466,0.0028697084708507754,0.0001
600,199.99999998796488,8.985885152488592e-27,2.7798382041419227e-25,2.4561991515704503e-28,2.5066291758827672,2.9131949494917187e-26,59.2095658914631,0.31550547924598565,2.2957667766434144,3.435730955524608,0.07887636981179152,0.0028697084708506656,0.0028697084708507133,4.782847451424656,0.0028697084708506587,0.0001
700,199.99999998797202,8.544369419443575e-27,2.7772443154321367e-25,2.4548236843574295e-28,2.5066291758827752,2.906477135279943e-26,59.20956589146313,0.31550547924598543,2.2957667766433505,3.435730955524679,0.0788763698117905,0.0028697084708505937,0.0028697084708505776,4.782847451424607,0.00286970847085058,0.0001
800,199.99999998798944,8.625099817215825e-27,2.7772692803985175e-25,2.4655806803569684e-28,2.5066291758827792,2.9316978276544853e-26,59.20956589146314,0.31550547924598477,2.2957667766433008,3.435730955524758,0.07887636981179007,0.0028697084708504033,0.0028697084708503772,4.782847451424614,0.002869708470850428,0.0001
900,199.9999999879878,8.076687507818932e-27,2.7732560679941503e-25,2.49709688369295e-28,2.50662917588279,2.982324305600012e-26,59.20956589146316,0.31550547924598427,2.295766776643198,3.4357309555248343,0.07887636981178822,0.002869708470850363,0.002869708470850379,4.782847451424584,0.0028697084708503677,0.0001
1000,199.99999998800348,8.039610060403476e-27,2.771062712302676e-25,2.5066021468930336e-28,2.5066291758827983,2.9969376220262723e-26,59.209565891463164,0.31550547924598354,2.29576677664315,3.4357309555248796,0.07887636981178707,0.002869708470850189,0.002869708470850173,4.782847451424542,0.0028697084708501656,0.0001
1100,199.99999998801445,7.715012116505398e-27,2.7712133782424114e-25,2.546308651932749e-28,2.5066291758828037,3.026309284837676e-26,59.20956589146318,0.31550547924598316,2.2957667766430414,3.4357309555249063,0.0788763698117854,0.0028697084708501955,0.00286970847085014,4.782847451424546,0.0028697084708501886,0.0001
1200,199.99999998802147,7.639939097548002e-27,2.7673012155736805e-25,2.5508036359203464e-28,2.5066291758828116,3.0693075942311185e-26,59.20956589146321,0.3155054792459825,2.295766776642958,3.4357309555249875,0.07887636981178535,0.0028697084708499358,0.002869708470850084,4.782847451424513,0.0028697084708499835,0.0001
