milliseconds,IKK_neutral,IKK_active,IKK_inact,IKKactive_IkB,IkB,IKKactive_IkB_NFKB,IkB_NFKB,NFKB,NFKB_nuc,IkB_nuc,IkB_NFKB_nuc,IkB_mRNA,A20_mRNA,A20,cgen_mRNA,b_TrCP
0,199.99999998791364,2.424957321098494e-26,2.790288236549205e-25,1.1592083306884677e-28,2.5066291758827015,1.4085993655163816e-26,59.209565891462994,0.3155054792459897,2.295766776643928,3.4357309555241557,0.07887636981179998,0.002869708470851374,0.0028697084708513196,4.7828474514247485,0.0028697084708513296,0.0001
100,199.9999999879235,1.921600555244517e-26,2.7874499137914275e-25,1.605432801828922e-28,2.506629175882714,1.898832873807627e-26,59.209565891463015,0.31550547924598915,2.2957667766438377,3.4357309555242437,0.07887636981179794,0.0028697084708511895,0.0028697084708512234,4.782847451424716,0.0028697084708512156,0.0001
200,199.99999998793467,1.571083678467885e-26,2.786987763169669e-25,1.8947812739212743e-28,2.5066291758827286,2.2673929516628135e-26,59.209565891463036,0.3155054792459886,2.2957667766437817,3.4357309555242996,0.07887636981179612,0.002869708470851096,0.002869708470851178,4.782847451424719,0.0028697084708511054,0.0001
300,199.9999999879458,1.2321232015501308e-26,2.7856365762705792e-25,2.156849785047094e-28,2.506629175882744,2.598584496897817e-26,59.20956589146305,0.3155054792459878,2.2957667766436924,3.4357309555244417,0.07887636981179522,0.0028697084708509644,0.0028697084708510603,4.782847451424699,0.002869708470851023,0.0001
400,199.99999998794763,9.729482715004159e-27,2.7837876924656904e-25,2.4090885759841653e-28,2.506629175882751,2.865674467977775e-26,59.20956589146307,0.3155054792459871,2.2957667766435503,3.4357309555244986,0.07887636981179415,0.0028697084708508304,0.0028697084708509124,4.7828474514246935,0.002869708470850865,0.0001
500,199.99999998795872,9.2582924018166e-27,2.780996042088987e-25,2.424607975876963e-28,2.506629175882759,2.8585732460112886e-26,59.20956589146309,0.31550547924598654,2.2957667766434984,3.435730955524531,0.0788763698117936,0.002869708470850718,0.002869708470850726,4.7828474514246535,0.0028697084708507545,0.0001
600,199.9999999879713,8.899504004298789e-27,2.7809092294595736e-25,2.42050925241512e-28,2.5066291758827703,2.884336898729736e-26,59.2095658914631,0.3155054792459858,2.2957667766434526,3.435730955524635,0.07887636981179129,0.0028697084708506934,0.002869708470850704,4.782847451424638,0.0028697084708507008,0.0001
700,199.99999998797654,8.664664532803326e-27,2.777286487173347e-25,2.457473271208464e-28,2.5066291758827757,2.905819503196633e-26,59.20956589146312,0.3155054792459853,2.295766776643353,3.435730955524676,0.07887636981179164,0.002869708470850549,0.0028697084708506327,4.782847451424622,0.002869708470850627,0.0001
800,199.99999998798427,8.286604350091926e-27,2.775514554653209e-25,2.4893402796133736e-28,2.506629175882778,2.93178871037479e-26,59.209565891463136,0.31550547924598477,2.2957667766433065,3.4357309555247775,0.07887636981178903,0.0028697084708505126,0.0028697084708505095,4.782847451424595,0.0028697084708504653,0.0001
900,199.9999999879889,8.092838400495867e-27,2.7746870145863553e-25,2.4867749095622437e-28,2.5066291758827917,2.973554618355157e-26,59.20956589146315,0.3155054792459841,2.2957667766431835,3.4357309555248374,0.07887636981178882,0.0028697084708502957,0.0028697084708503903,4.78284745142459,0.002869708470850315,0.0001
1000,199.99999998799598,8.172444752393609e-27,2.7714757575860193e-25,2.5392403653540565e-28,2.5066291758827965,3.000963434152129e-26,59.209565891463164,0.31550547924598343,2.2957667766431147,3.4357309555248987,0.07887636981178658,0.002869708470850254,0.0028697084708502246,4.78284745142455,0.0028697084708502857,0.0001
1100,199.99999998800482,7.625235987345456e-27,2.769493904633067e-25,2.529176706374097e-28,2.5066291758827988,3.030458754567886e-26,59.209565891463185,0.3155054792459832,2.295766776643009,3.435730955524942,0.07887636981178583,0.0028697084708501153,0.002869708470850175,4.782847451424535,0.0028697084708500555,0.0001
1200,199.99999998802326,7.299530137856282e-27,2.7687827216533012e-25,2.573507185082811e-28,2.506629175882813,3.042942547187019e-26,59.20956589146319,0.3155054792459823,2.295766776642994,3.4357309555250124,0.07887636981178528,0.002869708470849999,0.0028697084708500637,4.782847451424509,0.0028697084708500476,0.0001
1300,199.99999998803108,7.371070968162495e-27,2.767707622178553e-25,2.600212720669509e-28,2.506629175882818,3.070898336902474e-26,59.209565891463214,0.3155054792459816,2.295766776642883,3.4357309555250892,0.07887636981178406,0.0028697084708498703,0.0028697084708499423,4.782847451424485,0.002869708470849849,0.0001
1400,199.9999999880355,6.991757351400296e-27,2.7637445138032406e-25,2.60646564165284e-28,2.5066291758828254,3.088300778927319e-26,59.20956589146324,0.3155054792459813,2.2957667766428282,3.435730955525143,0.0788763698117822,0.002869708470849797,0.002869708470849858,4.782847451424478,0.002869708470849762,0.0001
1500,199.9999999880507,6.503131016201283e-27,2.761762842782356e-25,2.6201631872286293e-28,2.506629175882831,3.115281643360012e-26,59.20956589146324,0.31550547924598055,2.2957667766427026,3.435730955525197,0.07887636981178191,0.002869708470849644,0.002869708470849637,4.7828474514244705,0.0028697084708496994,0.0001
1600,199.99999998805606,6.354642556172526e-27,2.7601174584170423e-25,2.6306923099590277e-28,2.5066291758828334,3.1512007388380694e-26,59.209565891463264,0.3155054792459805,2.295766776642627,3.4357309555252704,0.0788763698117797,0.0028697084708496426,0.0028697084708495953,4.782847451424439,0.0028697084708496417,0.0001
1700,199.9999999880667,6.246705825518269e-27,2.759784144640278e-25,2.6853078195850486e-28,2.506629175882842,3.155568473686224e-26,59.20956589146329,0.3155054792459796,2.295766776642625,3.4357309555253353,0.07887636981177969,0.0028697084708495086,0.0028697084708494297,4.782847451424393,0.0028697084708494435,0.0001
1800,199.99999998806933,5.74313708431403e-27,2.7570151613660144e-25,2.6783025802365867e-28,2.506629175882853,3.223942677178487e-26,59.20956589146329,0.3155054792459789,2.295766776642503,3.4357309555253877,0.07887636981177824,0.002869708470849351,0.00286970847084933,4.782847451424394,0.0028697084708493525,0.0001
1900,199.99999998807567,5.515286993034587e-27,2.753882480882922e-25,2.725781279151434e-28,2.506629175882862,3.223848914493194e-26,59.209565891463306,0.3155054792459783,2.295766776642431,3.4357309555254347,0.078876369811776,0.0028697084708492943,0.0028697084708492714,4.78284745142436,0.0028697084708492263,0.0001
2000,199.99999998808815,5.301490284674037e-27,2.7534690060467086e-25,2.7376111425755262e-28,2.5066291758828676,3.2427274722936696e-26,59.20956589146334,0.3155054792459778,2.295766776642347,3.435730955525489,0.07887636981177604,0.002869708470849091,0.002869708470849127,4.782847451424336,0.0028697084708490714,0.0001
2100,199.999999988104,5.2951646195741e-27,2.7513518022557953e-25,2.7677101404333896e-28,2.5066291758828725,3.2571967016346316e-26,59.209565891463356,0.3155054792459772,2.2957667766422394,3.4357309555255475,0.07887636981177416,0.002869708470848987,0.002869708470849009,4.782847451424316,0.0028697084708489734,0.0001
2200,199.99999998811066,4.690326307660528e-27,2.747346398223786e-25,2.7816018851334484e-28,2.506629175882876,3.323593116457148e-26,59.20956589146337,0.3155054792459767,2.295766776642229,3.4357309555256412,0.0788763698117735,0.002869708470848889,0.002869708470848896,4.7828474514243045,0.0028697084708488906,0.0001
2300,199.99999998812135,4.481332736115221e-27,2.7453084079919093e-25,2.7888529444247144e-28,2.5066291758828894,3.316392903401503e-26,59.209565891463384,0.3155054792459766,2.2957667766421355,3.4357309555256803,0.07887636981177135,0.0028697084708487605,0.0028697084708488437,4.7828474514242645,0.0028697084708487587,0.0001
2400,199.99999998813024,4.441432173837484e-27,2.7439106797560586e-25,2.8194320814037137e-28,2.5066291758828902,3.36540663956721e-26,59.2095658914634,0.31550547924597583,2.2957667766420107,3.435730955525762,0.07887636981177079,0.0028697084708487488,0.002869708470848631,4.782847451424273,0.0028697084708486694,0.0001
2500,199.9999999881398,4.3336944522657084e-27,2.7426468924861665e-25,2.844362781156512e-28,2.5066291758829005,3.4004999402383003e-26,59.20956589146341,0.315505479245975,2.2957667766419987,3.4357309555258224,0.07887636981177021,0.002869708470848595,0.002869708470848596,4.7828474514242325,0.002869708470848521,0.0001
2600,199.99999998814587,3.744914965864088e-27,2.742120946006276e-25,2.8581257566318866e-28,2.506629175882904,3.4197972682912985e-26,59.209565891463434,0.31550547924597444,2.2957667766419267,3.4357309555258704,0.0788763698117679,0.0028697084708484166,0.002869708470848447,4.782847451424217,0.0028697084708485046,0.0001
2700,199.9999999881542,3.768689484482111e-27,2.739438724922486e-25,2.8748060579328656e-28,2.5066291758829164,3.43094598445322e-26,59.209565891463456,0.3155054792459744,2.2957667766418473,3.43573095552598,0.07887636981176706,0.0028697084708482964,0.002869708470848288,4.782847451424192,0.002869708470848334,0.0001
2800,199.99999998815994,3.248279803831859e-27,2.7376219556600873e-25,2.9062178322269212e-28,2.5066291758829213,3.4543956582186e-26,59.209565891463456,0.3155054792459736,2.2957667766417784,3.4357309555260405,0.07887636981176523,0.002869708470848291,0.0028697084708482258,4.782847451424182,0.002869708470848269,0.0001
2900,199.99999998817324,2.876128992431237e-27,2.7345379445626105e-25,2.9119341842512993e-28,2.5066291758829276,3.4563009012515677e-26,59.20956589146347,0.3155054792459731,2.295766776641687,3.4357309555260778,0.0788763698117656,0.0028697084708481802,0.002869708470848121,4.78284745142413,0.0028697084708480874,0.0001
3000,199.99999998817867,2.641737972315639e-27,2.7321382931461645e-25,2.9291308623125898e-28,2.506629175882936,3.4936154851147944e-26,59.2095658914635,0.31550547924597233,2.295766776641555,3.43573095552617,0.07887636981176432,0.002869708470847997,0.002869708470847963,4.782847451424128,0.0028697084708480865,0.0001
3100,199.9999999881911,2.391139241705581e-27,2.7322121812700515e-25,2.979722595687882e-28,2.5066291758829453,3.538604034365148e-26,59.20956589146352,0.3155054792459717,2.2957667766415044,3.435730955526217,0.0788763698117625,0.0028697084708478875,0.0028697084708479187,4.782847451424094,0.0028697084708479313,0.0001
3200,199.99999998819317,2.4998249619774988e-27,2.728375704112289e-25,2.971717446898339e-28,2.5066291758829466,3.529455746609077e-26,59.20956589146353,0.31550547924597133,2.295766776641423,3.435730955526277,0.07887636981176191,0.00286970847084781,0.0028697084708478155,4.782847451424082,0.0028697084708477717,0.0001
3300,199.99999998820266,1.935305997791139e-27,2.72618829371693e-25,3.012141996728666e-28,2.5066291758829524,3.5994383180099646e-26,59.20956589146355,0.3155054792459706,2.2957667766413135,3.4357309555263775,0.07887636981175988,0.002869708470847736,0.0028697084708477305,4.782847451424071,0.0028697084708476654,0.0001
3400,199.99999998820812,1.9743218169300606e-27,2.7250165715347084e-25,3.03874870186187e-28,2.5066291758829617,3.6106298163072025e-26,59.20956589146357,0.31550547924597006,2.2957667766412437,3.4357309555264117,0.07887636981175845,0.002869708470847623,0.0028697084708476546,4.782847451424048,0.0028697084708475947,0.0001
3500,199.99999998822074,1.694852545582519e-27,2.7229102072013952e-25,3.0397431026063913e-28,2.506629175882973,3.631033254598712e-26,59.20956589146358,0.3155054792459697,2.2957667766411674,3.435730955526513,0.07887636981175832,0.002869708470847475,0.0028697084708475297,4.782847451424003,0.0028697084708475206,0.0001
3600,199.99999998823333,1.3572881533144948e-27,2.7218253631304573e-25,3.079504611276055e-28,2.506629175882977,3.64070954986966e-26,59.2095658914636,0.315505479245969,2.295766776641101,3.4357309555265454,0.07887636981175672,0.002869708470847319,0.002869708470847335,4.782847451423994,0.002869708470847386,0.0001
3700,199.99999998824327,9.666528439400928e-28,2.7193841019279483e-25,3.074704341500925e-28,2.5066291758829817,3.672306960377454e-26,59.20956589146361,0.3155054792459687,2.295766776640993,3.4357309555265996,0.07887636981175597,0.0028697084708472886,0.002869708470847187,4.782847451423968,0.002869708470847244,0.0001
3800,199.99999998825461,6.805524410390831e-28,2.716126018910021e-25,3.117445199986802e-28,2.5066291758829897,3.678848269296624e-26,59.20956589146363,0.31550547924596795,2.29576677664094,3.435730955526693,0.07887636981175478,0.002869708470847173,0.0028697084708471077,4.782847451423964,0.0028697084708471142,0.0001
3900,199.99999998825177,9.20575011703956e-28,2.716667738838486e-25,3.0964159409812835e-28,2.506629175882975,3.68994225596924e-26,59.20956589146363,0.31550547924596856,2.2957667766409044,3.4357309555266453,0.0788763698117544,0.0028697084708470162,0.002869708470847145,4.782847451423897,0.002869708470847065,0.0001
4000,199.99999998826593,5.754993462378592e-28,2.7127026128461755e-25,3.104136575577692e-28,2.506629175882953,3.72830600012019e-26,59.20956589146362,0.3155054792459695,2.2957667766409133,3.435730955526635,0.07887636981175362,0.002869708470846943,0.0028697084708470483,4.782847451423854,0.002869708470846975,0.0001
4100,199.99999998827215,7.838323226859434e-28,2.710970456321476e-25,3.1232616016969455e-28,2.5066291758829293,3.722546893132e-26,59.209565891463626,0.3155054792459703,2.2957667766408956,3.4357309555266444,0.07887636981175233,0.002869708470846988,0.002869708470846982,4.7828474514238035,0.002869708470847021,0.0001
4200,199.99999998828133,6.16245086480117e-28,2.7105849897596315e-25,3.1018330494223396e-28,2.5066291758829062,3.687931905836443e-26,59.209565891463626,0.3155054792459712,2.2957667766409253,3.4357309555266116,0.07887636981175124,0.0028697084708468983,0.002869708470846835,4.782847451423757,0.0028697084708468605,0.0001
4300,199.99999998828045,6.040567948393045e-28,2.7077501534903727e-25,3.1249766259063992e-28,2.506629175882892,3.725579476982846e-26,59.20956589146362,0.3155054792459714,2.2957667766409617,3.4357309555265836,0.07887636981175179,0.002869708470846832,0.0028697084708468523,4.7828474514237,0.0028697084708468367,0.0001
4400,199.99999998828665,9.061882386790517e-28,2.7069752097314613e-25,3.127274048407339e-28,2.506629175882863,3.698003497021344e-26,59.209565891463626,0.3155054792459726,2.2957667766409178,3.4357309555265587,0.07887636981175054,0.0028697084708467872,0.002869708470846781,4.782847451423632,0.002869708470846689,0.0001
4500,199.99999998829375,7.828965749881715e-28,2.7061832642593735e-25,3.097463876109885e-28,2.506629175882844,3.725022930373057e-26,59.20956589146363,0.3155054792459727,2.295766776640965,3.435730955526603,0.07887636981175064,0.002869708470846758,0.002869708470846744,4.782847451423566,0.0028697084708467283,0.0001
4600,199.99999998830208,6.796512154973571e-28,2.7052464213093284e-25,3.126266399269385e-28,2.5066291758828267,3.7235841376302214e-26,59.20956589146363,0.3155054792459738,2.2957667766409307,3.4357309555265774,0.07887636981175009,0.0028697084708466454,0.0028697084708465995,4.782847451423535,0.002869708470846632,0.0001
4700,199.99999998831686,8.175993457010786e-28,2.7036780486331005e-25,3.116058280635138e-28,2.506629175882803,3.7163074026433263e-26,59.20956589146362,0.3155054792459748,2.2957667766409187,3.4357309555265676,0.07887636981174909,0.002869708470846649,0.002869708470846571,4.78284745142349,0.002869708470846549,0.0001
4800,199.9999999883133,5.9955006455180695e-28,2.6995586756629927e-25,3.127357317232281e-28,2.5066291758827814,3.694215516712749e-26,59.20956589146362,0.31550547924597516,2.2957667766409435,3.435730955526524,0.07887636981174888,0.0028697084708465556,0.002869708470846451,4.782847451423423,0.0028697084708465275,0.0001
4900,199.99999998832732,8.702855373288809e-28,2.6991738151138345e-25,3.099326406841045e-28,2.506629175882758,3.692557952195066e-26,59.20956589146363,0.3155054792459762,2.2957667766408663,3.43573095552654,0.07887636981174863,0.0028697084708463796,0.0028697084708464533,4.782847451423352,0.0028697084708464715,0.0001
5000,199.9999999883312,7.318899624539257e-28,2.697480348354035e-25,3.1166451587609864e-28,2.506629175882737,3.6849696240124725e-26,59.20956589146363,0.3155054792459765,2.2957667766408716,3.4357309555264965,0.0788763698117479,0.0028697084708464394,0.0028697084708463106,4.782847451423328,0.0028697084708463943,0.0001
