miliseconds,S,C,V_C
0,829558799.7594635,-5733.628565882749,33067302.81732856
100,828115524.3758836,19863.8178719251,32884504.429137807
200,826725141.8846978,29199.75156128145,32661231.2619262
300,825405580.1338408,44369.76241253439,32395931.37623901
400,824155330.4407958,59757.04168288379,31869746.25103372
500,822874963.2860258,66198.91266054142,31580044.7094516
600,821973366.4798994,81052.49782378919,31434579.08200387
700,820963521.1364552,89330.58461018837,31158013.285306416
800,819970668.315917,99009.82617161071,30840796.172514576
900,819143587.3773941,112108.3547438285,30535407.826551367
1000,817623461.35953,132999.96278332843,30302680.61893045
1100,817087256.0390031,145319.9391075887,30048178.201813947
1200,815228118.6936707,148069.0256970727,29931255.13393996
1300,814621893.0171354,156323.73833675752,29452726.936039705
1400,813857424.8646483,179822.27843899146,29079054.912283257
1500,812513582.8212501,191015.558993829,29087101.169614576
1600,812516319.4744407,197749.86670808672,28721020.846038017
1700,811215225.9324507,201860.78782116337,28558850.721916396
1800,810474585.8779204,225987.3151492828,28272365.564052623
1900,809200360.1212054,226446.68120955565,28000898.397097416
2000,808776694.9448572,242565.02181954865,27681752.865654662
2100,808358954.5468124,256885.64819891276,27482682.66594368
2200,807069184.2751006,256948.38531164103,27244401.914526306
2300,806567875.93123,265054.92875988834,27078560.619494937
2400,805806265.8590925,281105.99994422233,26794657.813274473
2500,805220869.0362352,292856.3966278035,26533786.074450232
2600,805081334.9172782,306769.1540131595,26088838.115760785
2700,804343075.8815403,308246.36382636416,26098500.231096584
2800,803771823.7558334,327083.0463639255,25813428.321790893
2900,802574452.8425502,326667.522673878,25591377.08458157
3000,802425850.332719,335476.47646337096,25212336.389813423
3100,801851716.354918,340787.4878139504,25128698.67922359
3200,800763513.5095357,355923.33185272984,24917284.982189514
3300,800693162.6605915,362388.31776752044,24693580.79383923
3400,800239960.9176482,372251.28878743196,24291026.177975334
3500,799458889.9149594,378292.3637298946,24267231.768631615
3600,799309745.9150162,393836.3458903612,24110189.482111156
3700,798805261.9204136,395803.212648399,23781655.930505946
3800,798590405.4657644,404585.00568089227,23583126.36317913
3900,797660583.0299175,421016.30982287973,23511041.979462843
4000,797618955.7710449,421689.1475358337,23159387.12162151
4100,797247248.3716321,428057.29643714416,23089895.64095778
4200,796499445.650838,437970.1336579795,22865518.398890033
4300,796237195.3725588,448660.0520028888,22459747.792981632
4400,796208306.4678847,460271.5846282738,22549497.339750797
4500,795329570.7309602,467306.3190063039,22162362.33897749
4600,795024191.3243043,468411.29576802807,21982862.99625729
4700,795149616.9008104,477686.97613592603,21687565.876824964
4800,794929669.265117,481798.4409695177,21754759.758571506
4900,793873994.8626499,495324.10123235174,21520125.524346974
5000,793734489.4080237,506056.0666642661,21143446.346793216
