milliseconds,S,C,V_C
0,829922050.4119949,1825.3809958508484,33230258.019970138
100,828792854.8258212,16232.242610127436,33001370.80528725
200,827506803.1921078,20426.639045358417,32739936.055253416
300,825592898.0250742,33155.30680042237,32136711.880335987
400,825073712.165243,56676.20496566523,32096068.343891636
500,823632368.021909,63069.015518175416,31876808.561169166
600,821888386.3788304,80496.60043380012,31575629.12078582
700,820686990.0961558,92034.91531531805,31215008.12377037
800,819561541.5816121,102509.04301491712,30993398.327355128
900,818773275.9471059,123028.84243886945,30776053.106860813
1000,817849639.6832527,126134.55903616671,30451264.6303712
1100,817080006.5110242,136579.47123658078,29977244.378320366
1200,815246184.6442839,147460.07710624114,29826111.16720487
1300,814745871.1788796,167348.89221973185,29609899.091157507
1400,813693749.8075618,175702.50202867866,29158974.34165534
1500,812493460.2367485,187217.58574738447,28830006.828908633
1600,811768113.4024242,192619.58374274234,28566372.840729795
1700,811571886.2900848,205766.5925335275,28520852.738045737
1800,809880841.4028045,217669.63351528902,28292158.44599391
1900,809693519.349782,226049.7595138233,27884778.99567283
2000,808634966.5492,239457.5789881553,27806404.789310705
2100,808069333.848957,249390.8625205747,27630401.629727
2200,807091552.0167758,262042.32556065495,27303044.746697936
2300,806835301.9613581,269566.539300037,26843861.416669436
2400,805678345.5049123,279846.3359455233,26726298.36281562
2500,805250733.9804235,296850.27687960333,26660339.74058482
2600,804465874.0477005,294454.3057281721,26136340.15540351
2700,803930981.9419233,307509.68188039924,26207434.28845797
2800,803441954.5754204,326736.5563170548,25960552.566822942
2900,802934891.3658838,323595.64591909613,25636692.013214096
3000,801884477.031918,331336.8078796754,25432726.27898304
3100,801600611.8955574,341475.20144630654,24993267.537380487
3200,801698270.1849272,353125.8684049605,24792339.144702945
3300,800649793.8827144,365802.02540662285,24595099.288172677
3400,799963944.826117,368671.38447837613,24566470.2049275
3500,799393876.7345936,388850.05343600345,24261929.083365675
3600,799703543.8855238,397589.42892640736,23956931.24604518
3700,799011324.7717743,397912.7752798499,23745418.91847869
3800,798507681.4803226,411693.16343837616,23513071.997667525
3900,797872553.5774885,412746.22242806084,23471926.063964967
4000,797407175.8002642,425845.8513576699,23148445.97481652
4100,797320815.1538907,429369.2274762407,22957392.67517323
4200,797040881.1743731,442297.4196422379,22631378.480990335
4300,796823010.9427379,442773.03357125155,22599519.85978137
4400,795764815.932129,457983.4033567456,22429201.359038867
4500,796097545.2426553,459231.78579764575,22189070.29992236
4600,795732513.4267379,468759.7246010587,21969496.8322336
4700,794837860.9960858,477911.0862616924,21678515.78818424
4800,795153857.7842109,484841.6511793927,21672688.42977312
4900,793820444.6875083,493647.61986291304,21571127.54739426
5000,793745202.1753435,501040.28336735844,21336500.211652044
