milliseconds,S,C,V_C
0,829703881.9672258,6054.02926838435,33193964.51914001
100,828276055.9925721,13371.964570887581,32929927.875890497
200,826875005.0833045,28626.948876858376,32434804.06346615
300,825878313.8347304,39028.743073169804,32206657.081349913
400,824947823.0427387,51349.21467827927,31881723.75831658
500,823749068.4121221,63705.44501574074,31658646.53239117
600,822461083.393686,84417.39296635322,31342481.764741533
700,820991864.1745393,94121.38968760689,31129380.861551486
800,819423128.4512824,106586.05566374818,30949391.810366824
900,818342820.7101343,122205.19500170468,30675371.73746647
1000,817354770.3431929,130432.79452156005,30227034.0286943
1100,816217744.3891171,138625.96068538618,29897869.8368739
1200,815727349.4993,146001.32006897515,29733590.791027136
1300,814419753.3001084,164913.90064777722,29394958.921249617
1400,813416099.5926024,180788.71571370322,29354031.493450552
1500,813132418.6023871,180780.59732044855,29044801.51334726
1600,812161793.920157,192663.17142072116,28742952.2181541
1700,811363319.6588722,207441.63007931336,28408188.568977028
1800,810444638.7005941,226653.0617924557,28365923.919599876
1900,809297240.0690122,225595.55273809115,27950235.607434176
2000,808403852.6040907,235660.2275206775,27692158.69235499
2100,807623989.477012,257288.87648276292,27600328.0043097
2200,807702336.7181307,261114.62236196196,27068004.80901519
2300,806650084.432879,268063.4935963244,26986450.925101813
2400,805788835.8548117,275405.0635028107,26744251.453623023
2500,805797692.157518,294157.92455633107,26589491.192624018
2600,804428261.4757993,301195.2518473485,26364398.637238026
2700,803811089.8379506,310518.6393497242,26090133.591616776
2800,803317654.9516597,319689.1098309346,25908975.437800243
2900,803163295.3301142,332190.8332123387,25704258.59937655
3000,802005865.6501232,335296.9210058161,25427585.348687693
3100,801900356.5540184,351291.67115170846,25185072.884400573
3200,801730656.2793776,355164.0759131701,24789850.720126886
3300,800285187.2299497,362655.1956048761,24697642.887712557
3400,800373612.9939779,370482.226031027,24536055.81349157
3500,799931405.7000263,382300.67834632314,24183974.359200783
3600,799375839.2379587,391636.80672913225,24106001.710093103
3700,798980462.1351253,397835.7413919977,23714077.70026157
3800,798596023.4576828,406161.8100524478,23622644.65598178
3900,797615120.9064049,412948.2203128309,23303334.22834558
4000,797363526.4377214,426191.97654466133,23278093.0309719
4100,797488395.6748803,438808.17210606136,23026938.404956453
4200,797255376.7916429,447597.0670977562,22942392.446783673
4300,796603113.1200747,442196.20362078917,22436645.189427342
4400,795821231.606434,462022.5840465753,22383443.241851743
4500,795287808.2593006,457346.70956044295,22320865.05688183
4600,795062256.186305,473081.4497014245,22136147.384824872
4700,795222255.3135257,473924.3976244951,21961780.17220789
4800,794229763.1721752,489178.6072937063,21666358.96508936
4900,794239233.0542414,493332.88319262856,21306693.97061608
5000,793646262.828445,500415.3839430642,21069309.398434084
