miliseconds,S,C,V_C
0,829553666.4455372,1468.875084243627,33354760.370411746
100,828729324.4007667,9308.582879272719,33060541.360949945
200,827291902.7173824,31021.46579570922,32581046.14765088
300,825428341.6107397,35374.32842212951,32194298.67830814
400,824628069.7652369,59752.743596176246,32137772.085808817
500,823772233.0106934,65118.45849798953,31752852.28112188
600,822359699.1026461,73185.58319029931,31413114.283335313
700,821020617.687426,98146.71479808429,31091968.43180858
800,820131816.1900759,110315.09063494665,31048675.528380256
900,818910084.2171623,114915.9486138644,30429523.250511993
1000,817301631.190985,128639.0621207679,30338847.538869414
1100,816849264.876594,143900.49644168187,30131250.67239129
1200,816196837.3732966,144998.35268478905,29927745.640199702
1300,814667945.3616649,167133.7265386422,29471201.984715078
1400,814117969.7377851,180004.0768670633,29321497.967529677
1500,812759021.954943,186978.58508205903,29082657.50097644
1600,812197471.293962,194519.21653745245,28778765.76421376
1700,811175624.6929948,212705.4156086589,28401262.491134435
1800,809913115.4497107,226632.70445570996,28226979.05726308
1900,809175371.45394,231230.12055165824,27916754.5699829
2000,808985130.8841294,234324.3147653741,27674363.395293657
2100,807571739.3762,249100.11773707296,27595940.334749848
2200,807037002.1636659,256694.5293945022,27346976.59264952
2300,806695401.6791133,269717.18247356795,27045407.44379478
2400,806342482.9941204,277683.3005637343,26610036.75157036
2500,805458722.4741637,297335.3177120612,26349005.5865155
2600,804175539.1859994,298946.6934363202,26190673.364951294
2700,803931736.8668922,311394.2434050036,26106920.495245714
2800,803473752.0552515,327104.4567827707,25673544.565655816
2900,803264443.0360264,331795.0058643698,25670473.818253923
3000,802609041.1726035,342711.6322088978,25308101.34683873
3100,801608821.9099137,350982.8267023662,25212932.843311545
3200,801376948.5473964,357399.93446016236,24914966.120723505
3300,800726299.5254303,365840.02777360886,24622602.452746607
3400,800699590.7561471,376956.3358281251,24386879.43816559
3500,800133524.5903453,384837.59278523346,24189875.855913296
3600,798923525.9604081,393438.0030932942,23847272.707464468
3700,798514505.2051189,407104.43203712755,23781941.164548274
3800,798246732.631155,407757.23506745644,23766993.253152564
3900,798211592.0956978,422352.0062349255,23513864.26356319
4000,797024112.8058543,425601.9154091368,23191963.849664647
4100,796776425.7020211,438613.7324530626,23052267.820411943
4200,796866309.0218618,440904.4101076036,22878511.48405663
4300,796345820.2807767,454112.85643192264,22487617.465303127
4400,796059540.332969,451499.4331656666,22415015.108970653
4500,796029057.0427983,470584.04300936556,22281069.549999908
4600,795718502.6946286,473041.6041495418,21982627.568752512
4700,794856099.9655569,485620.56086417916,21804143.907964822
4800,794583419.8229756,485053.65904760687,21644917.730880253
4900,794100572.8581034,498512.7641394646,21473639.352455135
5000,793883478.6816405,500544.08057763375,21385829.81213136
