miliseconds,S,C,V_C
0,829589853.8111115,-5609.6410196459665,33372187.214852277
100,828095604.4170403,20531.43754316585,33041136.741271097
200,826878063.7079778,23058.36442550246,32582871.488236908
300,825528892.005471,33269.47332825494,32397188.424523007
400,825050880.6005212,46625.81166171191,31853904.862163585
500,823733033.0435724,73424.5103574957,31817287.632425282
600,822023378.6907512,72161.32848906536,31415832.789633777
700,821410212.9468751,94933.36030882424,31103074.063746538
800,819566731.4964262,111369.58731357372,30851926.785688058
900,818659321.9203299,112767.11314605088,30686978.1148263
1000,817254964.9607097,132856.65455950928,30311513.047321822
1100,816685543.9388853,133684.9674998916,29959448.661097944
1200,816028420.9418045,159256.12036667627,29739231.485160332
1300,814923309.4714437,163253.39887965925,29575377.150121234
1400,813765566.3384783,179919.5577196432,29193839.00359392
1500,812583506.1120145,185841.3910306701,28890388.226238377
1600,811788719.1370847,204607.60595094803,28656334.854824677
1700,811270654.8990775,212786.44377467618,28583223.412556514
1800,810377271.6991706,213907.68256865846,28125529.526314475
1900,810057548.2833027,228135.62597015488,28078653.18770061
2000,808356850.5293343,243622.26166373328,27763451.948237363
2100,808134634.3815467,255211.82281489088,27573430.311858147
2200,807561960.2950516,257736.0392736275,27258647.423117634
2300,806822985.5937665,276896.79368123773,26887312.013274252
2400,806209182.2390422,286577.42337923637,26903381.61064692
2500,805531673.636183,289692.0602353047,26376714.07005459
2600,805062971.2493774,304122.90325914,26238990.994112067
2700,803728087.3329616,303727.85564319947,26200510.72967792
2800,803706851.538077,318234.3699196044,25739250.145907763
2900,802918025.1295187,322134.67033779057,25555823.452637393
3000,801941562.7753983,345578.7340236171,25381616.849932432
3100,801283664.3116895,341252.4870228975,24990312.703059282
3200,801469607.6670005,355261.0954405166,24764817.096836865
3300,801050812.5511861,361616.4029767309,24707968.308357876
3400,800710240.0741758,375870.8751257385,24460444.77820389
3500,799301037.2193353,387642.6724969884,24130373.533891257
3600,799663411.5910918,389200.6840375445,24057150.08921446
3700,798408333.034613,406611.10098834813,23828355.16145751
3800,798328863.4489613,411117.579751188,23702646.78315704
3900,798312730.9024419,421221.60907232773,23381226.587714955
4000,797275046.600261,421732.6968197525,23184252.3900445
4100,797540700.8619685,431926.3299249928,23148103.624252383
4200,796943072.7344455,439861.31172743195,22806366.537354723
4300,796473284.134823,449569.1578082959,22561042.463646412
4400,796519532.6228539,451340.0021650395,22261146.46012589
4500,795846019.2900953,463339.0601171371,22074313.759891357
4600,795066322.8986542,473055.9606659667,22103693.56661433
4700,795425420.2715195,479670.1383142087,21633927.254092526
4800,794126448.2695616,486869.26923596376,21667710.43020882
4900,794799015.6317044,491000.000858641,21541664.62870066
5000,794203377.3624711,500722.6719735523,21143274.364005562
