milliseconds,Cyclin,Active_Cdc2_kinase,Active_APC
0,0.01,0.01,0.01
100,0.015891230805623394,0.00013045140869871028,2.669834842812921e-05
200,0.021804386540952885,0.0001813795350073601,2.4852833848257246e-06
300,0.02769046995690386,0.00023333368985270093,3.195589065381165e-06
400,0.033549521249314075,0.0002863437382172712,3.943706949093112e-06
500,0.03938166401144395,0.0003404415492162749,4.707300342849859e-06
600,0.04518702132485431,0.00039566029357304976,5.486820568998781e-06
700,0.05096571569322763,0.00045203445217882425,6.282743907459472e-06
800,0.056717869076336844,0.0005095998804145757,7.095594180803542e-06
900,0.062443602878305936,0.0005683942017557414,7.925908586196642e-06
1000,0.06814303791380465,0.0006284565147202196,8.774245541152453e-06
1100,0.07381629441369764,0.0006898272125018359,9.641183825127422e-06
1200,0.07946349204487058,0.000752548802206549,1.0527330481484363e-05
1300,0.08508474992644166,0.0008166659245384811,1.1433324192868931e-05
1400,0.09068018660873027,0.0008822246370677393,1.2359826711362563e-05
1500,0.09624992006136521,0.0009492727116260425,1.3307522675514084e-05
1600,0.10179406771612755,0.0010178609329936981,1.4277136779061885e-05
1700,0.10731274641253985,0.0010880429278695917,1.5269437626912897e-05
1800,0.11280607247512363,0.0011598732834093334,1.6285212821345444e-05
1900,0.118274161685449,0.001233407727806014,1.7325264283858586e-05
2000,0.12371712928644393,0.001308709228855895,1.8390482356686408e-05
2100,0.12913508996344586,0.0013858437932074206,1.9481809344122566e-05
2200,0.13452815777764215,0.0014648774687737196,2.0600218306143398e-05
2300,0.1398964462681466,0.0015458657971057221,2.1746521056535658e-05
2400,0.1452400684437834,0.001628900089953108,2.2921973425346422e-05
2500,0.15055913677465924,0.0017140484914464063,2.412758893191896e-05
2600,0.15585376318254246,0.001801393713723041,2.5364568977947744e-05
2700,0.1611240590468679,0.0018910190352738737,2.663407573766836e-05
2800,0.16637013520450417,0.0019830156771446492,2.793746793022934e-05
2900,0.17159210195163427,0.0020774716329731817,2.9275967934394786e-05
3000,0.1767900690425659,0.002174501290794218,3.065124113877098e-05
3100,0.18196414569270694,0.0022741721072816645,3.206433356246409e-05
3200,0.18711444057837937,0.002376665762773515,3.3517572829648134e-05
3300,0.19224106183178424,0.0024820080498620164,3.5011779702898194e-05
3400,0.19734411705484264,0.0025903719178829144,3.654924231330654e-05
3500,0.20242371330417513,0.0027018710837778833,3.813159520394796e-05
3600,0.2074799570993824,0.002816687278712157,3.976111458835938e-05
3700,0.2125129544184032,0.002934886302096913,4.1439488157543746e-05
3800,0.21752281070273025,0.0030566852743171545,4.3169303410532856e-05
3900,0.22250963085228628,0.0031822169487054136,4.4952582766913874e-05
4000,0.2274735192212521,0.0033116593578485626,4.679201185031484e-05
4100,0.23241457962074058,0.0034451949735771845,4.869017936381049e-05
4200,0.23733291525122888,0.003583018540134464,5.0649914541961125e-05
4300,0.242228628831295,0.003725333873779335,5.2674180378352667e-05
4400,0.24710182267553887,0.0038723621003295657,5.476616205159364e-05
4500,0.25195259838437833,0.004024336793660087,5.692927718001549e-05
4600,0.2567810570063101,0.004181505799809105,5.916712785475522e-05
4700,0.2615872990534489,0.004344136203065737,6.14835889209452e-05
4800,0.266371424460496,0.00451251380735521,6.388282833921126e-05
4900,0.2711335326150789,0.004686940563560739,6.636925609218602e-05
5000,0.2758737223288792,0.00486773986702591,6.894758593727304e-05
