milliseconds,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50,species_51,species_52,species_53,species_54,species_55,species_56,species_57,species_58,species_59,species_60,species_61,species_62,species_63,species_64,species_65,species_66
0,9.7e-12,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,4.4226841249482005e-12,9.67600484720042e-06,5.778867053431585e-14,3.1961718445995425e-10,3.0924350238213307e-12,3.2456626244662813e-10,1.6874624511675529e-10,-9.105910312851263e-12,1.72062472318612e-10,9.557194640481808e-11,1.1537806226293871e-09,9.745557961302684e-11,7.38334650196556e-12,5.3959084076332287e-11,7.563465821510887e-12,4.3912678945390184e-11,6.275577174031675e-12,9.145515149724431e-08,5.229232684744963e-10,2.6295785505279803e-08,2.5438546700470556e-10,2.6702901148694042e-08,5.910224418684739e-11,-3.2143106578141646e-12,6.026294599006035e-11,3.3458002911124656e-11,4.0411916858509926e-10,3.411723190433362e-11,1.2423113859221573e-14,8.835132362374331e-14,1.2722887982470579e-14,7.280097161969419e-14,3.2247939555112514e-17,6.995800701962273e-05,2.290544170469296e-11,-6.3053659987011955e-12,2.3880971444581364e-09,9.471510045711574e-12,2.4373774632204416e-09,1.5150610855219341e-09,-3.086753098976373e-11,1.5549557559719246e-09,8.697540681973922e-10,1.4376410822804489e-08,8.916693767964813e-10,4.092364017761823e-10,8.444495307391504e-09,4.234795415644323e-10,4.845718645724503e-09,3.83396872416187e-09,1.5909233121470817e-06,8.061593726017273e-12,-1.4357863625157964e-12,6.838197881819911e-10,2.975682427989352e-12,6.989013147766967e-10,4.0764714556944456e-10,-8.723038194490582e-12,4.196933712507186e-10,2.3656584006026814e-10,3.319971181872922e-09,2.4319649045537665e-10,9.697540075824121e-11,1.4413781204716986e-09,1.0119939510375092e-10,8.951250735445629e-10,5.318104151174388e-10
200,2.253667398299098e-12,9.334956837931608e-06,4.4225271347239743e-14,3.5849811010303244e-10,2.3557188933289396e-12,3.6640050143106423e-10,1.3246898323182277e-10,-7.098461131473844e-12,1.3734425885248554e-10,7.435610742853271e-11,1.0024064329139584e-09,7.71089531923191e-11,2.166239903815531e-12,3.494833378139276e-11,2.4168604356610827e-12,2.4065906866245867e-11,8.145737720239133e-12,4.660552843475066e-08,4.002034129023627e-10,2.948317293959008e-08,1.9366893800847073e-10,3.01330404276375e-08,4.595991708927336e-11,-2.4817828074015256e-12,4.765979831531098e-11,2.5785157783608794e-11,3.480092375388041e-10,2.6744902696606636e-11,3.1480776127482846e-15,4.9687583095238086e-14,3.5549632375014565e-15,3.5116434672002595e-14,4.1144088368209304e-17,6.992416326288196e-05,2.3236948191977768e-11,-9.875206950118576e-12,3.822729727327715e-09,8.512114111897246e-12,3.923373329355839e-09,2.170269104094626e-09,-3.2016120474441996e-11,2.2514483406004464e-09,1.247987902901172e-09,2.505702152888225e-08,1.292244610224132e-09,5.841933136301171e-10,1.726558800397968e-08,6.146877940740023e-10,9.367732791217732e-09,8.229237214591668e-09,1.5871081235979904e-06,8.954003066669434e-12,-1.6194321935219629e-12,9.959963466661703e-10,2.4355068621408148e-12,1.0261994854427661e-09,4.808530824151656e-10,-6.8710703524641245e-12,5.047898450159984e-10,2.832193600514859e-10,4.6548679361169714e-09,2.96290998964962e-10,9.5457845420288e-11,2.2863901117621212e-09,1.0430385999617536e-10,1.3048325082534308e-09,8.570059951960495e-10
300,8.465067164999668e-14,8.993908828662795e-06,3.066187216016363e-14,3.973790357461106e-10,1.6190027628365483e-12,4.082347404155004e-10,9.619172134689031e-11,-5.091011950096425e-12,1.0262604538635908e-10,5.314026845224735e-11,8.510322431985301e-10,5.676232677161134e-11,-3.0508666943344966e-12,1.593758348645324e-11,-2.729744950188721e-12,4.219134787101566e-12,1.0015898266446589e-11,1.7559053722570248e-09,2.7748355733022907e-10,3.267056037390036e-08,1.329524090122359e-10,3.356317970658096e-08,3.281758999169932e-11,-1.7492549569888866e-12,3.5056650640561633e-11,1.8112312656092936e-11,2.918993064925089e-10,1.937257348887965e-11,-6.126958633725005e-15,1.1023842566732884e-14,-5.612961507467667e-15,-2.5681022756889927e-15,5.004023718130609e-17,6.98903195061412e-05,2.3568454679262574e-11,-1.3445047901535952e-11,5.257362310197294e-09,7.552718178082919e-12,5.4093691954912346e-09,2.825477122667317e-09,-3.3164709959120266e-11,2.9479409252289685e-09,1.6262217376049516e-09,3.5737632234960005e-08,1.692819843651783e-09,7.591502254840516e-10,2.608668070056785e-08,8.058960465835723e-10,1.388974693671096e-08,1.2624505705021465e-08,1.5832929350488993e-06,9.846412407321593e-12,-1.8030780245281291e-12,1.3081729051503494e-09,1.895331296292278e-12,1.3534976561088357e-09,5.540590192608866e-10,-5.019102510437667e-12,5.898863187812782e-10,3.298728800427037e-10,5.989764690361021e-09,3.493855074745473e-10,9.39402900823348e-11,3.131402103052544e-09,1.0740832488859982e-10,1.7145399429622987e-09,1.1822015752746601e-09
400,-2.8625427156468285e-12,9.345152251183726e-06,2.039948586558445e-14,4.390216522314605e-10,1.0621087918138763e-12,4.530851691474987e-10,6.720717021739179e-11,-3.2815006270328994e-12,7.4850872817371e-11,3.616551229975151e-11,7.288502461954352e-10,4.0456741469278084e-11,-6.5163139677503084e-12,7.156238743679438e-12,-6.1673618258196806e-12,-7.580638419205631e-12,1.2560948157476017e-11,-5.918276842467909e-08,1.8462604397024965e-10,3.608697959128858e-08,8.706465813261674e-11,3.724328657396668e-08,2.2351155028399573e-11,-1.0940604233664156e-12,2.5006923738776687e-11,1.1993241852531494e-11,2.4666126492836027e-10,1.3483992945443629e-11,-1.2299070428209567e-14,-1.018754175446699e-14,-1.1748986447997428e-14,-2.625645403836409e-14,6.264258420184038e-17,6.985055739835565e-05,1.6374684274836323e-11,-1.8636845285051636e-11,7.0394690437073955e-09,5.294076547641081e-12,7.264102214090849e-09,3.5640992774189473e-09,-3.3570889307101294e-11,3.735267669466787e-09,2.0425042293989023e-09,5.023705961044582e-08,2.1351557220839528e-09,9.205385111945902e-10,3.62346707482667e-08,9.825767200359408e-10,1.902116589065053e-08,1.627684862316757e-08,1.569598250640763e-06,8.285671368445596e-12,-2.435099755014736e-12,1.7063663699761643e-09,9.838851736536919e-13,1.7737125690329596e-09,6.568255164091565e-10,-3.1943707039977238e-12,7.07344438075377e-10,3.9249550751936345e-10,1.0344454204325363e-08,4.1985889765745247e-10,1.0416396860557605e-10,7.231742325908367e-09,1.2236478724485956e-10,3.6880951524315287e-09,3.2510348484161088e-09
500,-8.498123114426956e-12,1.2088072766455718e-05,2.1541194082836086e-14,4.902051534099017e-10,1.1264510802966945e-12,5.083557065149386e-10,6.341693532078316e-11,-2.1558103362385064e-12,7.106200298910952e-11,3.38425345347111e-11,7.075192714515155e-10,3.8111845307203974e-11,-3.930258522953902e-12,3.371468560908207e-11,-3.700891948421764e-12,8.4197632514219e-12,1.7437555701876363e-11,-1.757047014079895e-07,1.949347356578496e-10,4.0294640826049985e-08,9.240627007106813e-11,4.1786962926333624e-08,2.1129193745311893e-11,-7.060312969415232e-13,2.377856554159319e-11,1.1242035343201564e-11,2.38982620802007e-10,1.272135724088937e-11,-7.751428963328936e-15,2.8894179744861995e-14,-7.410628813767174e-15,-1.5918232913952574e-15,8.804882990852162e-17,6.979034901033216e-05,-1.6816854601149897e-11,-2.9432057453091386e-11,1.0022003701425173e-08,-1.4531027531948291e-12,1.0392720998566676e-08,4.590894403190962e-09,-3.141224517781555e-11,4.8364015313446586e-09,2.5902343997192688e-09,7.792945158182057e-08,2.7217631795787194e-09,1.0350509136613239e-09,5.096672735140325e-08,1.109068590841403e-09,2.6257911378540676e-08,1.736258737541157e-08,1.52177261668018e-06,-1.7500316566318752e-12,-4.61613728793112e-12,2.401724663138437e-09,-1.2101989322286488e-12,2.514929351671311e-09,8.617156448462302e-10,-1.4637319332626823e-12,9.366031701474066e-10,5.102870231416879e-10,2.5131699772908392e-08,5.50371559290323e-10,1.549503910499067e-10,2.257834908234386e-08,1.7826665140151027e-10,1.1064315666850105e-08,1.1343658301618993e-08
600,-1.4133703513207062e-11,1.4830993281727724e-05,2.268290230008772e-14,5.413886545883434e-10,1.190793368779513e-12,5.636262438823789e-10,5.962670042417451e-11,-1.0301200454441195e-12,6.727313316084806e-11,3.151955676967068e-11,6.861882967075956e-10,3.5766949145129865e-11,-1.3442030781574952e-12,6.027313247448471e-11,-1.2344220710238582e-12,2.4420164922049523e-11,2.2314163246276682e-11,-2.9222663439129993e-07,2.0524342734544957e-10,4.450230206081138e-08,9.774788200951951e-11,4.633063927870055e-08,1.9907232462224216e-11,-3.1800217051663226e-13,2.255020734440969e-11,1.0490828833871637e-11,2.3130397667565367e-10,1.1958721536335112e-11,-3.2037874984483283e-15,6.797590124419116e-14,-3.072271179536943e-15,2.3072807455573666e-14,1.1345507561520286e-16,6.973014062230868e-05,-5.000839347713612e-11,-4.0227269621131085e-11,1.3004538359142949e-08,-8.200282054030739e-12,1.3521339783042491e-08,5.617689528962971e-09,-2.9253601048529795e-11,5.9375353932225245e-09,3.137964570039635e-09,1.0562184355319532e-07,3.308370637073489e-09,1.149563316128057e-09,6.569878395453988e-08,1.2355604616468653e-09,3.349465686643087e-08,1.8448326127655573e-08,1.473946982719597e-06,-1.1785734681709347e-11,-6.797174820847492e-12,3.097082956300713e-09,-3.404283038110978e-12,3.2561461343096595e-09,1.066605773283303e-09,2.669068374723475e-13,1.1658619022194361e-09,6.280785387640122e-10,3.9918945341491326e-08,6.808842209231943e-10,2.057368134942373e-10,3.7924955838779444e-08,2.34168515558161e-10,1.8440536181268638e-08,1.9436281754821923e-08
700,-1.976928391198719e-11,1.7573913796999717e-05,2.3824610517339355e-14,5.925721557667848e-10,1.2551356572623315e-12,6.188967812498191e-10,5.583646552756589e-11,9.557024535027343e-14,6.348426333258656e-11,2.919657900463027e-11,6.648573219636759e-10,3.3422052983055756e-11,1.2418523666389228e-12,8.683157933988725e-11,1.2320478063740588e-12,4.042056659267706e-11,2.7190770790677003e-11,-4.087485673746103e-07,2.1555211903304952e-10,4.870996329557276e-08,1.0308949394797089e-10,5.087431563106749e-08,1.868527117913653e-11,7.002695590826013e-14,2.1321849147226192e-11,9.739622324541706e-12,2.2362533254930032e-10,1.1196085831780852e-11,1.3438539664322797e-15,1.0705762274352015e-13,1.2660864546933103e-15,4.77374382025425e-14,1.388613213218841e-16,6.966993223428518e-05,-8.319993235312234e-11,-5.102248178917083e-11,1.5987073016860736e-08,-1.494746135486665e-11,1.6649958567518318e-08,6.644484654734981e-09,-2.7094956919244042e-11,7.038669255100397e-09,3.685694740360004e-09,1.3331423552457023e-07,3.894978094568259e-09,1.2640757185947905e-09,8.043084055767644e-08,1.3620523324523268e-09,4.0731402354321014e-08,1.953406487989957e-08,1.4261213487590137e-06,-2.1821437706786863e-11,-8.978212353763877e-12,3.7924412494629854e-09,-5.598367143993307e-12,3.997362916948011e-09,1.271495901720376e-09,1.9975456082073773e-12,1.3951206342914657e-09,7.458700543863374e-10,5.470619091007426e-08,8.113968825560656e-10,2.565232359385679e-10,5.327156259521503e-08,2.900703797148113e-10,2.5816756695687215e-08,2.7528905208024854e-08
800,-2.5404864310767272e-11,2.0316834312271708e-05,2.4966318734590986e-14,6.43755656945226e-10,1.3194779457451497e-12,6.741673186172591e-10,5.204623063095724e-11,1.2212605361446548e-12,5.969539350432507e-11,2.6873601239589864e-11,6.435263472197563e-10,3.107715682098165e-11,3.8279078114353175e-12,1.133900262052897e-10,3.698517683771964e-12,5.6420968263304585e-11,3.2067378335077325e-11,-5.2527050035792e-07,2.2586081072064944e-10,5.291762453033416e-08,1.0843110588642226e-10,5.541799198343441e-08,1.7463309896048857e-11,4.580560823331511e-13,2.00934909500427e-11,8.98841581521178e-12,2.1594668842294708e-10,1.0433450127226598e-11,5.891495431312888e-15,1.4613934424284914e-13,5.604444088923541e-15,7.240206894951132e-14,1.6426756702856523e-16,6.960972384626169e-05,-1.1639147122910856e-10,-6.181769395721053e-11,1.89696076745785e-08,-2.1694640655702535e-11,1.9778577351994122e-08,7.671279780506984e-09,-2.4936312789958293e-11,8.139803116978263e-09,4.233424910680367e-09,1.610066274959449e-07,4.481585552063025e-09,1.3785881210615236e-09,9.516289716081298e-08,1.4885442032577882e-09,4.796814784221115e-08,2.0619803632143563e-08,1.378295714798431e-06,-3.1857140731864336e-11,-1.1159249886680248e-11,4.487799542625255e-09,-7.792451249875625e-12,4.738579699586356e-09,1.476386030157448e-09,3.7281843789424075e-12,1.6243793663634938e-09,8.636615700086611e-10,6.94934364786572e-08,9.419095441889362e-10,3.073096583828984e-10,6.861816935165052e-08,3.4597224387146164e-10,3.319297721010574e-08,3.5621528661227735e-08
900,-3.1040444709547375e-11,2.305975482754369e-05,2.6108026951842617e-14,6.949391581236672e-10,1.383820234227968e-12,7.294378559846989e-10,4.825599573434862e-11,2.346950826939042e-12,5.5906523676063613e-11,2.4550623474549462e-11,6.221953724758366e-10,2.8732260658907554e-11,6.413963256231724e-12,1.3994847307069223e-10,6.1649875611698695e-12,7.242136993393203e-11,3.6943985879477624e-11,-6.417924333412297e-07,2.361695024082494e-10,5.712528576509554e-08,1.1377271782487363e-10,5.996166833580136e-08,1.624134861296118e-11,8.460852087580421e-13,1.8865132752859206e-11,8.237209305881854e-12,2.0826804429659378e-10,9.670814422672343e-12,1.0439136896193473e-14,1.8522106574217796e-13,9.94280172315375e-15,9.706669969648016e-14,1.896738127352464e-16,6.954951545823821e-05,-1.4958301010509478e-10,-7.26129061252502e-11,2.1952142332296265e-08,-2.8441819956538446e-11,2.290719613646994e-08,8.698074906278993e-09,-2.2777668660672554e-11,9.240936978856128e-09,4.781155081000734e-09,1.8869901946731954e-07,5.068193009557791e-09,1.4931005235282564e-09,1.0989495376394942e-07,1.6150360740632505e-09,5.520489333010127e-08,2.170554238438756e-08,1.3304700808378478e-06,-4.1892843756941757e-11,-1.334028741959662e-11,5.183157835787528e-09,-9.986535355757953e-12,5.4797964822247015e-09,1.6812761585945201e-09,5.458823149677432e-12,1.853638098435522e-09,9.814530856309855e-10,8.428068204724014e-08,1.0724222058218067e-09,3.5809608082722884e-10,8.396477610808602e-08,4.01874108028112e-10,4.056919772452427e-08,4.371415211443062e-08
