miliseconds,Ras2_GDP,Cdc25,Ras2_GDP_Cdc25,Ras2_Cdc25,Ras2_GTP_Cdc25,Ras2_GTP,Ira2,Ras2_GTP_Ira2,CYR1,Ras2_GTP_CYR1,cAMP,PKA,cAMP_PKA,IIcAMP_PKA,IIIcAMP_PKA,IVcAMP_PKA,C,R_2cAMP,R,R_C,Pde1,Pde1f,cAMP_Pde1f,AMP,PPA2,Pde2,cAMP_Pde2,Cdc25f,Ira2P,Ras2_GTP_Ira2P
0,20005.44549439806,300.6602430905509,0.413515480940793,-3.4527530684471456e-07,0.3227210420816486,0.22546359634141783,198.21604694733887,-1.917588710417724,200.86977770565827,0.8056698953073135,9.101512318218306,2499.22698586935,0.7953227219519324,-0.020600519728254413,0.0004078150313150266,-3.853141092371741e-06,-4.7265972863691695e-06,2.552068119750759e-06,7.658924274142875e-07,9.53525544172438e-11,1399.9999999986192,5.3533555371267783e-11,1.039791123940798e-09,-26.61567572274415,4000.0,6489.624174908437,7.250138077350203,2.1978191179557133e-09,1.0620390395478903e-10,2.0404127938446334e-08
100,19690.334480940513,1.556584502229163,269.946645464471,6.673346296152209e-05,30.25091084954554,-2.1618628970041156,201.03563358137063,-0.09412168810983318,201.0704982678376,-0.20834468445091256,-24.847567525152524,2501.786099981795,1.73024903743954,-0.03617249320876935,-0.0006628096593408592,-7.281394281853027e-06,4.0399997333339786e-07,-4.647644443145234e-06,-1.368175332104919e-06,2.4915036445206423e-11,1399.9999999990882,-3.405386921418548e-11,-2.2632231077639587e-09,2.2215428183312813,4000.0,6496.485033152347,2.450853413884335,-2.437958291786012e-09,3.6841020650641553e-10,2.883217771346107e-08
200,19688.01078763987,0.10441306821566546,246.13989468611982,6.525344855906876e-05,53.5435193524544,7.471384095718461,198.97085239063415,2.5348007668581127,199.19834835648672,-0.653352756276556,4.3298058310034575,2498.4399249990033,-1.833968961085968,0.022906186640162925,0.0005125632600413823,-4.580990373789217e-06,-4.486149296958629e-06,5.670189633946705e-07,-4.3089005442635223e-07,-5.294471832314982e-11,1400.00000000288,-6.252193543679283e-11,-2.5512688195710416e-09,25.03436747279843,4000.0,6496.499900792199,-11.411980958079477,-1.380148605388527e-09,-3.5915394393351013e-10,-5.601695183421887e-09
300,19690.578706117827,0.2568155015987973,224.67686756246871,6.393433843732629e-05,75.67904229991645,9.753367046729565,196.8944219937726,2.3885479421944944,200.19981772337,1.4993672644472733,-10.505365616989987,2498.960340486873,-1.1097778782543444,-0.04084676466806017,-0.0006207729141838012,-4.579865341891328e-06,-6.3222010900977295e-06,4.733910758236106e-06,-4.8546568103978e-07,9.415845217112821e-11,1400.0000000015464,-1.678697233067441e-11,1.7498353678459554e-09,5.551211052364136,4000.0,6493.506107930655,-0.4737423268360753,-4.405293852369477e-10,-7.012041089938239e-10,4.26938097318136e-08
400,19680.89774745583,-0.9227885174642865,209.70969921849996,6.194823174701612e-05,88.03366020177889,14.964420504384485,194.17715276592708,5.379329154896973,199.3212524573869,0.9286212939333696,-44.10240786412473,2499.9723926334214,1.7615771840293515,-0.04680990032517382,0.0005437246973099436,-8.360559181847688e-07,-6.09535983103377e-06,4.063888918311951e-06,6.033493461388485e-07,-2.997245466963743e-11,1399.9999999971783,-2.9867345673867974e-11,2.725461660952374e-09,8.40281427051231,4000.0,6503.754147351046,-7.579726101178447,3.180584495971457e-11,-5.033136365699253e-10,3.196571772928822e-08
500,19667.17951572214,0.3316414506207844,197.6610425187323,6.178893891452924e-05,99.61016147011861,17.487953994500586,194.40911759770077,8.888232149282713,199.58598299189242,1.7915183389090026,21.823162168465817,2501.486196955816,1.884292853131027,0.007557137928280793,-0.0006605945509525319,-7.543721189494616e-06,4.305159849733977e-06,5.283513356210285e-06,-1.5182339771575475e-06,7.4874873092179e-11,1400.0000000025639,5.389062388337203e-11,2.1701778983757248e-09,17.979604828497628,4000.0,6490.823494791308,-4.670700220270952,-1.9071480474585725e-09,5.886503593493709e-10,3.496900866526357e-08
600,19653.087645916596,-0.027926520352224617,189.00496161999212,6.079610918127499e-05,110.04673327301182,24.187140842714122,189.79473936894584,9.880752362866996,197.43527096748772,1.9427361656013984,77.78995107045395,2500.262307035823,-0.2885625616579832,0.03837333140238359,-0.0009194528951851832,8.781228314722218e-06,-6.080115546886407e-06,2.078161300255503e-06,-3.350974034366991e-07,-1.6083056966283325e-11,1400.00000000208,3.5919191797757483e-11,-2.6588045393816423e-09,-12.622722105211365,4000.0,6506.325646141727,-7.9484377927156675,-2.008915322718993e-09,-4.80136479297833e-10,1.6300993593170426e-08
700,19650.425736148645,0.5237959708033081,182.8436997749511,5.98621614144906e-05,117.16049599900735,31.350758987862807,185.72718919779203,16.587596309955035,198.855142949678,2.7821476683524167,26.547421757054536,2498.777231772303,0.9247571472487093,-0.012854405863550012,-0.0005989686969059951,-9.259289165690649e-06,-4.582815561033036e-06,-4.914335829729596e-06,-7.324735537685206e-07,3.977187748980294e-11,1399.9999999986067,-4.0079861362431127e-11,2.818168296842632e-09,16.711505810922013,4000.0,6495.316532528616,-6.445747717394442,-1.2369497116026489e-09,-2.0368984721712462e-10,1.6575207157817056e-08
800,19632.447790135346,1.0729354422329656,177.55585483859534,5.970933888900901e-05,122.38105568838876,37.92915048419221,179.37515962741548,21.86431923487375,197.4697604176706,2.240353034727338,85.39231581128666,2498.8319394739556,0.36186184678777367,0.036497288656368664,0.0009464542355061714,-6.749044246713868e-06,1.1171344453999704e-06,1.76541889737263e-06,1.3726966714626063e-06,5.6799026789324445e-12,1399.9999999971456,6.564985639307883e-11,-2.1924162423614852e-09,20.72899715856096,4000.0,6500.718921853303,7.066723944165464,1.1147514328425186e-09,2.5314768686931054e-10,1.703207496687909e-08
900,19628.726956927443,0.9718155992283224,173.15883812157264,5.971602455049655e-05,129.70198225699068,41.094987917475,172.72231570247777,30.14424575062213,196.22620485127442,3.002814355510898,-26.359400118846693,2498.931163427577,0.1260701748435104,0.0076382468407804405,-6.560347876633184e-06,9.88861135979742e-06,2.327212945576943e-06,-3.5032484352399943e-06,1.5231757836391681e-06,5.265685377143146e-11,1400.0000000027694,4.8983264430063006e-11,-1.0779221674466124e-09,10.863885120667128,4000.0,6490.978973220285,11.17249138681395,-1.9367267931003806e-09,2.769816321874752e-10,-2.2950783201613702e-08
