miliseconds,Ras2_GDP,Cdc25,Ras2_GDP_Cdc25,Ras2_Cdc25,Ras2_GTP_Cdc25,Ras2_GTP,Ira2,Ras2_GTP_Ira2,CYR1,Ras2_GTP_CYR1,cAMP,PKA,cAMP_PKA,IIcAMP_PKA,IIIcAMP_PKA,IVcAMP_PKA,C,R_2cAMP,R,R_C,Pde1,Pde1f,cAMP_Pde1f,AMP,PPA2,Pde2,cAMP_Pde2,Cdc25f,Ira2P,Ras2_GTP_Ira2P
0,20003.61424982736,298.9772598087962,-0.8051149899707668,-2.522765747198916e-07,0.09388569839117841,2.749581654263794,201.271229822532,1.6463728319590598,200.58792015232626,0.19962861070160146,33.578086538412485,2501.4748490362394,0.3365278822742796,0.027005764709407278,0.00029202127597246987,3.4006544125429335e-07,2.7091960990947946e-06,-3.2683736078002505e-06,-2.432587958844367e-07,-9.19642934117188e-11,1399.9999999993083,2.2140248607568504e-11,-1.7734964329281736e-09,-23.500808252041992,4000.0,6502.872532213966,8.483913158525185,6.920249370313536e-10,-2.4005682019043018e-11,-1.9759817563337974e-09
100,19706.00691134379,0.5110578828246432,269.6209325630016,6.707281686566303e-05,32.301248988671226,-0.22390434683041338,200.83165912468925,-1.941431737450312,198.7061783764166,-1.220067163190337,60.69040607848651,2500.6114772762166,-0.048112060666569846,0.0007024152265293719,0.0007995826644587288,5.428275573665704e-06,-2.865483724345607e-06,-3.3059150044823267e-07,-5.023487927929377e-07,3.354027131685462e-12,1400.0000000021475,-2.2159688724282244e-11,-5.387274675810758e-10,-26.99776049537241,4000.0,6493.306850190192,3.181540434161065,-1.056412442123556e-09,3.191301662982129e-10,3.971164507581107e-08
200,19698.682740005042,0.47673861133267753,245.94465851795076,6.511762762589583e-05,55.20507534828437,8.52162901551335,198.92269678900018,-0.5399522340141713,199.89074849547117,0.02529378859756168,24.60309256612299,2501.205736136765,-0.4104792281548821,0.013225373692926971,-0.0005213587974750471,7.916494202190371e-06,-6.974673442044936e-06,4.112745654429598e-06,-8.266763398942676e-07,1.10940395347335e-10,1400.000000000748,-4.2219987214407673e-11,-1.1930836607541364e-09,-8.331642238498285,4000.0,6503.053914517849,6.2293657813397685,-1.334398436341541e-09,4.859818455205094e-10,1.1236167908408026e-08
300,19694.870628865003,1.6823717162558063,226.08450902675688,6.379943032678445e-05,73.95874669265123,12.265953324454665,200.74115954954337,0.26203766637085857,198.94069826187504,0.7689104174616739,51.421642416462646,2498.5239294979306,-1.7735329013973462,-0.0012829688257735825,0.00048217437326661936,4.163637332048919e-06,3.5434692143382016e-06,-1.82649671338373e-06,9.499891702598547e-08,-7.540025395366898e-11,1400.0000000010903,-3.880940823487473e-11,-1.3431908795818579e-10,23.65974065099712,4000.0,6507.526685624459,2.540601997904697,1.7604182104794441e-09,-5.042490055416819e-10,2.1691639058053945e-08
400,19684.31635503623,1.145102121880563,212.28643469699915,6.269843360116128e-05,88.87823592573987,15.354887789586634,192.47986830527483,6.811731717532194,200.58541550631176,1.6255794768211453,-22.303112392501955,2499.629712595836,-0.22094548682922585,-0.03351410517788219,-0.0004922221255821219,-7.753236069930341e-06,-6.401930783073222e-06,-2.107513341186818e-06,1.3949433221789296e-06,-1.1312983435350118e-10,1400.0000000000475,-5.7383618727304183e-11,1.546818576052351e-11,5.5713144929604175,4000.0,6502.629131794405,-1.3414459378489327,-1.4330279935662592e-09,5.413830547926909e-10,-2.2967299989885046e-08
500,19676.131879835633,-0.9527545685462635,197.4550751414605,6.119363025891836e-05,99.65176634733476,23.055236879005143,193.57218936909507,7.652532037673227,199.33586272562619,0.426938652988443,-19.452623394235424,2501.888611188027,-1.3694965299197253,-0.04178534926405793,-0.0002123941255316675,-1.0236500023158747e-05,-1.1294138249517714e-06,4.854289837024426e-06,1.6211161736345593e-06,7.7453140077991e-11,1400.0000000017944,-6.243415010142716e-11,-2.1134920475683187e-09,-7.128546286961555,4000.0,6496.77778605283,4.833393848539125,1.8278652087992712e-09,-4.0833327689937914e-10,3.178693300802996e-08
600,19666.635359946118,0.18926198801133548,189.0004952799577,6.054871772618631e-05,110.81053688758516,23.866062343323993,185.84090328717676,14.495055717871743,197.4967159459845,0.7456117497208865,44.983978347742124,2501.7296587361798,-1.5898153184564798,0.0383756108576982,-1.549723521567487e-05,-6.4435090942244014e-06,2.656071636671087e-06,-3.682069940335407e-06,1.2438694550661021e-06,-1.0204636541360217e-11,1399.9999999979132,-6.021758776544184e-11,1.63980226395404e-11,-20.094946077324376,4000.0,6497.0004127493485,-6.429841246958065,-2.002349541916473e-09,2.5741297202546556e-10,3.349822178843866e-08
700,19647.18776950616,-0.5957392979458751,183.50714453280256,6.0018480177327364e-05,116.85935763154988,32.04496752307061,180.8220687774198,14.671247432572155,197.2405978333955,2.6705816893523977,29.581330083770247,2500.7216658670104,0.8508882114064733,0.0005887731918861772,-0.0007874496487566588,-6.711439344697933e-06,-1.798101326667274e-06,4.633237934382445e-06,1.0674966308455602e-06,-1.1324317736964054e-12,1400.0000000008142,1.0026354235510908e-11,-2.4281099700762113e-09,-20.26095858492876,4000.0,6508.968767106985,-7.821166129749938,6.847856825004916e-10,-6.784671416568527e-10,-3.503291279552031e-08
800,19646.058023449983,-0.43745091252517593,176.25092378686728,5.976599661008599e-05,124.38328341272073,34.05917095887189,177.66205355458595,21.62589773236119,196.42224959528426,2.1006823471013893,0.09416798964524986,2500.391482849306,-1.0705881608434853,0.009883236776010818,-0.0009003706105583292,8.041799078303892e-06,5.763933368795016e-06,2.926834131016663e-06,-9.601702251719794e-08,-4.788484586343182e-11,1400.000000002485,-1.4321333700458227e-11,-2.160696276400695e-09,10.057829800557005,4000.0,6497.032351263688,10.692730236985232,-2.678139524587396e-10,5.312683235612105e-10,-3.4540348704753106e-08
900,19633.326270994417,0.06799065786509818,172.67542669797592,5.917545046585385e-05,127.09887246854034,41.18663498886843,171.08351679160018,32.0644180111965,197.57212485994503,3.8438490600329316,26.635249567658086,2500.8546955385177,-0.6058397352922437,0.002691169314971774,-0.00036130695970300856,-5.700898933617783e-06,-4.663351772196273e-07,-4.90187436756514e-06,3.7506639735067444e-07,1.3775567371467358e-10,1399.9999999978681,6.903299342443027e-11,-1.60759656039597e-09,9.618375731744573,4000.0,6502.49734270629,15.049963425275413,-1.7231441569354423e-09,4.0020471572553266e-10,-1.420281491110369e-09
