milliseconds,sGCfast,NO_sGCfast,NO_sGCfast_6coord,NO_sGCfast_5coord,sGCslow,NO_sGCslow,NO_sGCslow_6coord,NO_sGCslow_6coord_NO_int,NO_sGCslow_5coord,NO_sGC_5coord_tot,sGC_inact_tot
0,0.112,0.0,0.0,0.0,0.288,0.0,0.0,0.0,0.0,0.0,0.39999999999999997
100,9.303314791657101e-09,2.1880551034009577e-09,0.018103772367577466,0.09389621393903151,2.3922809464247612e-08,5.626427408738023e-09,0.2626299892096931,0.022953385309854534,0.0024165902687172894,0.0963128042077488,0.30368718792773186
200,1.5466150182600555e-13,3.6374975921109714e-14,0.0033633921485905333,0.10863660564919615,3.977010068938125e-13,9.353564847709285e-14,0.2575312619739697,0.024231070718571716,0.006237661644469907,0.11487426729366607,0.2851257248418142
300,-2.2039793016582082e-15,-5.183559159632112e-16,0.0014079845657018755,0.11059201323227745,-5.667375308829784e-15,-1.3329152182298088e-15,0.25392766358302576,0.023990316425183726,0.010082014329270745,0.1206740275615482,0.27932596457390163
400,-1.957058911335104e-17,-4.6028247369385755e-18,0.0011485879963649898,0.11085140980161168,-5.032439084785432e-17,-1.1835839427809605e-17,0.25045842538340246,0.023670548426371982,0.013871020527700985,0.12472243032931266,0.2752775618061394
500,-1.1130563216595304e-17,-2.6178073278571886e-18,0.00111417508758363,0.11088582271039304,-2.862144064557949e-17,-6.7315027700693484e-18,0.2470475807407467,0.023351193393984986,0.017601220202743795,0.12848704291313684,0.2715129492223153
600,-6.614873374079232e-19,-1.55575810596665e-19,0.0011096104392987454,0.11089038735867793,-1.70096690869728e-18,-4.0005196138633416e-19,0.24369013963577263,0.02303656346647054,0.021273291235232288,0.1321636785939102,0.2678363135415419
700,-2.742948593709128e-18,-6.45116584000078e-19,0.0011090047813668256,0.11089099301660986,-7.053296439693669e-18,-1.6588712331947435e-18,0.2403850441311444,0.022726823727708075,0.024888126478622936,0.1357791194952328,0.26422087264021926
800,-8.510824365385188e-19,-2.0016685680793797e-19,0.0011089238832566518,0.11089107391472001,-2.188498076679373e-18,-5.14714860424449e-19,0.237131465881036,0.022421911117106355,0.028446617339333072,0.1393376912540531,0.260662300881399
900,1.160869148207662e-19,2.730258773604746e-20,0.0011089161020640264,0.11089108169591265,2.9850953259192945e-19,7.020672942027446e-20,0.23392860119361653,0.02212175112730799,0.03194964201655067,0.1428407237124633,0.25715926842298853
1000,-1.642234657036023e-18,-3.8623866984564423e-19,0.0011089095855223814,0.1108910882124543,-4.222890443529985e-18,-9.93185459707659e-19,0.2307756595318777,0.021826269747361553,0.035398065058235985,0.14628915327069028,0.25371083886476165
1100,-3.0389028336306664e-19,-7.147223332513826e-20,0.0011089088591730988,0.11089108893880358,-7.814324032094321e-19,-1.8378580065280204e-19,0.22767186277313856,0.021535394019767912,0.03879273754456895,0.14968382648337253,0.25031616565207954
1200,5.393879978541116e-20,1.2685915715310422e-20,0.001108910657857225,0.11089108714011944,1.3869981161849573e-19,3.2620935255624897e-20,0.22461644488376484,0.021249052169564825,0.04213449728414584,0.15302558442426528,0.2469744077111869
1300,-3.0435325906174835e-19,-7.1581120965435e-20,0.0011089114860943047,0.11089108631188237,-7.826228896310937e-19,-1.8406579227865539e-19,0.22160865176503777,0.020967173530693054,0.04542416904174464,0.156315255353627,0.24368473678182512
1400,-1.6364227454045617e-19,-3.8487175787952083e-20,0.001108911347902648,0.11089108645007402,-4.2079453856226453e-19,-9.896705210320057e-20,0.218647741082314,0.0206896885313789,0.04866256472378254,0.15955365117385656,0.24044634096159553
1500,6.711651213643377e-21,1.57851938106708e-21,0.001108910990051553,0.1108910868079251,1.725853778327632e-20,4.059051263284149e-21,0.21573298209595657,0.02041652868817541,0.05185048355334345,0.16274157036126854,0.23725842177418355
1600,5.157907797690168e-20,1.2130930454124558e-20,0.0011089107229764882,0.11089108707500016,1.326319544172246e-19,3.119383051114386e-20,0.21286366021225528,0.02014762703291968,0.054988707092300464,0.16587979416730061,0.23412019796815142
1700,5.045858164983583e-20,1.1867399900246007e-20,0.0011089106248545898,0.11089108717312206,1.297506773588106e-19,3.051618032731012e-20,0.21003906658698787,0.01988291713581924,0.0580780106146683,0.16896909778779035,0.23103089434766172
1800,1.3745873274839835e-20,3.232904490288852e-21,0.0011089106744505757,0.11089108712352608,3.5346542097002664e-20,8.313185521533414e-21,0.20725850598699266,0.01962233384224998,0.06111915450823276,0.17201024163175885,0.22798975050369322
1900,6.420585808837669e-21,1.5100634405580489e-21,0.001108910741616846,0.1108910870563598,1.651008292157151e-20,3.883021482789872e-21,0.2045212869415275,0.019365812350137273,0.06411289504581065,0.17500398210217044,0.2249960100332816
2000,-1.3886122009323218e-21,-3.265889718493761e-22,0.0011089108306134867,0.11089108696736316,-3.5707181022923315e-21,-8.398004519674459e-22,0.2018267372161488,0.01911328966029381,0.06705996746103282,0.17795105442839598,0.22204893770705608
