milliseconds,T,I,V,N,H
0,0.19990610089337338,0.072084402594135,0.11952253138228966,0.10041028520959794,0.17967412195070573
100,0.200662654587544,0.07281994806847178,0.11779612585503998,0.10143795988170357,0.18241240525676233
200,0.20134308097435105,0.07576744149285536,0.11584801457170059,0.10299245548473501,0.18192990569783005
300,0.2022780683918873,0.08085025355360669,0.1142200467738782,0.1048024455748794,0.1841012744683529
400,0.20313148873564446,0.08300829258280389,0.11210566692178173,0.10527761783509727,0.18824219672367093
500,0.2043472099164944,0.0858882020459166,0.10998496057689558,0.10655323947265925,0.18778328879946807
600,0.2051031714034477,0.08823498258528745,0.10926818400845395,0.10876019521524412,0.19059277190775728
700,0.2054127621489865,0.08968076480295262,0.10704108914971155,0.10950593174770643,0.19483808005144657
800,0.20628621810745054,0.09276405880398406,0.10525851748397366,0.11061300773244488,0.1955725261181865
900,0.20753059435915436,0.0956714660551576,0.10469524940257491,0.11230334957862625,0.198259689575117
1000,0.20773395924342647,0.09843772366896372,0.10300912447584411,0.11296700838780507,0.20107855138199296
1100,0.20882760284614799,0.10129664167240027,0.10100245442708713,0.11472272418524392,0.2016001925127071
1200,0.20981257214899826,0.10209946315255523,0.10038419778183158,0.11541718027044984,0.20490680605991166
1300,0.21106338906521072,0.10456301234379664,0.09829191449955836,0.11613972698842209,0.20806768918664234
1400,0.2117681104182573,0.10860343418456733,0.09701887907833565,0.1168732561369429,0.2077872083690475
1500,0.2122848621222234,0.11001183941047094,0.09679310879414332,0.11849084872168615,0.21062571063955252
1600,0.21354694811306796,0.11068212749630357,0.09543902349035305,0.11906984196993267,0.2123777826490483
1700,0.2141044682394351,0.11435980154215376,0.09408231240280572,0.11975774163969582,0.21540739498161368
1800,0.21475684193818115,0.11463010480839352,0.09293867476252635,0.12106668740894111,0.21822134231036197
1900,0.21570079474432188,0.11715958192975882,0.09196152897979318,0.12170089983360231,0.2221696540194014
2000,0.21605440000971526,0.1195932153753301,0.09095982083334365,0.12258044227299393,0.2246874483862956
2100,0.21697738579084494,0.12035595808163818,0.09008966352723399,0.1236282851443962,0.22482200128918353
2200,0.21752139485456204,0.12456909504719503,0.0899611621895767,0.12485323085160417,0.2296683008949359
2300,0.21925285049875257,0.1240214235982617,0.0880394895721087,0.12492142440995123,0.22980840494886579
2400,0.2194886537883533,0.12806312395577996,0.08749522049571823,0.12627618919817815,0.23145505999722737
2500,0.22062829707059578,0.12773068052386527,0.08667539252285354,0.12707462179290144,0.2367171442531835
2600,0.2207188092502052,0.1301442484015943,0.08609731723337839,0.12690151518855478,0.23766682267441436
2700,0.22153293974923963,0.13095559040953184,0.08527846257505711,0.12799642431754812,0.24146381835736186
2800,0.22219551380981348,0.13355546672694485,0.08441993199115054,0.12790499951366585,0.24532171018718488
2900,0.22301564169500135,0.13569619644972325,0.08414422420959111,0.1291688722507366,0.24656196206035177
3000,0.22480953134440293,0.13708455260472577,0.08415488740976469,0.12982773367759773,0.24949843462966584
3100,0.2251692226274046,0.13908478264210927,0.08286934128568015,0.129958494329177,0.2538434672978543
3200,0.22579555450289976,0.13964255091607727,0.08288347596188578,0.13033083976327783,0.25402021409307823
3300,0.22661420641407945,0.14099016531504338,0.08226727758135338,0.13095438713028335,0.25870637635239224
3400,0.2274306726490128,0.14190588953966995,0.08126886931789785,0.13163458861820848,0.2615377931994023
3500,0.22805460339444533,0.1443073392035614,0.08081411059865508,0.13246154975284358,0.2653598946823966
3600,0.2286944887104648,0.144363188358984,0.0804951509249849,0.1329477680512604,0.2666762768720874
3700,0.22940632765764088,0.14616229762525437,0.08056008331011359,0.1329504005951281,0.2705011927394102
3800,0.23055941770469415,0.14572615974407166,0.07969213569987063,0.13278149036187722,0.27149697142199647
3900,0.23084023566007852,0.14921145070070174,0.07938167006136955,0.13399968393422765,0.27359155846218025
4000,0.23178148233530824,0.14893705590915246,0.07883254015892203,0.1337627128989536,0.2788280788249327
4100,0.23316865601600123,0.15135208014089493,0.07913027162415552,0.1338498407960396,0.28097869076492177
4200,0.23377130847362973,0.15210064749025323,0.07765207860043952,0.13408190194838612,0.2842041958070746
4300,0.23494791298647633,0.15116526640518932,0.07743832451497097,0.13500006706233678,0.28648505005971675
4400,0.2357251809882574,0.15218079826179814,0.07768586741140375,0.1353308253199721,0.289198043372258
4500,0.23658724315593613,0.1552719935564816,0.07727768593261669,0.135102590891378,0.2926087426730967
4600,0.2372912425761174,0.15431933816507123,0.07664435205129888,0.1353720334128135,0.2988203038257657
4700,0.23740861416233902,0.15595477737806757,0.0772942265273197,0.1363445959951322,0.3024886954966196
4800,0.23927777571202688,0.15838373891275334,0.07632773453356181,0.13598258138240765,0.30406957509637206
4900,0.23997396265625637,0.1584133626366681,0.07664484857228208,0.13573625005300963,0.30732690132077106
5000,0.2406654022983732,0.15892292382118697,0.0761348313872264,0.13697509886819154,0.3103145876953457
