miliseconds,T,I,V,N,H
0,0.19950227208493274,0.07220781810974608,0.12045819379655875,0.09960578711222598,0.17864957067511428
100,0.20032917128581348,0.07521989667427165,0.11848023804336266,0.10160350358291272,0.18072403633194595
200,0.20152981509723902,0.07623221984268372,0.11553303288933801,0.10256536636039773,0.18508008219136213
300,0.20199592092221724,0.07999889616185658,0.11353757579872824,0.10472818292341722,0.18374764135454255
400,0.20374244641085862,0.08249854306797481,0.11169263028416297,0.10620650353847012,0.18924453277303577
500,0.2043734333110885,0.0864403943282783,0.11049324543208172,0.10654788401683099,0.1897459461702807
600,0.20460030274036956,0.08703816082814285,0.10908765018292747,0.10833443596619786,0.19082512220642162
700,0.20541298404958264,0.08955844198822409,0.10730210981624788,0.10980325833011412,0.19268950980353577
800,0.2062017409269123,0.09208320508779434,0.10530344254490476,0.11131941112557911,0.19532083383228444
900,0.20767959421924057,0.09506304660035951,0.10415272169343318,0.1114668589545638,0.19583462375293165
1000,0.20826649914431344,0.09856235063488859,0.10330940367849642,0.1128813705071838,0.2009684218775262
1100,0.20907523558225424,0.1006389522131748,0.10102543990140038,0.11453689518504327,0.20083175753132565
1200,0.20966257428603058,0.10268450498804578,0.10002878534671425,0.11551507511139557,0.20604034953087522
1300,0.21023929125658586,0.10395636760616862,0.09927458893828288,0.11636732059417171,0.20782836259302376
1400,0.21205430596216565,0.10707020927967516,0.09730631528373267,0.11723489074122878,0.2079200012856064
1500,0.21178852837380346,0.10848996863549441,0.09605988238893186,0.1185704741390123,0.21017171803996304
1600,0.21315460433092856,0.1104221313342838,0.0955115295155553,0.119642785703986,0.2135078820367809
1700,0.21338046183744944,0.11261079139631704,0.09471287179447702,0.12055862652414145,0.21624540111078452
1800,0.2142236887413941,0.11545818359811821,0.09275971079155236,0.12151733616111429,0.216122516045226
1900,0.21509833517243446,0.11674034008944688,0.09180232898098764,0.12225767744717415,0.21957910638972003
2000,0.21594222134614707,0.11858186565257821,0.09125309092318273,0.1226063741268469,0.22229030377218914
2100,0.21664608499263893,0.1217955211877147,0.09006182253011775,0.1240542021073788,0.22639742402965718
2200,0.2184406863234226,0.12383307762016711,0.08965605207960897,0.12434071348213624,0.2271811549887413
2300,0.21834811101009527,0.12558814555946365,0.08917091163866915,0.12483367147819333,0.22927162137869103
2400,0.2196986658901625,0.1256048012024282,0.08771039830668494,0.12533331041230703,0.23237698437047447
2500,0.2202857094393724,0.1280327771205429,0.08664046911303616,0.1269772721416456,0.23760049753454857
2600,0.22132732104048464,0.13126664524041506,0.0865934289240883,0.1273177892055745,0.23819668702549854
2700,0.2219552687429638,0.13144914854017498,0.08575270200599461,0.12820059694510025,0.23927871902749223
2800,0.222959239579816,0.13347887459608565,0.08556168022121159,0.12893245429473887,0.24353877822330772
2900,0.2237043778340591,0.13462544567427534,0.08468983660031207,0.12935173065451913,0.24461600146160306
3000,0.2242289343850054,0.13667503474461434,0.08362218108317447,0.12947162500052012,0.25073357631154175
3100,0.22527898268307775,0.13856325490291638,0.08295727821548957,0.12976775672915983,0.2515373636069592
3200,0.2257054137178242,0.13868027103568578,0.08226760275920388,0.13051633151902206,0.2560917048576578
3300,0.22655411293692904,0.13989854441173374,0.08206440640401275,0.13134069366811146,0.2597437514687817
3400,0.2270528692437137,0.14209808809565014,0.08127300894542085,0.13106143124256991,0.26099411210835544
3500,0.2286347660625065,0.14346149708978187,0.08044084938285824,0.1322678134517067,0.26272362412718553
3600,0.228730801159058,0.14503927147944862,0.08070396072626888,0.13200918489112853,0.2648344460231699
3700,0.2299693624539975,0.14504924404886838,0.08030005089036701,0.1333184243810007,0.26846031778437296
3800,0.2300665111271885,0.1477185498928553,0.07910660676505084,0.13299854002458103,0.2711468557764154
3900,0.23084863767441455,0.14771563306855692,0.07957571520977787,0.13311585547880422,0.2773637114796191
4000,0.23206570164377704,0.14875144631564097,0.07895681174334891,0.1334393739240152,0.27785727826059264
4100,0.23300755313180768,0.15098980385216396,0.07873327993169474,0.1341539897829533,0.28079767851081566
4200,0.23397832641354768,0.15183286988896916,0.07788379405218278,0.1345787017823998,0.2844796824458522
4300,0.23469301248785684,0.15177872767231476,0.07775707218056614,0.13496189108434317,0.28945072648368214
4400,0.23499827647158011,0.15400738595973956,0.07810016605205633,0.1355540054258872,0.29025137974260584
4500,0.23606506532974506,0.15537996839431625,0.07667856859988835,0.13527955191596874,0.29311004514293754
4600,0.23695711098276812,0.15578834710873918,0.07631283829572182,0.13596047075980758,0.29835026853384616
4700,0.23760381546400017,0.15536958311802518,0.07713442743057959,0.13573640960683594,0.30056501164070737
4800,0.23855068218561937,0.15681707452820046,0.07592308731167904,0.13568513835067406,0.3021262334455445
4900,0.23925204810632306,0.15924087226097275,0.07582444006080422,0.1364349489531548,0.3084532089405105
5000,0.24051108694154727,0.15865789198393293,0.07561464160654481,0.13680386313513204,0.3095654383858029
