miliseconds,P1,Target
0,9.996520749652868,9.984866104027159
100,10.078744862698581,10.030895790793132
200,10.074958515347289,10.139077602333563
300,10.181288652304028,10.185802683588504
400,10.246459034329964,10.22999984363751
500,10.256382671757173,10.256098261182226
600,10.288390625119561,10.32715000365554
700,10.363486824929659,10.407702850746643
800,10.447077164084122,10.399042727962888
900,10.515464321848714,10.482571357642723
1000,10.531089386648373,10.541988701995743
1100,10.604957048023529,10.546562351434565
1200,10.646762789721468,10.648996282859624
1300,10.663170628970473,10.69240563176408
1400,10.714690896419473,10.775881105911996
1500,10.813193230847535,10.814752785830999
1600,10.83967739953566,10.840110399424427
1700,10.884794578261245,10.8761103324192
1800,10.947152782567226,10.928837835711537
1900,11.007479367019096,11.009776204170617
2000,11.081829902101045,11.04762638899039
2100,11.12276479755317,11.107416542147512
2200,11.167656269795671,11.186529002448081
2300,11.256370836583407,11.194190382160869
2400,11.26266460395034,11.281959964950207
2500,11.300326375945808,11.34448845121092
2600,11.416652966203374,11.401560045158908
2700,11.443726839303647,11.397706920138248
2800,11.476482690651373,11.456822345116745
2900,11.57327515412645,11.555797853485432
3000,11.614693635783846,11.63031520371423
3100,11.620449592983112,11.673241323465154
3200,11.690718669994688,11.672203878362598
3300,11.783591024540955,11.793525799312125
3400,11.798162815489778,11.830736126821215
3500,11.85981469767306,11.833070386330832
3600,11.903611933900683,11.943344165172453
3700,11.951521388629098,11.937691663093613
3800,12.008536743906195,12.023735707376611
3900,12.114416205103156,12.091128980684049
4000,12.108741548373217,12.132881354391596
4100,12.2314396009112,12.195007589206718
4200,12.28639037461473,12.22276332740659
4300,12.309149572577756,12.301844774321443
4400,12.366336097069613,12.355330759993612
4500,12.398975899738504,12.385022512863976
4600,12.475447313958252,12.439250670674683
4700,12.524765647004863,12.530751331419502
4800,12.601995787627201,12.592728669597491
4900,12.662701784786895,12.603001409476711
5000,12.701817163243794,12.66773251071778
