miliseconds,P1,Target
0,10.012889813439223,9.961494910429828
100,10.035898412173726,10.08956049174037
200,10.069982558544739,10.067593230417941
300,10.135571758974516,10.124031336128319
400,10.173306620086946,10.21473258971071
500,10.297205570727764,10.28214582921971
600,10.319745731067323,10.346761175168107
700,10.388483220373635,10.353345834679347
800,10.434037728241385,10.411673060409179
900,10.490238791164762,10.49699787824447
1000,10.560482245529197,10.544224240124974
1100,10.59823406499143,10.589307667962212
1200,10.663595645732258,10.672552821268791
1300,10.691178204898765,10.656616462423793
1400,10.754373714758623,10.711969429907752
1500,10.787966273772675,10.787420401168701
1600,10.855282150224724,10.859571711473166
1700,10.889527956120842,10.863639454958749
1800,10.923299122756024,10.978479517785436
1900,11.000842394690512,11.004191984707088
2000,11.055269877289946,11.036976882662882
2100,11.114341090172296,11.149460181374353
2200,11.142333710160546,11.16157493513666
2300,11.21873395004265,11.18615302374394
2400,11.3013122641938,11.294041972370554
2500,11.36603900315398,11.32130884259332
2600,11.380047078814478,11.358006748639726
2700,11.446229128687566,11.429207891000837
2800,11.47121938480869,11.474536243481179
2900,11.512204579285429,11.523719162214494
3000,11.577281692744831,11.584013545903403
3100,11.648154847812267,11.673641294392569
3200,11.73815784875018,11.715316144213883
3300,11.755788326260541,11.739765883044837
3400,11.832687549921246,11.806171599829796
3500,11.859721324407904,11.829496130949236
3600,11.929841572834363,11.885783748134385
3700,11.986088171999835,11.982705461994879
3800,12.045232329667533,11.99060391293585
3900,12.056888578799294,12.076711055129934
4000,12.134902713724104,12.147658168103925
4100,12.16175464084729,12.198237656419764
4200,12.242338051418386,12.217368194480136
4300,12.335096948632888,12.2838952026382
4400,12.341464789231098,12.393074158943005
4500,12.375278376099926,12.420151744211768
4600,12.461477702952775,12.444975260588619
4700,12.549422301445611,12.511053301608728
4800,12.563556491030608,12.583112746777514
4900,12.627439438993141,12.625830210757606
5000,12.701148480851584,12.72277523795089
