miliseconds,s47,s48,s49,s50,s56,s60,s63,s64,s67,s71,s72,s75,s80,s81,s83,s84,s90,s91,s130,s137,s149,s153,s161,s166
0,0.002384740890394499,6.256212402530156e-05,0.0,0.0012812515802731158,0.04424227192786408,0.11378704387483388,-0.00018221810932698873,0.0,-3.972062230352313e-05,0.004239660231341776,-0.002654635783444462,5.840213499227327e-05,-0.004285064950937288,2.9840719766201402e-05,0.0001021312498954198,-0.00042144971511510636,0.00032861012353676796,0.000818078491139456,0.0,0.043182018228327665,-6.331778154812498e-06,-1.686102704765225e-05,0.01619614289649078,-0.0008034849375848455
100,0.0028718092312775166,6.517150856376691e-05,0.0,0.0013131486073756982,0.04738592542610755,0.11765088651284074,7.242046149748952e-05,0.0,0.0004253626313775092,0.013965338592588951,0.023814652723472295,0.0001612845217214783,0.011920938342371968,9.434660299142371e-05,0.0035214741597456357,0.00047755083705601373,0.0005409620866259814,-0.0006622499217234889,0.0,0.03899617301704913,-6.968346601905117e-06,-2.218117361406277e-09,0.01602353498708767,0.0699350044212827
200,0.0028622581722904166,6.419018611072619e-05,0.0,0.00131125970590253,0.04479224860794604,0.10544745259278372,0.0004497573246949063,0.0,0.0006957330976384518,0.021948504550433616,0.04491551611167154,0.00033887726459866786,0.047704886738924944,0.00036789685638271636,0.004784340663905249,0.0017966698792194064,-0.00025093653356778723,-0.0007670006373041937,0.0,0.05132255799537962,1.0651609829658749e-05,-5.139742565646684e-06,0.021527221479651446,0.10291907593601336
300,0.002851357162167635,6.419189486292093e-05,0.0,0.0012638616106789484,0.04408480915977557,0.09623806965121474,3.883733708787975e-05,0.0,0.0010142538187414073,0.03934821403046071,0.067397809262571,0.0004419371575751359,0.07102611401285663,0.00040101414094990067,0.005471768505931479,0.0024556730425666015,0.0003335725137142316,-0.0015399158886538178,0.0,0.05909000808386954,2.2051581528535886e-05,5.887967126512569e-06,0.026516053764206765,0.12677628309456992
400,0.0028487227660209755,6.341894550442579e-05,0.0,0.001254925036073187,0.042615124651506825,0.09234600946548821,7.215283174382584e-05,0.0,0.0012914322912814273,0.05081568734743401,0.08571492813450944,0.0005868450471365485,0.08558318081744147,0.000638036826535297,0.0057870691131799,0.0013336823154310746,0.00036157071700569806,0.000616496456723225,0.0,0.06456223218259918,4.1352163798931057e-05,-2.7711462563008616e-06,0.02997611037892242,0.14698233645602538
500,0.0028452383926938422,6.176892610774264e-05,0.0,0.0011995726734380324,0.042121524777014835,0.08625596924922713,-4.404579998177039e-05,0.0,0.0015623987363783051,0.05775234098472426,0.10426443134453398,0.0006593066261741254,0.0976116260956755,0.000713902516591068,0.005955486221819422,0.0024048935259369337,-0.0001632669282267894,-0.001686034888342964,0.0,0.06809442961973396,7.66023594742723e-05,2.1909645795547136e-06,0.03293165106458835,0.16129137314242717
600,0.0028330608340015424,5.975674286872185e-05,0.0,0.0011942531630609605,0.04327152654589274,0.08521055576370493,-3.2601904147035746e-05,0.0,0.0018872644796934458,0.07298437844960477,0.12014455822941163,0.0008353926760253938,0.11484561865216318,0.0009247823240931451,0.006009882920375465,0.005573053098048112,0.0005010551748403705,0.0011487373043885332,0.0,0.07062779024493583,0.00010430099632062995,7.7275585025993e-07,0.03571846995379767,0.17206773231814598
700,0.002829144004722362,6.008134801360646e-05,0.0,0.0011730838694978777,0.04320051665623527,0.08361878456362368,-8.631746598489375e-05,0.0,0.0017799407750121122,0.0779893841646189,0.13529517113058187,0.0010109135887629618,0.14825243876193597,0.001047920837079565,0.00615699229340251,0.0071012668765046815,0.00031324239926121,-0.0016799274961348868,0.0,0.07210121175752711,0.00015311911306741576,1.1159593144741837e-05,0.037515816091719764,0.1810969438380309
800,0.0028072835171358774,5.961808566363273e-05,0.0,0.0011944830288370214,0.044127226089099504,0.08095191503989585,0.00025844140917794217,0.0,0.0023392012334666154,0.09337893415610422,0.14984822084391133,0.001239565154909566,0.16768763058728284,0.0011979444509141082,0.006178975277069391,0.005252923331306558,0.00038376508269377077,0.0015325922923211032,0.0,0.07316637644910748,0.00020469888616083716,3.298285044834025e-05,0.03905917130668914,0.18528610877785556
900,0.0028042439166485974,5.9654414763632424e-05,0.0,0.0012230249133361713,0.04428943941327965,0.08185252020253249,0.0005083465167988086,0.0,0.0031062625896292662,0.09953829437865201,0.15965135873430875,0.0012627422950684684,0.1691261395130913,0.0013784707157297538,0.0062907233838786865,0.00820078201678253,0.0005759837624640862,-0.0010083265162442582,0.0,0.07381295514826354,0.000252348604295246,5.34663586181867e-05,0.04053388862389581,0.18869507550857095
