miliseconds,N_Tumour,T_H,T_C
0,0.010057239467361078,0.6098645332064067,4.457934300033479
100,0.010734900448621494,0.6636283068873184,4.530206000459278
200,0.011158152115044855,0.7227777698094363,4.52968108865203
300,0.011334066901046325,0.7849133430258884,4.5996664429059
400,0.01168462324077537,0.8530467074514733,4.7152630222244385
500,0.011594048227835678,0.9442404004497784,4.862580525911821
600,0.010826025142977458,1.00685667854987,5.051879341910771
700,0.009953921246081332,1.0797373166395428,5.340584736866573
800,0.008762889394039313,1.1296522411206633,5.511452515713641
900,0.007166462605936435,1.1698442813878092,5.771631426067882
1000,0.005800216633507257,1.1934215171756344,6.111814609061073
1100,0.004261657807224096,1.2020186346023536,6.4389613827288406
1200,0.0028375511835850237,1.1861700830962962,6.7111558329932235
1300,0.0020279661484773103,1.1540785535925084,7.069923566405568
1400,0.0011395995227909525,1.106946888321964,7.3961547862031685
1500,0.000688546124043692,1.045316038451299,7.56793065926203
1600,0.0003051554092644912,0.9963223139099389,7.849047373385726
1700,0.0003642652737086905,0.9558499180353928,7.993994692036541
1800,0.00018024627015727284,0.9148980423439568,8.11949012714768
1900,-4.265878002665607e-05,0.8783755302938812,8.225591104161806
2000,0.0001300334824115102,0.8538801931960424,8.398525498900087
2100,0.00012988957142658032,0.8022260316499891,8.401727461016938
2200,8.369682388307978e-05,0.7844209176678443,8.400010559419162
2300,3.462466044242433e-05,0.7663638908076851,8.47810054571397
2400,0.0001934470741328547,0.7229433979034915,8.403928416189073
2500,-0.0001340938651751101,0.7128509786090588,8.369771900636357
2600,0.00019879890711575483,0.6879380132698534,8.378525259588336
2700,4.6751019494914594e-05,0.6726083122146816,8.269867660806602
2800,-0.00013373845654691879,0.6472439588518097,8.146645029621197
2900,-0.00017204122387083398,0.635557847548914,8.157815525370426
3000,-4.380848714526997e-05,0.6190989188452508,8.033424421241905
3100,0.00020287299616571997,0.6134127817269647,7.925880406894292
3200,2.5111666877884163e-05,0.6148390096654915,7.857612176964447
3300,0.00020622304376137179,0.5987332684156575,7.707466447284584
3400,0.00020111503986393784,0.5927560329269812,7.620279124784066
3500,-5.8099943692187024e-05,0.5870374595538628,7.413230371869775
3600,-0.0001903803989725931,0.5779441849797109,7.353386866802046
3700,-0.0001012474219462103,0.5729598266510498,7.185060357740093
3800,5.299805392405755e-05,0.5668297862870041,7.137590129057659
3900,9.08780864518135e-06,0.549228296910165,6.9798854330095255
4000,-6.199957588095176e-05,0.5574597076669827,6.833356244362901
4100,2.414299694365032e-05,0.5506206222305144,6.800547192745309
4200,0.00016371219231510882,0.5286550592116597,6.681528534701052
4300,-7.436318234853623e-05,0.5410217065659042,6.548481301262357
4400,3.89959869265795e-05,0.5310363608305579,6.4669373238314956
4500,0.00010797024048031621,0.5207048723284186,6.304876138294553
4600,-3.3182147276321276e-06,0.5290359601892612,6.236175967377014
4700,0.00010226432932414906,0.5241038226715816,6.1599443259452
4800,-0.00019634128878693628,0.5186120920829983,6.01918046911201
4900,-4.3362046618067306e-05,0.5104280636081283,6.003312848655794
5000,-3.983993246179405e-05,0.5255190956464603,5.840671124066296
