miliseconds,HR,G,ERK,PIP2,DAG,PKC,PKC_a,GpERK,bpERK,barr1,barr2,G_a,HRP1,Hbarr1RP1,Hbarr2RP1,HRP2,HRbarr2,Hbarr2RP2
0,0.07924079414164263,57.001058678242714,4.24849205384924,0.9901835906297162,0.009001315510357426,8.841452823108565,-0.0009809076968638254,0.020828246949910725,0.008993882813976495,0.8581183336221184,0.48336094633491805,0.009870628995764057,0.0002646564826231663,0.0002912461990506007,-0.00015853028509314247,-0.00013166988454968432,1.730430955585461e-05,1.3881290170127196e-05
100,0.05926642441383937,54.69303408240518,4.231025801879779,0.5477063688976634,0.45369117513395,8.829838887104057,0.012012066797569304,0.021624195747696362,0.01419389759764574,0.8560993094048099,0.4811999867010982,2.2376315233202346,0.011852088471805947,0.001342026354400545,0.0009003232493316837,0.0061325097611044654,0.0006626162694938066,0.0002800764291097004
200,0.04341136627372055,54.031485500172025,4.211056936812608,0.16575426038500157,0.8359221442496096,8.790629916808168,0.0534098523521265,0.05383714784994125,0.019138756374568026,0.8530905264383339,0.4788614229778195,2.9912143872566443,0.01713256972367489,0.0046360452788589464,0.0025200582581987154,0.010170694721073856,0.0010800369716770244,0.0006618000198812333
300,0.0324473117671987,53.99573215154407,4.158744355484344,0.06550782330371371,0.9401997386062045,8.73944791170107,0.09952111045203442,0.10241789943660999,0.029392283239771465,0.8496964626443714,0.4760341404625013,3.013865620677025,0.01872268729166763,0.008836247157925874,0.004757185865584871,0.012913569466949222,0.0013035459957427907,0.0009908301452433977
400,0.02388937268700126,54.29960733026922,4.066526706864931,0.039308945455185956,0.9729248990711579,8.700979118930293,0.14985962871446573,0.20137518775361515,0.021693674420845004,0.8450954018923451,0.4724111581029295,2.670161396533097,0.01791161224273403,0.013080205805029966,0.007106441726158476,0.014713819664074151,0.0014549929615308825,0.0015761128196382782
500,0.01838533324060519,54.697960416305605,3.934775187670601,0.04727550617629491,0.9570184262476836,8.663339288276271,0.18555825180073715,0.30360904957256446,0.027081419494982915,0.8411035352070596,0.46990486519803265,2.320239575042639,0.016278548283219278,0.016798085076774327,0.008992513369294868,0.015844619374148727,0.0014813494960015407,0.0025830428315135765
600,0.013216792990640932,55.081332123685144,3.820404297430732,0.04309674595505496,0.9562708525127552,8.632460194341494,0.2160967643698479,0.39571940124129407,0.05018501985204757,0.837612644800378,0.4678015922664167,1.8779125017190998,0.014193585503161882,0.020195970637101598,0.010976673048014014,0.01643412165450922,0.001496058733248177,0.0032957289640286325
700,0.01054513698480322,55.470275178719376,3.7155180926583276,0.056097374671175565,0.9542932674916834,8.608685507172408,0.2395600212787971,0.4793050895255817,0.07335641667825187,0.8350017791955281,0.46552414432478784,1.5520706067969703,0.012177922085897236,0.02320226576434321,0.012234017835212095,0.01678905748157457,0.001451601840416421,0.0036246976461478484
800,0.007803617386674482,55.736828630993465,3.642277232328187,0.05155424431381545,0.951121011442607,8.585089646932936,0.26024077488548875,0.5606636130022292,0.08066665002308335,0.8329764043257608,0.463316874557993,1.2468377473322756,0.01042701327482763,0.02542222949990727,0.013379626748193452,0.01678961009950146,0.0013576027513597494,0.004360534369381179
900,0.00650975504130325,55.994172224791974,3.5514564129762993,0.06395892867737116,0.9330649021947253,8.570564854128493,0.2714733425260643,0.64696319295527,0.10476018633492523,0.830019879814772,0.46191031285550266,0.9342767353624519,0.008636692620842884,0.02731162689685828,0.014378241410290487,0.01653425203368205,0.001306150695436727,0.005087585304589002
