milliseconds,C,M,F,P
0,-0.005217535403569548,0.03275562883157977,0.07840407457577618,-0.445854526347788
100,0.07662283379289246,0.023701053015217355,0.13630600527750736,-1.5506306680978108
200,0.19467060657576973,-0.06436331441412838,0.14711676370443924,1.7629944001710198
300,0.2200380579716266,0.3787836898909488,0.38627946169752697,-0.5404047127434041
400,0.29878622064241517,0.46446305597546855,0.48059745113681474,2.6975734882911224
500,0.2984072809833315,0.116807285574973,0.39994317630473275,-0.5399903603511906
600,0.3372193039998007,0.15093401479293087,0.600733408803544,1.7778440525120511
700,0.3739880489139889,0.06569923249029602,0.6555536303564975,1.5410396315472037
800,0.3885968712426653,0.2792749077867223,0.8324147160684405,4.723314266037313
900,0.40950809513827674,-0.038916558243999366,0.8394160244959172,6.219896151759945
1000,0.4148124335783186,0.32523489952661055,0.9298712193448723,6.1477760243080795
1100,0.4443150749523433,0.04655072746181374,1.1046812767064276,6.422765959029549
1200,0.4270026404137428,0.3674874930132801,1.037536705140453,7.706617834885992
1300,0.4665225953214837,0.16937008142432525,1.224072364281666,5.3819719076274275
1400,0.4674334316778212,0.11754979429719277,1.2352840974326993,9.159631831356052
1500,0.47982142156922225,0.40851520468240854,1.4298143338381388,8.054819017525098
1600,0.5121849563558978,-0.05803650242772551,1.514108906174421,10.896158554766066
1700,0.5227270241321406,0.4044621679021404,1.6212389512821173,12.291839547275508
1800,0.502400503827267,0.1569576132001223,1.6831740879991575,13.353706663390586
1900,0.5589172174321024,-0.04388346788824349,1.727672878107591,17.53825496744935
2000,0.5594377112112381,0.07822409929973045,1.8472484185545297,14.892167582868828
2100,0.5579210790176472,0.2722605872680613,1.9490885078527276,20.904834417088182
2200,0.5960048406389312,0.04995596821577332,1.8459922369654642,20.858991416021215
2300,0.5855328110543286,0.20103939381275357,2.111735718243309,24.397872453133235
2400,0.592652630674586,-0.02048485857715998,2.066515514476243,22.17559596839064
2500,0.6003704923933594,0.17418513107369998,2.191800719706507,23.415968770447765
2600,0.6495466054447137,-0.026159708207882437,2.1990633054599176,27.133025619660348
2700,0.6289628248488965,0.16850774151136688,2.2804170152661,28.023717279954575
2800,0.6703570075785065,-0.05462591614030923,2.468814771143255,32.31301999906961
2900,0.6657291688459992,0.033509357570632614,2.51574648105002,36.63162751260565
3000,0.6826039357814161,0.3726866380079932,2.5970520072427368,34.77985223667035
3100,0.6720707284913497,0.10095904523496567,2.609810995681422,40.252480022565216
3200,0.6907078346390234,0.06710952002832271,2.737954051625824,41.30905159850357
3300,0.6799655770113288,-0.08407212982484147,2.7403965585477534,40.419419161166104
3400,0.6774431574824141,-0.07394581443899054,2.835480514650944,44.20150854793874
3500,0.7029981029910446,0.262285921567481,2.782798887782378,45.76167524711345
3600,0.6772053656832299,0.3663928011096136,2.9783799998558353,51.36278889578251
3700,0.6322173951023019,0.35849934401956696,3.0644976026933715,51.8626229688232
3800,0.5659141175066258,0.302091390932972,3.079784565781933,57.38743362084982
3900,0.5245841807698192,0.5386855415047713,3.0567353820270258,58.16406205980543
4000,0.3899351879582478,0.6687909526012332,3.1030135001733474,62.19737054428372
4100,0.2744689700875583,0.902984048401617,3.19274829693628,62.57494569311261
4200,0.19726175601419063,1.2613334681022699,3.291112993523749,63.16672500658594
4300,0.10927397154536567,1.4559624156377595,3.2545192729588512,66.72582511466706
4400,0.042876002711664946,2.3280995861184115,3.33954032280597,70.57466426035603
4500,0.05182351966384278,3.370141696488128,3.2231781692840933,71.54772044979406
4600,0.010509656151089116,4.6354471507253905,3.1353047851966958,78.1488449653493
4700,-0.0031431467855339776,5.97018980594521,3.1260009349949254,79.42428347742191
4800,0.0005117243530460593,7.562303290402807,3.045734829210595,80.3057593321606
4900,0.001955433475960746,9.981206460125053,2.8446816339845977,84.59799955073291
5000,-0.010284000294958974,12.425214979278202,2.619274050352693,82.31651859562709
