milliseconds,T,I,S,N
0,151.5116721753183,-0.018394453178952375,-0.024701365408213737,999999.9593335375
100,-171.65478384725844,-0.015579896413428187,0.016962068813991895,1000000.0380725932
200,-208.70208006099796,-0.03862063773523732,-0.048097957683602546,999999.9517030934
300,119.54676564537031,0.030986543850780722,0.008716682166341971,999999.9803583047
400,-213.34731404376404,0.027055052099224326,-0.011796464071191408,999999.9483939499
500,-178.61846380477058,0.033447389323502746,-0.046118895302400265,1000000.0030119391
600,196.618945139216,0.02739499644686362,-0.016061493644495103,1000000.0458268853
700,-11.100150508512453,-0.0347621503495102,0.008212231842859885,1000000.0236542772
800,-95.07347236340537,0.02387185886893461,0.000425881933285513,1000000.0477815354
900,-137.88003413119796,-0.008233637752422125,0.01250703212317062,1000000.0192265349
1000,150.52045868542177,-0.014546374728753477,0.028259639020365126,999999.9637713713
1100,285.5626471412373,-0.0038057874597023323,-0.008572506459756414,999999.9768804143
1200,75.51650818266619,-0.032786064666766465,0.026731214524417915,1000000.0174864775
1300,249.83400142653053,-0.009660862289935918,-0.03058559599532554,999999.9795422942
1400,334.10916497732484,0.02875458349970788,0.0477024807370465,999999.9847931181
1500,191.89374615017303,0.0031203145860337895,0.0009427240676321454,999999.9449679591
1600,146.83243315888018,0.04756974863740699,0.0003725504105326523,999999.9382219673
1700,364.9726027082339,0.013171546928788863,0.006443292076538015,1000000.025657554
1800,428.8091743343943,-0.01837809871440765,0.058124300714549514,1000000.0060034969
1900,425.1414514299436,0.006176877211955893,0.036783611671339166,999999.9226423682
2000,618.1685946955685,0.06005699903325721,0.10558421996457995,999999.97653629
2100,354.7063686650379,-0.0038261872423016458,0.08958752911079187,999999.973301225
2200,650.4929119287787,0.026901489815619593,0.1005087526469685,999999.944812486
2300,939.789371154412,0.03629873319334856,0.1091385909193423,999999.9051927637
2400,1045.2163739839868,0.06725889227372601,0.08607337818525766,999999.8493507707
2500,1101.4140587709944,0.03783438545988964,0.09458369794840568,999999.8259353964
2600,1344.8340929869044,0.09078201298941053,0.15751051891183881,999999.8437725081
2700,1266.9091272036096,0.10727363242944131,0.2055541664624604,999999.7863290743
2800,1753.1787814871464,0.1511620642157876,0.25548908989913005,999999.7754252777
2900,1956.4598733505745,0.10783716595864168,0.24742214434915308,999999.7693745428
3000,1841.031343406618,0.19724391879599407,0.3719597193830232,999999.7241658077
3100,2565.8609022932187,0.17436943756852633,0.3383423088878098,999999.6577884849
3200,2686.9290150701922,0.28633021988358526,0.45410440393761536,999999.5613583052
3300,3133.761688581416,0.27627315593058677,0.5457650009944239,999999.5197026074
3400,3411.1228903637902,0.3238500732765751,0.5819050393676158,999999.3654648266
3500,3923.3177159634524,0.4437522464478327,0.6326040836206422,999999.3653705133
3600,4142.126255489534,0.4686384305619663,0.734448788209284,999999.2384240108
3700,4547.204398582447,0.5975757553268877,0.93573344550811,999999.1443702177
3800,5487.877441709759,0.6509586546563223,1.0124825907967978,999999.0078350429
3900,5800.19401651802,0.7680354439045088,1.184623192352022,999998.8786410636
4000,6367.406914424259,0.8982509005416062,1.3646327820839241,999998.7000530765
4100,7382.790422684458,1.072486097330904,1.5179060735521521,999998.5233932531
4200,8039.11654121891,1.2069259533582215,1.7003318750286822,999998.3570526687
4300,8629.369445138256,1.3809162808523099,1.8886938982130248,999998.08545327
4400,9943.086555926704,1.60837604999232,2.1537600815404008,999997.8303324822
4500,10780.024011072921,1.8224606445750149,2.3484509187484557,999997.6652342586
4600,11715.79514168187,2.0158619134570652,2.694188662493118,999997.3792935185
4700,12762.918370931468,2.3395098712790507,2.99264945547982,999997.009936109
4800,14071.410483256857,2.6403879339839236,3.2555581285026864,999996.7287264488
4900,15200.149846185392,3.0041107693313283,3.663912010640017,999996.2858469165
5000,16802.202075053458,3.345406656263926,4.080093175294556,999995.9625936997
