miliseconds,T,I,S,N
0,153.85743889386316,-0.010175253513701858,-0.0325233773488967,1000000.0323337155
100,132.37242330581586,0.03478742860453031,0.014176143294061926,1000000.0045141643
200,41.82834906673881,-3.838352982581057e-05,0.043452114478889615,999999.9640266031
300,-73.97241195103443,0.004381752606678376,-0.04097974253035011,1000000.0250174038
400,224.4738426734049,-0.010588612153132417,-0.04429933658021772,1000000.0330192143
500,-51.596137667657096,0.013357191821844194,0.03475921500434169,999999.9838754406
600,-2.7879342638815814,-0.009504276987961819,0.05329162876279462,1000000.0467080916
700,-152.0638853543797,-0.03174847256378008,-0.026298900947035343,1000000.0385571584
800,-96.97210873461314,-0.012461446937484506,-0.010355538484004166,1000000.0241462868
900,-70.13646814778255,0.01672249201832842,-0.008984452276133504,1000000.0247718656
1000,110.95940737140394,-0.012777271976324943,0.057381994610888415,999999.9589575522
1100,-145.77072611934477,0.036370319180542766,-0.02323675421631597,999999.98730527
1200,-140.70844198780367,-0.03980890525173996,0.02121002750417287,999999.9897487643
1300,37.366596592628255,0.01618471666979141,0.046742058195127625,1000000.0121823628
1400,290.15834897947025,-0.003545246833642382,-0.03168545617531196,1000000.0173993268
1500,-49.69805538628859,-0.021779010757877644,0.018683872080752176,999999.9708705739
1600,68.16416713182849,0.01604097904429667,0.01870589734293185,1000000.0258356133
1700,186.9203709417514,-0.016740721684711808,0.07027212171020164,999999.9467417023
1800,373.3214237770683,0.048300321309465134,0.0029285186864247206,999999.9475299908
1900,425.07426640993634,0.05204567368201076,0.03768881067026112,1000000.0032293868
2000,397.2433947559119,-0.011996055602561347,0.00013830376984132892,999999.9089083291
2100,528.922673001268,-0.0065180615167187254,0.041015664316206187,999999.9805330336
2200,492.8795183360339,0.03294740847299357,0.06691309666913786,999999.9623848863
2300,745.1000100882729,0.021498932453987266,0.12799204381551477,999999.867835371
2400,1079.2470806786068,0.06541536874791291,0.10973363189036087,999999.8397979543
2500,1231.5084660700081,0.09289922517714164,0.18479599979538036,999999.8521299114
2600,1127.3525083003447,0.06411635939479186,0.1393906756757377,999999.8095164445
2700,1460.7931367372948,0.104607472182173,0.23907812702674905,999999.7814768201
2800,1527.6858379353664,0.08468553002798651,0.18722236949544274,999999.7688915313
2900,1989.7797324453763,0.1385474483737176,0.2546821441302307,999999.6948009371
3000,1935.0566871289684,0.18796609567994477,0.2755932304158229,999999.6678872225
3100,2439.8657662222076,0.20247948798703483,0.4251119030115039,999999.6640574675
3200,2756.4770442649333,0.25806382293534147,0.47110216107705577,999999.5468306466
3300,2782.0206788082332,0.2878698115570902,0.4902826701848863,999999.5078593221
3400,3441.800313214515,0.3821379282985016,0.6418788772561644,999999.3879862105
3500,3899.2515859907685,0.4333047207622055,0.6572558671199933,999999.3485463295
3600,4161.345500916731,0.5353575282706868,0.7950697796425424,999999.251067319
3700,4700.35007925878,0.6043938981886262,0.8577182236859592,999999.058553781
3800,5283.604902281832,0.6705087061695078,0.9758140397922822,999998.9348979777
3900,5732.743265328916,0.7737171125305295,1.1266958614671647,999998.8872042544
4000,6511.303398427483,0.8882010717778278,1.271003366153394,999998.637408017
4100,7449.509846555373,1.0441778101721035,1.4799824837844626,999998.543169019
4200,7866.377464207618,1.155255536806125,1.6303189054597242,999998.3521224221
4300,8931.65209113814,1.3964831277418162,1.8504282546104598,999998.1164779158
4400,9841.595515033821,1.5394574435176267,2.113500121521707,999997.8684609114
4500,10927.34330779211,1.7984783094732197,2.4123221165528106,999997.6348057163
4600,11577.13314439502,2.0208611036104376,2.669985881564232,999997.3531149543
4700,12658.063621570498,2.357278767919649,2.999284573307926,999997.0630810651
4800,13952.501135794739,2.5881484029606936,3.2797651793085376,999996.6801744197
4900,15536.396168852707,3.0097842355850837,3.6851966543664507,999996.2786783805
5000,16685.559014530343,3.3540880697571804,4.022675504056671,999995.9380818459
