miliseconds,Susceptible,Exposed,Infected,Asymptomatic,Susceptible_isolated,Quarantined,Hospitalised,Recovered,Deceased,Recovered_from_hospitals,Total_reported_cases
0,1336210047.148776,493.88423267938845,-4.981600346124185,995.6616504742642,-9.307409356532363,2.0075292859687765e-07,-4.253986200184945,251.61251654393024,-0.0029898143402998095,115.69427809147078,2110.7988829509627
100,1336209852.8530772,593.4914530391169,3.058638186779046,940.8588070015641,-14.56392211067919,-2.0863638183903282e-07,-4.985237494575646,297.85939321359814,0.001564097869796867,115.55416480058831,2122.2721121591057
200,1336209768.4021714,675.2723018598494,18.495605342978166,884.4256251618805,8.085704972416245,1.554666927179425e-06,9.42712898675325,324.8547850612853,-0.0037826830765426487,116.01818470945501,2123.3649508341327
300,1336209664.2054205,735.6224278513893,28.74856681941883,847.653661395818,9.786818208740927,8.854545498687722e-07,10.804495339168549,377.1021957791201,-0.006203319120953963,116.00839117558493,2110.823294488244
400,1336209706.976125,804.1399413914945,24.724000341047365,812.6330769405228,17.312190404592553,1.858664569271976e-06,2.8490814784109704,451.00571569295437,0.002802025193858006,116.19215718518701,2111.9152827376142
500,1336209587.3393357,896.6128532073335,39.3688650695805,760.9774880484007,1.0195266612618443,3.189042945917795e-06,3.7055063686030767,465.56830942240606,-0.006345021923192652,116.08517442601071,2123.2243961682757
600,1336209539.50191,911.2036744499052,42.008018004127564,733.3144964943084,26.155351859410416,3.440572184825793e-06,4.2875009605042775,536.3802403833341,0.007154610302016771,116.16917864524383,2124.896592303923
700,1336209367.0928097,1004.6592567934622,52.52357561033922,703.6185441897107,31.163432446017076,6.14482426676495e-06,7.25256362810267,555.7200744288795,0.0010602905711847408,115.84479649211643,2118.046608635013
800,1336209321.589013,1059.8497133189696,62.556550615196166,663.6394234795376,50.73894749009949,5.936684775918126e-06,11.679618661939061,609.0458531791209,-0.0003098605076182069,116.47077204568016,2132.479550714208
900,1336209191.489465,1088.8741117233196,78.55093705775867,634.6287681814384,34.6379270149421,7.0993515246280225e-06,22.999573351286347,647.8835048501297,-0.0029079983733314796,116.63317868724232,2138.831956478361
1000,1336209093.5471373,1152.7060293530392,80.32730995233123,612.5184875129557,54.48117927577357,8.037914293382607e-06,17.75691537683422,676.1626898900504,-0.0023201957298998816,116.05042675944802,2134.523212788878
1100,1336209049.4519327,1155.5778944836864,95.4155251439244,585.0668440709941,72.26802425659218,9.80241674064864e-06,24.87237162206536,721.5666988057897,0.00806851083887945,116.60791469938613,2142.1199588706954
1200,1336208929.111168,1228.5401024163514,101.59027841567098,552.5227394899358,62.37294766985737,9.602591641237196e-06,33.09442922978482,764.5283314704811,0.0038888354598567414,116.80755935363472,2151.051680909327
1300,1336208981.7633634,1245.6676749524183,115.13693359495251,548.47532254084,76.52618265480142,1.0434288632481484e-05,35.284148394983276,794.7750802301045,0.012502278010180001,116.80668086962082,2143.3335912113616
1400,1336208771.5143266,1312.2677131656635,125.19934225518088,521.420148046257,117.62256052047157,1.2325297714322865e-05,41.91871382723162,795.0705259339444,0.004076637746267611,117.02153788540217,2153.345662400215
1500,1336208700.3043501,1378.62650534456,132.43695284167725,506.8866984319231,131.78993734041353,1.2791115475994484e-05,43.657968827882385,859.089524547152,0.008588024162115517,117.0354653799608,2154.7179266557637
1600,1336208688.7478166,1397.9516100204635,143.51992397751025,478.6263439727601,147.91818462930968,1.5297377272096152e-05,51.01878232430334,857.2782165060835,0.02143850072865009,116.6182302111447,2162.9578182704618
1700,1336208540.2218466,1405.6773148613483,141.8423077870205,466.92937108508096,157.38364627876368,1.5169497629739209e-05,57.95781925564108,916.9532026624923,0.012544299204904798,117.44570304474425,2176.3647450982453
1800,1336208467.353571,1479.6218392500866,154.6652335238303,443.1679868812047,170.71892174250962,1.757724837611191e-05,65.79487366770404,927.5908024703799,0.016220262579113773,117.68813316269488,2175.1839573195466
1900,1336208395.389781,1509.9752793019882,161.10629761299518,434.3915764436897,192.3560664835799,1.9275525102403753e-05,74.16220531865122,938.9292915735383,0.02586492570782357,117.9743790963226,2195.7327515482702
2000,1336208288.1481464,1530.7958082010575,169.89710729892155,415.54369526855174,218.46698321376815,2.0563727063005626e-05,82.53664153929435,992.8948043710964,0.03641474437132021,118.03161869118928,2204.4806669142226
2100,1336208279.4149377,1546.3479108455363,187.4388689695723,408.92368333070897,214.56061745278393,1.9838762104977587e-05,85.61523904074858,1011.6650178543042,0.04046310370517221,118.40196758917384,2209.054638704401
2200,1336208123.8696308,1577.688461154002,190.18994019678308,389.63520580151385,243.97682732825237,2.2031947617333865e-05,94.76726355601136,1052.143502343097,0.042285483386792146,118.09383284464522,2217.4721761715623
2300,1336208072.1242363,1632.6388069692025,197.16167962566163,384.74914953153615,279.56124295761236,2.2475250280958753e-05,109.56397440237359,1081.616445199032,0.04661141086369485,118.97289410166178,2224.6267191183147
2400,1336207968.0123804,1610.7738490281222,211.95013051407756,367.3385233714185,284.2576843750431,2.4467140436103838e-05,114.771441206522,1085.7688499027265,0.0530339681178284,119.14659524532378,2240.5302090817636
2500,1336207962.3612437,1678.664983859852,219.50621888600838,352.88205006255805,325.1976871420117,2.6425606172787714e-05,121.32364308752162,1094.3247495079727,0.06383567017802427,120.13464333049643,2236.117835038511
2600,1336207805.7656534,1671.5277485791057,215.9587089450058,360.86084977764847,360.5893992584082,2.686414788373122e-05,129.02099503435525,1141.4344877432611,0.07233390211877083,119.77359628441062,2250.008173312697
2700,1336207796.2184591,1721.5278082680388,224.27069460377865,337.84111034727727,377.47189266615135,2.8383850273294602e-05,139.11130386983208,1172.3114811009123,0.07943817559522157,120.570405067393,2258.539894336698
2800,1336207728.5350735,1761.0729302224424,242.24086229845003,329.79096347659964,383.501328387822,2.958079910226944e-05,159.36856319452053,1169.097540513236,0.08192183473552138,121.33029502222688,2283.197333003742
2900,1336207569.2703252,1793.3125541332392,238.66780623897597,327.69432003684005,424.9775820609984,3.0466071095731515e-05,163.45938172992516,1194.4476875598064,0.08503606559799341,121.61849915333981,2289.5573559297754
3000,1336207554.8914375,1764.2265474869105,253.6238604890097,314.1657461421916,471.14091592136793,3.054640398181622e-05,181.90530092327438,1235.251536182418,0.09450932766219025,122.7198614272871,2293.824550851215
3100,1336207445.3981633,1833.1283716317553,252.84378141520497,315.21211384875386,503.3715028325672,3.289293868569376e-05,180.24464824988448,1233.0131293379848,0.10758356291810041,123.41691961757678,2308.725575191992
3200,1336207278.0802386,1842.3215976191009,258.1080267568268,316.683679412607,512.9069555089299,3.521440085440874e-05,190.89310779983123,1257.461077498153,0.12846493561557806,123.3349438799591,2325.3948404213634
3300,1336207314.5342486,1852.099259614965,264.2681130256528,297.79227435445114,535.7396295623097,3.506616734473426e-05,217.1475066265521,1301.2900556567308,0.13662756653709693,123.91759193910914,2329.154783387368
