milliseconds,delta1,delta2,notch1,notch2
0,1.0055517096744526,0.9896180771941219,1.0070735364551557,0.9912893089708132
100,0.9005841403845525,0.9044690657128827,0.9886973363205245,0.9862698811481474
200,0.822899998780895,0.801911676075651,0.9994894253214388,0.985908594797496
300,0.7398726757572476,0.7479323001765673,1.007274860328217,0.9840701982347758
400,0.6840420026292675,0.6686720634125095,0.9934247489143764,0.9913692264532459
500,0.6033426986437952,0.5958720886480791,0.9824581361041225,0.9816976594516447
600,0.5453284041158533,0.5580365481255809,0.9797625918136559,0.9925167573682186
700,0.4902643745886421,0.5038063274004544,0.98345882122973,0.9834251044828997
800,0.4618866858338501,0.45783092780545626,0.9850981577044956,0.9904433852750721
900,0.40463595193984436,0.40413347053874704,0.990238240549292,0.9829412804336023
1000,0.3801410407238222,0.3639837556962363,0.9723907349098068,0.9839051974284239
1100,0.34366547080302356,0.33963653049749926,0.9606036193470964,0.9733329855395689
1200,0.31157669509368935,0.313779620180498,0.9556745069199908,0.9626927389361625
1300,0.2870219925086691,0.26517675976466715,0.9633578774647285,0.9466459798121659
1400,0.2548746350944408,0.25133908161336305,0.9583121223575668,0.9420079835521463
1500,0.23205652194594126,0.22286248339788461,0.9518090329028481,0.9425896595985687
1600,0.2063961261694281,0.20671646883471542,0.922520055972367,0.9282554781004082
1700,0.18786834007014402,0.17858195925760365,0.9140430338444329,0.9181361250700543
1800,0.17316663953425976,0.17647575217767364,0.9049034799919615,0.8960389396894258
1900,0.1530501477522684,0.15780783831561818,0.8932430510309453,0.8917226035868765
2000,0.1375845228608415,0.14458127420516978,0.8688027439847754,0.8635860709217993
2100,0.131624464563461,0.1272673471418128,0.8493948418350383,0.8538772563564551
2200,0.12771992927720038,0.12823106235977574,0.8347167517099202,0.83148744396171
2300,0.11377585800171433,0.11755427799862368,0.8001275816513159,0.7923598160738161
2400,0.0948432744889669,0.10290941841310601,0.7703138733220256,0.7782234627616719
2500,0.08751338303383309,0.09510387546574064,0.7519919743078626,0.7386797305184188
2600,0.09842543198449738,0.0958302416578234,0.7189180081513995,0.7128720416841884
2700,0.08000042297667058,0.09003540570011506,0.6883934315254423,0.7035576025193588
2800,0.08600108498390899,0.07035986070653852,0.6636597662501149,0.6643768084731982
2900,0.08092131180933788,0.06475737801484159,0.6387206231113249,0.6282427059342016
3000,0.07747320967864745,0.06354207055322862,0.5915835088639094,0.58874442304117
3100,0.07414751553159467,0.06528919677046593,0.5712990498806366,0.5760435864713809
3200,0.06456019005969194,0.04860033786414018,0.546478806631638,0.5293290785013732
3300,0.052116011729276795,0.05157412186867382,0.5219270852589685,0.5208307794887643
3400,0.0622315904933041,0.06650071329953722,0.4912219748229848,0.4845799149112114
3500,0.05828277940356287,0.06439818649426231,0.44782700541055465,0.4758841619948444
3600,0.05826497928423076,0.041734980072927585,0.4337807215827879,0.4534231210705896
3700,0.05376550166385652,0.06216020363310782,0.42678789175409304,0.41503229756398763
3800,0.044458538973678845,0.05593608329422368,0.4034544625891532,0.4133841888029299
3900,0.06389651285663674,0.05495700652709665,0.3724912000181846,0.3948729559270794
4000,0.06431147971344886,0.06296903869496857,0.3594076955183883,0.3611712130806138
4100,0.05901941737697333,0.04814264415350213,0.3495666258101242,0.36138889093058835
4200,0.04927604363433413,0.05552545198035169,0.34465414464120575,0.3442673975548261
4300,0.060645963142505324,0.07136364617676119,0.33371680629311723,0.33436622882528183
4400,0.065430142397218,0.06616188196258252,0.32487006096727444,0.32629796233529634
4500,0.05657112178580072,0.07108623162039682,0.3283563383681622,0.33458266931597086
4600,0.05771905858207861,0.062356418546005536,0.3168912497845151,0.3397855449828894
4700,0.08049596112160118,0.07433072529640514,0.31869586228403857,0.33489147995382945
4800,0.08212451414896739,0.07225353521354932,0.3164997628564512,0.3270186660838349
4900,0.07143954288220801,0.06833712694464732,0.31243893069628403,0.3292247421970514
5000,0.08548761990355361,0.08348589801213735,0.33568989377489,0.3275332088372071
