miliseconds,MP,CN,C,T2,T1,T0,MT,P0,P1,P2
0,1.7391773994209496,0.4917931876851763,0.16642626128672464,0.5009638907339151,0.9268913248415549,1.0716643919609743,2.9518713257309104,0.5365568647357857,0.48724395303751267,0.2949005107793193
100,1.7492720982327887,0.49491066718049515,0.17067314859293636,0.5134565102589361,0.9382915921448353,1.0841001248889721,2.986411010271129,0.5440076197406164,0.48990903530507046,0.30131943396592165
200,1.7633067657776462,0.49814782036747474,0.1753670781888497,0.52039995557191,0.9642289444920238,1.0995183955670589,2.9906231102214864,0.5495350838113067,0.500014976676444,0.30616662472040396
300,1.767026063234096,0.5012926469494575,0.17911841709313442,0.528183382712954,0.9772507281071724,1.1283944669323922,3.004116808482045,0.5496578698698292,0.5060963776612772,0.3112091050834613
400,1.7789979024394942,0.5049990046238972,0.18469377828577774,0.5443262364591779,0.9777331114681526,1.1306111333427065,3.0509562826242984,0.5543869057711218,0.5061755656096208,0.31328967376366296
500,1.7979958551138198,0.5097075927936793,0.18901589716035483,0.5579671209324513,1.0035510168804795,1.1518474709922615,3.056008781616482,0.5637068130856635,0.5169558068367465,0.32099665021593804
600,1.7897811154141232,0.5143955640587197,0.19376765442291796,0.5680242567037402,1.015569945112102,1.168928009831609,3.097030180311056,0.5683018672303138,0.5153171617456271,0.3225516639218357
700,1.8003511224897206,0.5206235401517522,0.19872909068015546,0.5837808425826176,1.0343976336977418,1.1844596916809966,3.1208212304464196,0.5751951613843272,0.5238217153019762,0.3282365171747573
800,1.8262718315329203,0.5254805455140711,0.20539684166543315,0.5990881198434324,1.035727227439478,1.2017236889913117,3.1615695056446493,0.5789208115516284,0.5257763547654173,0.3317750821931164
900,1.8417116759468706,0.5301500410968821,0.21026905382334116,0.6133339568458698,1.0570931210874024,1.213995395819963,3.1552988128235935,0.5838766382191518,0.5367022948829342,0.3372657227898832
1000,1.8350322831312382,0.5371040870818582,0.21606766002794822,0.631493773881686,1.067080913177976,1.2374682775277819,3.180697688395946,0.5882483111346672,0.5368406181977388,0.3410353170848333
1100,1.8431746565948455,0.5422435415076503,0.2213809526725934,0.6454431071917798,1.09070447295713,1.2494475312722255,3.197880656884646,0.5885409449417626,0.5443668250085849,0.3401531764117948
1200,1.8499791740381764,0.5478785567677131,0.22826005310400632,0.660950124051309,1.1051288583141785,1.257058880045745,3.2277782871755925,0.5986248120984897,0.5485187762400512,0.3474681032207159
