milliseconds,IR,pIR,IRS,pIRS,iIRS,Akt,pAkt,mTORC1,pmTORC1,mTORC2,pmTORC2,imTORC2,mTORC1_DEPTOR,mTORC2_DEPTOR,DEPTOR,pDEPTOR
0,49.95834155218598,-0.013776911591705212,100.00150886222701,0.0018749887743492052,6.613156436215664e-06,99.99755169262235,0.00530952240226112,248.66688340868117,6.827852646958559e-05,197.5296457887185,-0.0006542333807255187,0.0,1.7297026745013881,3.4417525282066004,347.43416982612916,0.00017707978348994717
100,49.96801888286781,0.053293787604351384,100.00633109165013,-0.00579058485515451,-2.6173038302663915e-06,99.99789989143974,0.002672463804333073,240.74473696245911,4.686887771466782e-05,155.55026297681712,0.0014181531352238797,0.0,5.722766031009041,39.37481206735114,300.4919057471649,-7.395324266675384e-05
200,49.94303821830757,0.032922639087368574,99.99716905460589,-0.0075329489865386115,-5.95356777753901e-06,100.00179093641626,0.003914985125810745,235.64136984164608,1.1776885321555579e-05,130.56529168155365,0.0022881146282688843,0.0,12.27379025678157,70.01299755172212,263.66313451954477,1.1809962474752697e-05
300,49.85063110249307,0.11398191203817323,99.99254745248699,-0.004070215061102812,1.470825233142786e-06,99.9961744023805,0.0038135223340209196,226.7245251333021,-1.2636280127693913e-05,109.42815546179682,0.0020963685970488153,0.0,21.80532100942355,93.85878156855699,233.4547256662386,0.00013768466550941708
400,49.895784131921026,0.17745334627354337,99.99998771604008,-0.00402985184076245,3.6579980539105786e-06,100.00207679588664,-0.004116347278608287,221.6813315706922,-4.6897094669382564e-05,93.68365114414644,0.002308898952164824,0.0,26.00749945682804,107.24279096881187,218.7035912581462,0.000252974453717117
500,49.78823222756455,0.1392656932839824,100.00098208073462,0.006981667399057575,1.0916042582941153e-06,99.99524188736689,0.00017531429655020798,217.18099084188466,6.687348445430367e-05,77.43861220127734,0.005268254575397342,0.0,30.2955617688402,119.13786429076087,206.500769721189,0.00026065432685980726
600,49.78391154024488,0.19415797811855376,99.9973040646483,-0.0024691374338660504,-6.663457896229706e-07,100.00286107525311,-0.003740306144633109,217.50683902163993,5.0233349580366924e-05,72.16309086710199,0.005702514970155449,0.0,33.556657015098445,127.36861585603643,189.02706720076512,7.549754993060107e-05
700,49.77614065485363,0.20058825522164914,99.99999795356273,0.003693135579333194,-5.213903808643514e-06,99.99318572618509,0.009159082533057451,213.6858295575544,7.842606664272469e-05,63.5494462898568,0.0074036990833543205,0.0,39.80807925861248,137.42893863723688,179.97453647276848,9.154155142526067e-05
800,49.76239989520216,0.24369743517292233,99.99546054956895,0.007279311953606455,-5.193506318423822e-06,99.9946866574274,0.009490368263705229,206.4130041375182,0.00013321331908908504,55.48185650684383,0.008967772349102652,0.0,42.60745757114474,143.06334504577245,168.364693658799,0.00034250655704232944
900,49.64878335747642,0.26503051930239624,99.98643481964986,0.011634774177637195,6.501470189570318e-06,99.98996363976356,0.006743198046879016,204.57860376107692,2.020349470807171e-05,52.29189846419911,0.01123271325126781,0.0,46.60828157254586,149.73617747739382,148.61152090234228,0.00029301595520829347
