milliseconds,TGFbR,TGFb_TGFbR,TGFb_TGFbR_P,I_Smad_TGFb_TGFbR_P,Smad,Smad_P,CoSmad,Smad_P_Smad_P,Smad_P_CoSmad,I_Smad_mRNA2,I_Smad,Smad_N,Smad_P_Smad_P_N,Smad_P_N,Smad_P_CoSmad_N,CoSmad_N,I_Smad_mRNA1
0,1009.9141065895484,-0.053504782316124926,0.04573195002896241,2.3187746998907903e-24,6999.625092111754,-0.007879683661959277,11999.17342791581,-6.344988625886901e-12,6.70311051925901e-07,-4.791604153449918e-19,-3.1454823502645447e-21,81999.64202547376,9.378605183576861e-15,-8.647656073940686e-05,-3.76838979206231e-07,135000.79092424986,-1.3292976514226233e-16
100,1009.8719468882462,0.13591501237261744,0.023822864254408264,-2.1867902671500203e-24,6999.4009094331495,-0.0017363711185979216,11997.5700734409,6.814633492811391e-11,3.3455642064728453e-06,-4.478153907890225e-19,-5.473780586188222e-21,82000.31127335821,1.6471656987384378e-14,-4.6669772311568054e-05,4.127207749931398e-07,135002.3273947949,1.1025132483666194e-16
200,1009.694822468131,0.18791568310689438,0.06800297277416796,2.6397281004634427e-24,6998.393488419996,0.005313654442095299,11997.031544298836,-3.0116470886927054e-11,-7.422057755652437e-07,-5.488973318439734e-19,7.718230910272324e-21,82002.24109439208,-2.0201688886958883e-14,-2.068349497723039e-05,3.719903299834256e-07,135006.96442422058,-1.2478123482752057e-16
300,1009.833451953194,0.229804408789387,0.02555743499941947,1.130715279272493e-24,6998.905382314272,-0.0008281937878137746,11996.817490471329,-6.565815033783742e-11,-1.7046293869484122e-06,5.394895874587856e-19,3.740564887327502e-21,82003.25497314133,2.8021914831880494e-14,5.58207511294626e-05,4.44718926774202e-08,135005.67123638393,2.8650115148603323e-17
400,1009.5540999132709,0.39454287270901583,-0.042695658193402125,-1.9567409105835e-24,6998.666044420637,0.00785276434319297,11997.011251801629,3.1072284958232255e-11,3.772300658513697e-06,-3.6900049626184125e-19,-3.3335828568792022e-21,82005.03344570502,3.164772337663041e-14,2.155283359538865e-05,-4.640149440834718e-07,135008.2595751878,2.3781212932637173e-17
500,1009.5128773961535,0.3504263647835532,0.03895541992407985,1.523696677134004e-24,6997.990159023875,0.0012462073229450006,11995.444839502656,-3.796450480722959e-11,-2.7780825793594873e-06,-3.9084598236450486e-19,-3.0928199062982454e-21,82004.52615808234,-1.0136811585810555e-14,-8.035198826872013e-05,2.2808936130194145e-07,135013.45519609933,-1.3181521906782845e-17
600,1009.3788055435591,0.45723565963503643,0.005842947517386399,3.3299803907577016e-24,6996.451705454632,0.004106317622990338,11992.91031701512,-4.014532657289077e-11,2.9051883411113803e-06,-6.463791979544799e-20,-2.9504263837598154e-21,82006.47998999455,-1.862941943726984e-14,-3.416603377040703e-05,3.446072425266438e-07,135016.82977524065,6.730301621118245e-17
700,1009.3836862705334,0.5270652110985065,0.07816124529447815,3.2489514401435535e-24,6995.927237411461,0.0018381601233183535,11992.123217460019,-4.120423365496964e-11,-5.1957253718257156e-06,-3.341065564863234e-19,7.896386703079275e-21,82007.8106484096,-1.0724487755363248e-14,-8.747867735036519e-05,-3.376168965608065e-07,135016.1477421727,7.12614911622604e-17
800,1009.2247619947906,0.5711378896332179,0.04833288109473699,-1.1576032162240222e-24,6996.523151976548,0.00325181017738505,11991.271375529079,6.181584707201244e-11,1.5366151088982655e-06,-4.010734055137148e-19,-7.602360645723254e-21,82009.20060942491,2.908823897525893e-14,-3.6252505399989415e-05,-8.016400689347465e-08,135021.60153805237,-1.0327282700761952e-16
900,1009.1531884561608,0.7306067065300323,0.1287830135437235,3.021343201786998e-24,6995.037892271606,0.008486407382076358,11990.022495439869,5.624214215863389e-11,4.504472398692504e-07,1.0077148642508478e-19,5.154613600723755e-21,82009.45275226833,-1.2340150045382246e-14,0.00010026642462479822,6.601785979177872e-07,135019.8281939859,2.2226708979876604e-17
