milliseconds,TGFbR,TGFb_TGFbR,TGFb_TGFbR_P,I_Smad_TGFb_TGFbR_P,Smad,Smad_P,CoSmad,Smad_P_Smad_P,Smad_P_CoSmad,I_Smad_mRNA2,I_Smad,Smad_N,Smad_P_Smad_P_N,Smad_P_N,Smad_P_CoSmad_N,CoSmad_N,I_Smad_mRNA1
0,1010.0869725373303,0.058775577567826615,-0.01134128413549619,3.108697467078588e-24,6999.957349507978,0.0038614093941498426,11998.526801385065,3.990886614836377e-11,4.26163992211477e-06,1.620987458768292e-19,7.978757022840328e-21,82001.06669432533,2.438359759822646e-14,2.761807680393978e-05,4.87801850654327e-07,135002.76271126117,1.5573808740508017e-17
100,1010.025569307337,0.08173212398878837,-0.0006501629054001441,-1.709111027373694e-24,6999.3444058004325,0.005857274111552798,11999.653273382439,-4.5775646851133866e-11,-8.299577801980106e-07,-3.455803374998965e-19,-7.121544793590985e-21,82000.58931866712,1.799206070340476e-14,8.230677308963055e-06,-1.574357322432896e-07,135002.2488303461,-1.2364295913505813e-16
200,1009.8885047004023,0.11144334930453173,0.03486185336722996,7.995784525135288e-25,6999.066580966698,0.0040128085120558305,11998.27913922078,-4.061456312484094e-12,2.3104552670217804e-06,3.89955734465428e-19,2.0077741050701142e-21,82000.99625833884,2.1693103155745342e-14,1.9106585020966017e-05,2.4619575734968753e-07,135002.48529433706,1.0880922423338867e-16
300,1009.6842407580313,0.3147020835790569,-0.021556700714664128,2.0729023215355862e-24,6998.722255473742,0.001307611654725431,11997.726911837277,-2.716971530327423e-11,2.4662345406173796e-06,4.832137732810131e-19,9.127626633138714e-21,82004.01803927466,3.312173915662531e-14,5.5191870642864214e-05,3.1953461070379914e-07,135006.0320201927,-5.1431224732732674e-17
400,1009.7330579482621,0.32544282950326137,0.06235028097369425,2.173705616182196e-24,6998.604855798905,0.008192304972472426,11994.435753361564,4.562391314805283e-11,1.0260982975597048e-06,5.557540429745722e-19,-8.091164686781694e-21,82003.96542374634,2.2170092982273353e-14,2.214961030188322e-05,3.731618528441633e-07,135009.41356846257,7.91934791139766e-17
500,1009.5114890758308,0.36999899541663456,0.02916598526116198,1.1942607063138869e-24,6997.602906955948,0.0005769619020839997,11993.749332962901,-3.109474523108927e-11,4.7775213611291245e-06,-6.040737734714042e-20,3.932105618294625e-21,82005.03071112174,-3.0908230577676663e-14,4.526634431334181e-05,-3.8065785280056696e-07,135013.09437810985,-1.2217697185606194e-16
600,1009.3416037279374,0.4980836210084942,0.03647116588553602,2.670567617705955e-24,6996.8817705880465,-0.003825761019396165,11995.056789853848,4.615693050285463e-11,-2.2481490145215756e-06,3.778107044142739e-19,-3.9333869296101164e-21,82005.82395362003,-1.4234562051317868e-14,-1.777634222605525e-05,-6.168236229410266e-07,135016.63384195292,5.378402290860678e-19
700,1009.2622750271703,0.5500814324143091,0.041531344703541716,-2.6530163813643635e-24,6996.970117946369,0.0061206193169082036,11991.829254123695,2.0613598367693266e-11,2.212876516724513e-06,-4.60331319338146e-19,-5.8110202028320175e-21,82009.29406881199,-1.2987463877073587e-14,-5.0354457719849476e-05,1.6567457548569737e-08,135014.64306675832,-7.258586186860432e-17
800,1009.3544589576329,0.5922702152491885,0.11354122176459125,1.1580757973468535e-24,6996.787759776391,0.00017570169018155915,11991.499305316402,-3.162894107041959e-11,-1.7052799194114235e-06,-9.710367062374919e-20,7.780935857291558e-21,82008.24773545904,-2.328246800944176e-15,2.9905346793542212e-05,2.8213637785047174e-07,135021.71688818457,3.138308200825446e-17
900,1009.1375477147511,0.6520258148870317,0.12197298901265638,2.619813028482977e-24,6995.675546671493,0.001056780823361533,11990.84974371892,2.2757349095304288e-11,5.94705093937203e-06,3.6400208946027304e-19,-1.696611530942134e-21,82010.65135129364,3.0276473002653206e-14,4.51677021337335e-05,5.467283575926168e-07,135017.85855590602,-9.235837638700492e-17
1000,1009.1221531269458,0.7376739371570701,0.19201402001786513,1.7771135236012915e-24,6994.384349520516,0.008462925708864975,11990.392274370766,-3.6015592145071063e-12,-1.9345173260710447e-07,1.6854831643531642e-19,8.969746672996991e-21,82012.26628939724,-3.1166364478078435e-14,-4.79091952216132e-05,-2.3282928610706222e-07,135023.17867147332,-4.982479861203018e-17
1100,1009.1558021529769,0.7867714785652957,0.18987204365528415,-1.9688619245413802e-25,6994.514406491827,0.005013106526519827,11987.595928280643,-2.1754975115968766e-11,4.191201197109433e-07,-4.552180790629309e-19,-8.571138456797789e-21,82011.29260803522,2.1602742408525658e-14,7.157520677659857e-05,6.630838630110203e-07,135028.59514270927,6.135435818332135e-17
1200,1008.8427183304286,0.8177084649905858,0.16497568902967286,8.204588502608567e-25,6994.693989846193,0.0015464964004154413,11986.671914033386,-3.764212352893634e-11,4.6166444505281226e-06,-3.578506290964222e-20,-8.525062465714265e-21,82013.23429676252,-1.8359101976728752e-14,-5.6286881691734545e-05,6.071333109107403e-08,135029.42224647928,2.922345083394868e-18
1300,1008.8296234012942,0.9897991622432304,0.2502676797203902,-1.8688524272067915e-24,6993.412046574432,0.0025624370456937716,11985.470396900548,3.2960395661692155e-11,-1.919132325949973e-06,-4.1125486333099924e-19,6.740337748720536e-22,82013.18896154549,1.8518637587825228e-14,-6.232049630139585e-05,-2.9356668067020013e-07,135032.42064773713,-1.234563921232308e-16
1400,1008.7593216540869,0.9516981843301344,0.2824753700677641,4.740685962955751e-25,6993.655054796467,0.014868841809747589,11984.341672007631,-2.979281783563312e-11,-3.2190543197851053e-06,8.844681208832813e-20,-7.475528092851317e-21,82017.02402417225,1.422037459658178e-14,-2.5670416537638728e-05,3.175476531959972e-08,135032.93680738108,2.712691150015761e-17
