milliseconds,TGFbR,TGFb_TGFbR,TGFb_TGFbR_P,I_Smad_TGFb_TGFbR_P,Smad,Smad_P,CoSmad,Smad_P_Smad_P,Smad_P_CoSmad,I_Smad_mRNA2,I_Smad,Smad_N,Smad_P_Smad_P_N,Smad_P_N,Smad_P_CoSmad_N,CoSmad_N,I_Smad_mRNA1
0,1009.8919597986425,-0.014672224926940033,-0.001179396667905836,1.8545910533648286e-24,7000.531902346797,-0.0067180418695560904,11999.065549595174,6.328377725258661e-11,-3.36474010836185e-06,-4.2656784137934313e-19,-6.6024256669892694e-21,81999.05102265163,-1.1416548411921081e-14,-2.759619089642172e-05,-6.39908855254367e-07,134997.54538626806,9.060948418502765e-17
100,1009.8099183918428,0.025275091243228923,0.070412607570267,9.573360485167114e-25,6998.8144373653595,0.0034956376177536328,11998.424993587298,-5.782436771577471e-11,1.5369447104160607e-06,1.1248058397407286e-19,4.7930923687555e-21,82001.52260496156,-2.3932794375283265e-14,-0.00010084373623816627,-2.6415252901902003e-07,135000.46411124602,1.305357177543382e-16
200,1009.7003497284946,0.21816078762640684,-0.03504961962919671,-1.0319809714622533e-24,6999.532023560184,-0.007226757963585801,11997.137732314099,4.32865818708123e-11,2.1542452549813767e-06,4.373961916094407e-19,4.3755882826703994e-21,82001.93867484988,2.9180676930215906e-14,-8.631037679850733e-05,-1.4788065058729377e-08,135004.30953835734,-3.449321075292074e-17
300,1009.6493530600644,0.28346943874161634,0.0409734362112036,1.2530121651999639e-25,6998.47167185328,-0.0064171478749315515,11996.018600332649,3.7058042592145823e-11,-4.78076546598705e-06,2.4323602460075356e-19,6.315899619513577e-21,82001.74429858135,2.9561656824954025e-14,-4.9038412618578784e-05,-3.48781433352788e-08,135008.73103966727,-8.788734288472656e-17
400,1009.7061387657938,0.2923977030786028,-0.034366678267844994,-1.1884990661594495e-25,6998.110660886362,-0.0025547603676077243,11996.339552581932,-2.0007142705712764e-11,-1.2950750527834153e-06,-1.239836936270618e-19,-1.0494912000697337e-21,82004.02556349848,-1.5668863154427386e-14,2.3408029632488815e-05,-7.199002356220663e-07,135009.0345551975,-8.315805683433832e-17
500,1009.4646669775847,0.4159059941027914,-0.009314162767223924,3.9092885786320557e-25,6998.070515952062,0.00797231464451145,11995.472206614384,-8.391245340231832e-12,-5.715314022319574e-06,9.218807208194226e-20,8.21042247454832e-21,82006.45932912709,-1.846650625826424e-14,4.6425328261396855e-05,3.419618254123937e-07,135012.3158923237,-4.003656078070768e-17
600,1009.4532952739615,0.4305173877107161,0.012909911448423357,3.349082124478244e-24,6996.910489356243,-0.0009199370891131598,11992.405774109453,-4.8063859299199355e-11,-6.006531464468918e-06,-2.285636178755537e-19,-1.4290374262480697e-21,82007.79250289776,3.009274283864467e-14,-5.3022405336793984e-05,2.3164349485922535e-07,135011.76866101977,5.88836172095877e-17
700,1009.286016317421,0.5086324280974023,0.09130117047149534,-1.8420262711296217e-24,6996.207063934041,0.008085738720327208,11992.028099743684,-4.645041284143414e-11,-2.9287564259311565e-06,5.255237284754615e-19,-1.0124081246587955e-21,82007.99493646991,-2.2733935692268257e-14,2.833711803311919e-05,-1.6999860149699268e-08,135018.79507105934,6.685965653816274e-17
800,1009.3956047642389,0.6418914249442206,0.08786727128857247,-9.518453271111256e-25,6995.874564214671,-0.00531384728163691,11990.5382851764,2.1453483272692586e-11,-2.3080351510410683e-06,-3.2808567631896822e-19,-6.052983544355073e-21,82007.90327771034,-1.0792595248187761e-14,8.576295921712046e-05,3.747872250491958e-07,135016.60175586186,-8.861982652009098e-17
900,1009.1309835192877,0.7120687050114544,0.08838619355501884,2.6967137129303768e-25,6995.286781600509,0.007732518278805649,11991.920158585914,-3.9644264662394936e-11,-1.0650568664208347e-07,-8.525099380499462e-22,8.19183518524479e-21,82011.54479948833,2.5336701761805185e-14,5.2038945778708014e-05,-5.363240413235791e-07,135024.34836145394,-9.066719890648545e-17
