milliseconds,EpoR,SAv,SAv_EpoR,SAv_EpoRi,dSAvi,dSAve
0,76.00691315027446,999.3053589165002,-0.020943925284464246,-0.0006511635253157367,6.1150471143133144e-06,-2.94443598321829e-05
100,75.96582079070905,999.2523873178036,0.029236300829946646,-0.0010738468959496934,6.702528341531602e-06,2.667053284006189e-05
200,75.98730432666405,999.2518849142062,0.027944857475821993,0.0019329170164216673,3.7488695489430626e-06,-2.6783959163195013e-05
300,75.93361472790426,999.2599404172548,0.05837328334924024,-0.0014355363489206062,-8.812507623543645e-06,2.3090377962591774e-05
400,75.92651646897143,999.2365290886503,0.06755673510504263,-0.0013278648129743738,-4.006092263521629e-07,-1.4510513752608808e-05
500,75.93662276322695,999.1922424234132,0.08818647990910636,0.0023366233999161973,9.935136219205455e-06,-2.1113303178361026e-06
600,75.88578768077275,999.1949830932393,0.1150285705238057,0.0017150098391003326,7.1563200608061356e-06,3.580717073267112e-05
700,75.88726586292243,999.1806100316227,0.1396881921884216,0.0029481461886552195,-4.471162092291273e-06,8.02713910948763e-06
800,75.85323000625984,999.1720592544016,0.1598010261820738,0.001778395046274489,3.1226253091076306e-06,3.2001247010289244e-05
900,75.84912675080311,999.1309662259553,0.15087693611457945,0.004160737275670607,8.267256805187057e-06,3.780421332171574e-05
1000,75.84694088627592,999.1275631593134,0.16378115779425903,0.0036649459667628358,-6.230084734507004e-06,5.6546680238486027e-05
1100,75.78952233034528,999.1179661986154,0.1801852713247921,0.0017061173348180542,-5.683855247749824e-06,6.307924452402064e-05
1200,75.80128825566308,999.0752807743482,0.1870587100664386,0.005152526747599246,-3.071483908653479e-06,-1.75944934899176e-05
1300,75.78066227240232,999.0583904853644,0.2428237103132363,0.003367695809142028,-4.5488834506685043e-07,8.10902850978068e-05
1400,75.77035688672804,999.042270053085,0.22761615746784608,0.006707328764847211,8.806328622493384e-06,1.4303980526594999e-05
1500,75.74904827505615,999.0566137717135,0.255458919291313,0.007495357180769931,2.4948072318969968e-06,5.742078556774067e-05
1600,75.71401408804805,999.0383870360714,0.28682545808179627,0.007447699465899421,1.2770697890489022e-05,0.00011342617575781842
1700,75.73698009560339,998.9768121533705,0.29806225124258057,0.008740534704893053,4.653068669827451e-06,6.675102913631153e-05
1800,75.71172984809401,998.9845936023708,0.30095844986699294,0.007173633090807912,1.0170921350979276e-05,4.3845652378066076e-05
1900,75.66112958913203,998.9599074034312,0.2960705125929158,0.010430892992621132,3.008116310715704e-05,0.0001412485428314656
2000,75.6727017076466,998.957464162191,0.33176356441583826,0.010353200398921522,2.092036388817872e-05,0.00011895270315144143
2100,75.66456198386035,998.9407348417236,0.3387376477660368,0.013715692353959023,3.150303501680068e-05,0.00011849669418584193
2200,75.63468899360724,998.8922485588805,0.372382199521439,0.014877836991135481,2.300726097203663e-05,0.0001375810947950901
2300,75.63501231077117,998.9049067541113,0.3687965902831226,0.014210441315542343,2.7066989230789183e-05,0.00022052875305720573
2400,75.60060281582118,998.8665451349216,0.3954773784557754,0.016941351451507013,4.763535478949928e-05,0.00019982677555465853
2500,75.58778003615966,998.8624987387954,0.40752006208374475,0.01683847517409987,4.500895343940055e-05,0.00020907476441817287
2600,75.55075429851026,998.8303172809981,0.4094408048896015,0.017835272926957246,4.301241175727299e-05,0.0003111479497927906
2700,75.53486929867995,998.816390069175,0.45269472442978087,0.01786421866682909,5.899208112021216e-05,0.0003120999881847973
2800,75.54963370280969,998.8182711815293,0.4410639671316545,0.022959992641756338,6.562940207647947e-05,0.0003652886394446672
2900,75.52890654729048,998.8013226432851,0.4763119438014798,0.023997924635636887,6.573700553579412e-05,0.00032642039701478884
3000,75.53215173405442,998.7566108414338,0.4872620304323844,0.022613904622878024,6.90444375450727e-05,0.00035223030697401026
3100,75.47066419988492,998.7682174996805,0.49219727739186697,0.02493645365727487,8.871957822652045e-05,0.00041833793152988753
3200,75.47302856062089,998.7342267031729,0.5434381509233875,0.02684063110045142,8.965068839413514e-05,0.0005296114234421214
3300,75.47214988666265,998.7125862347137,0.5298289009104551,0.028905638874407273,0.00010965140953727152,0.0005289216184691304
3400,75.4563747881397,998.7324364071703,0.5641239035809844,0.03182758088301314,0.0001066866782007371,0.0005303478767365707
3500,75.41849750355972,998.6993455234697,0.5879457799698549,0.03416576369618963,0.0001227994610876697,0.0005837558326663663
3600,75.43053898726923,998.6700962889984,0.5723462425715224,0.03408466870210222,0.000128730886987709,0.0007116016592901815
3700,75.41352957053604,998.658757082791,0.6033934789177396,0.03568770728283326,0.0001441777749253941,0.0007511241478366028
3800,75.37573820067338,998.6303499626912,0.6157865364314656,0.03829776648920532,0.0001610773878587936,0.0008428598129391425
3900,75.36343659127829,998.6292116844747,0.628390250215953,0.04090941582143682,0.00017482442506913976,0.0009130430465505191
4000,75.34814333068518,998.6079598424193,0.6285257722189974,0.04249945345316759,0.00017983958768550364,0.0009620165761823433
4100,75.3485396243394,998.5937938388695,0.6532294123423932,0.04321528286662113,0.0001912033912511132,0.000962308766537015
4200,75.31153610531966,998.576010894626,0.663828640876184,0.04386682726044055,0.00020408982023567595,0.001067586370739585
4300,75.32738649281937,998.5543359020829,0.6866201178815213,0.04627592219260354,0.00022835946017839032,0.001193184521951437
4400,75.27846453430551,998.5605877277274,0.693880244603454,0.04995000909590298,0.00022894803649493812,0.0012066557695943729
4500,75.26678867674364,998.5087900913119,0.723550929205416,0.05094715508009339,0.0002478346648483708,0.0013563455441388175
4600,75.26734505177988,998.5079346321706,0.7506849259632852,0.05392692765660291,0.00026424556463782746,0.0014569269852818866
4700,75.24136395722032,998.4714340798394,0.7423495461129861,0.05537445608280821,0.00028297599922379256,0.0015295067101076165
4800,75.25520825787322,998.5000958628457,0.7441328332020444,0.05924879838944627,0.00031334191790215106,0.0015824975851719673
4900,75.21271365440622,998.4362390687091,0.7586434821581676,0.06169113936929378,0.0003277478486514703,0.0017280657486662045
5000,75.23506193663052,998.4177728784475,0.8085527471995474,0.06512754258505826,0.0003390972070238807,0.0017784344069640193
