miliseconds,x_Tumor_Cells,y_CD4_T_Cells,z_Cytokine,w_Healthy_Tissue
0,70094.46078805852,999035.406445759,100369.9089280695,1000000209.1196247
100,69362.19216284779,1001680.6264828744,154795.8492706913,999999629.1983202
200,72198.5275300792,1003250.7042542727,156889.08102587052,999999435.4455235
300,74427.70302391646,1005979.5878252398,157509.30274181385,999998928.9032727
400,76284.11967198778,1006018.304577222,157773.06389024673,999998155.1962209
500,76456.49043193007,1009620.9004120221,158069.57385701532,999997788.742571
600,75757.57293846655,1011052.8580548482,158217.91078786668,999997977.2875139
700,81796.64394797316,1015073.7645217133,159148.0135175358,999997000.8992828
800,79585.23228299979,1017228.7991148611,159656.23929892626,999996974.252336
900,85199.82699648416,1018148.6616175898,159680.43564992875,999996201.1651582
1000,83641.0081230262,1021338.9873362944,160050.33012134928,999996454.382151
1100,89400.92974406364,1022539.2352060416,160790.09970598787,999995435.4844643
1200,88388.17202932955,1025011.7438474998,160424.89439582167,999995120.6447105
1300,90944.91274247362,1026135.0918901133,161371.77311898876,999994802.2742573
1400,93488.19817926559,1027541.8818520154,161211.8925706403,999994335.8036435
1500,96478.71487982987,1032055.8433264475,162027.7673717673,999993952.708003
1600,98457.5438345998,1031694.9872239537,162108.70107766963,999993546.8291432
1700,98529.27418383569,1035675.8678388286,162203.97258195252,999993176.7130865
1800,101492.57824996657,1037686.8762918835,163155.42542639753,999992981.6794589
1900,105728.973247911,1039280.2790929708,162890.29818267294,999992801.4604039
2000,110084.49404501097,1042476.2426924111,164050.68338669158,999992420.5830559
2100,112856.96268385807,1041822.8862245264,164040.5478149343,999991751.9371845
2200,113709.194209734,1044353.2608215708,164820.25456909195,999991651.713952
2300,115525.45313777436,1047650.9891053791,164583.76575708872,999991080.8353833
2400,119959.58464803605,1049134.0268053676,165275.6309930721,999990845.1261628
2500,124461.01248632956,1051215.7136708745,165293.53539749313,999989934.6928228
2600,125353.39022682182,1052907.4920855153,165709.94751121034,999989958.390265
2700,128919.46626672652,1054841.0468405494,166330.32417407277,999989070.055988
2800,130408.40364657505,1056977.1569567835,166930.25179126224,999988756.8279531
2900,133554.42768877922,1059236.317986006,166772.28374411725,999988654.5306097
3000,139462.7056744514,1060373.855088699,167334.30503240426,999988159.6978214
3100,142219.73006041272,1061572.3652898888,167349.46483431768,999987700.5644692
3200,148319.51819087187,1063173.312931492,167486.66436041132,999987093.8978175
3300,151694.7950286092,1065000.1025023228,168227.16112438252,999986689.9676049
3400,155564.67690072142,1067068.8273532987,168082.57486646666,999985954.5195497
3500,161315.51268506545,1069310.6845091921,168426.88676316408,999985518.8996625
3600,163096.65439422088,1069396.1094396557,168960.98716694696,999985067.1006391
3700,170229.56173748043,1071933.443606717,169238.9742081684,999984159.7571179
3800,175249.16294017585,1073716.4946013542,169281.47594584888,999983702.6571242
3900,179292.90348177013,1075334.3446339865,169803.24108135063,999983623.1517525
4000,184025.3684588967,1076030.4524686888,169883.108938036,999982895.6646718
4100,186380.9376888628,1077219.338053816,170634.23693788008,999982462.6300725
4200,194588.04052318863,1079879.4892689886,170360.47281940028,999981876.1369447
4300,197137.43807079096,1079102.0428069998,170251.71915400744,999981246.5086476
4400,205733.36280496628,1080649.7670455747,171147.21884087598,999980399.1721392
4500,213243.75670950382,1082117.2241151931,171485.235374088,999980011.8762411
4600,217767.62438459584,1083803.1192683517,171536.42713980685,999979282.4893813
4700,221976.66142062936,1083522.8726389976,171767.42648691323,999978469.2160112
4800,230349.71755524407,1084205.9883847623,171470.38486877672,999977534.4279329
4900,237631.9863416334,1087242.3728418024,172119.99095992034,999977255.2207221
5000,244355.5877964837,1087569.9316543953,171591.88451639906,999976516.8746587
