miliseconds,x_Tumor_Cells,y_CD4_T_Cells,z_Cytokine,w_Healthy_Tissue
0,65617.9841602009,1000122.7540263962,100488.54576154273,1000000240.1563877
100,70202.2714224787,1001247.0360377518,154392.59645506262,999999713.9972185
200,72601.85561526848,1002136.4297403485,156928.29097769802,999999138.8537388
300,74649.45417719382,1006152.8156170142,157733.65865542679,999998904.7240025
400,71645.16620063201,1006043.9341046051,157881.6189372573,999998730.7687037
500,73720.0819183241,1009319.3791568348,157938.40987749692,999997898.5640576
600,76594.99605614712,1012800.5590947457,158283.3467307068,999997899.2515244
700,80691.72669769595,1012894.8592681441,158457.19537324394,999997565.6000781
800,79480.66319036153,1016638.2626989175,159536.21950575017,999996928.8215095
900,81737.99230822432,1019484.515552968,159411.71886748725,999996484.0815979
1000,82915.31574527577,1019510.2700575889,160226.14511205468,999996089.6633093
1100,88473.18273479721,1022306.5473774106,160425.37035384178,999995532.3205762
1200,91331.7787136287,1025250.9730500965,160654.02884905093,999995498.2902023
1300,89647.42864538675,1026650.7319966191,160978.0107665142,999994783.6362242
1400,94388.82466189569,1028772.2648149829,161401.16314288697,999994322.4032061
1500,93291.90362719046,1032010.3767230115,161915.96967619803,999994035.843944
1600,95404.55070747106,1032224.88114752,162365.29587398752,999993891.590013
1700,99129.7794073621,1034530.7359636261,162766.9660331203,999993585.5976841
1800,103355.51532924821,1037711.0961625585,162958.20148480753,999993169.5679414
1900,103182.95282163112,1040364.5277108675,163263.72335070066,999992677.5580171
2000,105959.35260347245,1042406.1623226815,163399.4049060984,999992386.01054
2100,111298.99156249697,1042710.8237185441,164340.53283311325,999992114.0756453
2200,113154.61092281807,1046156.0598651081,163987.24924254618,999991264.9292116
2300,117389.36564796782,1046403.0800312745,165013.53592528857,999991267.0466806
2400,119345.07192454464,1048332.4475356624,165628.53162398312,999990282.5654151
2500,120946.56416938789,1051712.8015508195,165976.294336723,999990328.68105
2600,123457.38585265346,1051960.9822077078,165887.0952651051,999989451.3119818
2700,126314.86551142312,1054901.11772829,165709.53608305627,999989133.1889423
2800,132845.8494179701,1057188.7157044609,166444.54534988946,999989024.9381506
2900,133977.10248209786,1057657.681734544,167133.52551060115,999988410.1728309
3000,138987.02221252283,1060651.543364397,166653.62434468497,999988235.321326
3100,142019.05564623862,1061543.091618745,167465.08817455385,999987630.3161051
3200,147750.09639362645,1063560.0069068857,167990.09298617658,999986908.4577966
3300,150111.21846600156,1065251.774693282,167575.98360199903,999986281.4853883
3400,153982.47624584148,1068051.2687548406,168384.02381216423,999985801.1954943
3500,159125.10452846606,1069038.3727740329,168358.25687614625,999985211.2318772
3600,161971.85131865914,1071489.5234526983,169230.3145281588,999985059.1257157
3700,166642.23541119182,1070843.3926025846,169379.54920570372,999984555.5786566
3800,173332.78103350053,1073899.3975326535,169105.21359376804,999984213.8570249
3900,177676.6203987318,1075760.9927092893,169211.93304479518,999983146.3941029
4000,184016.88636640905,1077134.240110123,170300.81006922404,999982701.8674508
4100,188420.93170405514,1076245.8755617635,170536.0803341059,999982269.8719838
4200,196037.38564555862,1079952.2575045533,170514.27115661735,999981715.9579558
4300,196965.468437821,1079495.343280096,171018.4936240272,999980820.2783976
4400,206732.0599566435,1082494.1005083558,171192.56200893765,999980426.8409256
4500,212148.1586986023,1081225.6203497949,171041.97307037638,999979809.5230128
4600,216514.58660169586,1084556.02157308,171458.35720414732,999978995.6978397
4700,221954.32518187657,1083874.7903115547,171892.00780539392,999978460.0087761
4800,229420.0212392281,1085529.9738736532,171491.2564475811,999977937.4187315
4900,235960.29055784832,1086882.6558875304,172124.70075206168,999977127.0782615
5000,243534.27075843865,1087859.7812325298,172270.0338870975,999976491.6350802
